representation,study_variance_fraction,within_study_condition_variance_fraction,median_pair_distance,pc1_log_count_spearman,pc1_nonzero_spearman
Raw log1p(TPM),0.6870842417366295,0.06962120793291433,63.69879846022413,0.812681436210848,0.5294522133260816
PCA8 (descriptive fit),0.7653680826491143,0.0706659047246325,60.526134476670066,0.812681436210848,0.5294522133260816
BridgeRNA mean,0.5409792277853616,0.09069877744563043,1.053626279371085,-0.18472116119174942,-0.591030638137167
