representation,study_a,study_b,observed_cosine,resample_q025,resample_q975
Raw log1p(TPM),OSD-48,OSD-379,0.2691746220683579,-0.13048494197982302,0.43184455799724214
Raw log1p(TPM),OSD-48,OSD-463,-0.1080865903183104,-0.23558615926647833,0.08887125009321999
Raw log1p(TPM),OSD-379,OSD-463,0.0790646398135589,-0.09580430300347818,0.2205299723784439
BridgeRNA mean,OSD-48,OSD-379,0.822618739227308,-0.9036674725905064,0.9528465879129375
BridgeRNA mean,OSD-48,OSD-463,-0.4893233603199471,-0.8036002570892725,0.510479921945814
BridgeRNA mean,OSD-379,OSD-463,-0.2823990626996621,-0.6626424591079255,0.5751871913114774
