seed_left,seed_right,component,donor_coefficient_pearson
17,42,0,0.9595611194330325
17,42,1,0.981080984730948
17,42,2,0.6779326012131913
17,42,3,0.8631243639513131
17,42,4,0.567274575001896
17,42,5,-0.6581747424336942
17,42,6,0.8979111884517323
17,42,7,-0.2180375557775678
17,42,8,0.5136382417815029
17,42,9,0.9013822115701327
17,42,10,0.9596122491708436
17,42,11,0.6732116127185784
17,42,12,0.9354289102947703
17,42,13,0.977523232927437
17,42,14,-0.5654610459900652
17,42,15,0.7933117278578192
17,42,16,0.9849113256032235
17,42,17,0.9022162383477398
17,42,18,0.9376239475935175
17,42,19,0.9874892123911281
17,42,20,0.9710836020463567
17,42,21,0.9405274240843212
17,42,22,0.9434568170416548
17,42,23,0.9280106126921323
17,42,24,0.88523302474348
17,42,25,0.5526079609880252
17,42,26,0.9072502170524198
17,42,27,-0.6997878838211163
17,42,28,0.9129078488887411
17,42,29,-0.5628224300649419
17,42,30,-0.8702486106359174
17,42,31,0.39206076061518086
17,101,0,0.9879421347118683
17,101,1,0.9888710814388074
17,101,2,0.671792947331773
17,101,3,0.9657049386903305
17,101,4,0.5114363827306156
17,101,5,0.07501038823600763
17,101,6,0.9501516153651407
17,101,7,0.4427623099309016
17,101,8,0.19800220514317488
17,101,9,0.9400839948834753
17,101,10,0.9785726935404584
17,101,11,0.9664081756319179
17,101,12,0.9631955161887986
17,101,13,0.9901076677954768
17,101,14,0.3847753147556853
17,101,15,0.8438340091480299
17,101,16,0.9870909196537876
17,101,17,0.9229810447114813
17,101,18,0.9711185519936214
17,101,19,0.9549851424540926
17,101,20,0.97184784074227
17,101,21,0.933619511858617
17,101,22,0.7031953419526029
17,101,23,0.9257512203575113
17,101,24,0.8884990610148915
17,101,25,0.5282283580534041
17,101,26,0.04259427315936907
17,101,27,0.9062612730662781
17,101,28,0.9750275885600576
17,101,29,-0.5503108061844206
17,101,30,-0.7479095668344372
17,101,31,0.5589058745622909
42,101,0,0.9286447772375245
42,101,1,0.9548070749956225
42,101,2,0.7742193724678593
42,101,3,0.8166812913520028
42,101,4,0.9153230221478759
42,101,5,0.1838342513139759
42,101,6,0.9144995453834198
42,101,7,0.6707064983084149
42,101,8,0.8378640985334318
42,101,9,0.9482817160860214
42,101,10,0.9351187467148308
42,101,11,0.7929712562675977
42,101,12,0.9677252863659259
42,101,13,0.9728280831897808
42,101,14,0.04487292724949988
42,101,15,0.9525797011789751
42,101,16,0.9786172670621094
42,101,17,0.9729306672405104
42,101,18,0.9168165860619698
42,101,19,0.9424935986948828
42,101,20,0.9546293503399728
42,101,21,0.9666192977106478
42,101,22,0.6292748550139522
42,101,23,0.9765201952377978
42,101,24,0.9390854148545086
42,101,25,-0.17349790782567445
42,101,26,-0.13881847465180927
42,101,27,-0.6717525932426063
42,101,28,0.9371617125711768
42,101,29,0.7888829015312364
42,101,30,0.705793470024441
42,101,31,0.6981242777128076
