model,training_pool,reference,program,renormalized,omitted_id,gap_removed,retains_full_sign
bridge,YA,training_ground_mean_TPM,proteostasis,True,GSE298393:GSM9013412,-0.015359577040802236,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013398,0.7383161470159317,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013399,0.7455622924798414,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013400,0.9238757066762369,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013410,0.7678273698252648,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013411,0.7937643961486552,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013412,0.8461623801980901,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013398,0.7749020658948591,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013399,0.6880833524864254,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013400,0.6889091216765262,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013410,0.8479947357796694,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013411,0.6220716447392837,True
bridge,YA,training_ground_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013412,0.6818281595388574,True
bridge,YA,training_all_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013398,0.0032861502292765646,False
bridge,YA,training_all_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013399,-0.022495099946506038,True
bridge,YA,training_all_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013400,-0.04484011431854164,True
bridge,YA,training_all_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013410,-0.06533886774010017,True
bridge,YA,training_all_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013411,-0.043265912106752076,True
bridge,YA,training_all_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013412,0.04455571581108112,False
bridge,YA,training_all_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013398,-0.11069552477677765,True
bridge,YA,training_all_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013399,-0.16957982612560346,True
bridge,YA,training_all_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013400,-0.19762909979097762,True
bridge,YA,training_all_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013410,-0.18445710755622713,True
bridge,YA,training_all_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013411,-0.20480110127380158,True
bridge,YA,training_all_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013412,-0.08864624186333006,True
bridge,YA,training_all_mean_TPM,dna_repair,False,GSE298393:GSM9013398,0.05442777570359189,True
bridge,YA,training_all_mean_TPM,dna_repair,False,GSE298393:GSM9013399,0.06930174245902285,True
bridge,YA,training_all_mean_TPM,dna_repair,False,GSE298393:GSM9013400,0.11131816548784931,True
bridge,YA,training_all_mean_TPM,dna_repair,False,GSE298393:GSM9013410,0.06971838453985885,True
bridge,YA,training_all_mean_TPM,dna_repair,False,GSE298393:GSM9013411,0.07975899289154614,True
bridge,YA,training_all_mean_TPM,dna_repair,False,GSE298393:GSM9013412,0.085570306219059,True
bridge,YA,training_all_mean_TPM,dna_repair,True,GSE298393:GSM9013398,0.055916260080721314,True
bridge,YA,training_all_mean_TPM,dna_repair,True,GSE298393:GSM9013399,0.05716801467121971,True
bridge,YA,training_all_mean_TPM,dna_repair,True,GSE298393:GSM9013400,0.10121005955318205,True
bridge,YA,training_all_mean_TPM,dna_repair,True,GSE298393:GSM9013410,0.06826293857902033,True
bridge,YA,training_all_mean_TPM,dna_repair,True,GSE298393:GSM9013411,0.06534106149676222,True
bridge,YA,training_all_mean_TPM,dna_repair,True,GSE298393:GSM9013412,0.08069033422934058,True
bridge,YA,training_all_mean_TPM,oxidative_stress,False,GSE298393:GSM9013398,0.04885219131654137,True
bridge,YA,training_all_mean_TPM,oxidative_stress,False,GSE298393:GSM9013399,0.04546697826731358,True
bridge,YA,training_all_mean_TPM,oxidative_stress,False,GSE298393:GSM9013400,0.04080068128871513,True
bridge,YA,training_all_mean_TPM,oxidative_stress,False,GSE298393:GSM9013410,0.04979059398306161,True
bridge,YA,training_all_mean_TPM,oxidative_stress,False,GSE298393:GSM9013411,0.04037141315882307,True
bridge,YA,training_all_mean_TPM,oxidative_stress,False,GSE298393:GSM9013412,0.04495784373068541,True
bridge,YA,training_all_mean_TPM,oxidative_stress,True,GSE298393:GSM9013398,0.04387785513839998,True
bridge,YA,training_all_mean_TPM,oxidative_stress,True,GSE298393:GSM9013399,0.033557551571144976,True
bridge,YA,training_all_mean_TPM,oxidative_stress,True,GSE298393:GSM9013400,0.027430504017085383,True
bridge,YA,training_all_mean_TPM,oxidative_stress,True,GSE298393:GSM9013410,0.044431664764564026,True
bridge,YA,training_all_mean_TPM,oxidative_stress,True,GSE298393:GSM9013411,0.026187143576597315,True
bridge,YA,training_all_mean_TPM,oxidative_stress,True,GSE298393:GSM9013412,0.03424710238546897,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013398,0.21504773147247158,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013399,0.20042892170609622,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013400,0.1112513062473302,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013410,0.2115862830248716,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013411,0.21980832084557278,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013412,0.09533335555545364,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013398,0.20693716869819434,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013399,0.1916026054148764,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013400,0.0881504098108129,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013410,0.20399121013186533,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013411,0.2062532051815727,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013412,0.07644576861044544,True
bridge,YA,training_all_mean_TPM,proteostasis,False,GSE298393:GSM9013398,0.01904263091603299,True
bridge,YA,training_all_mean_TPM,proteostasis,False,GSE298393:GSM9013399,0.02940458253181079,True
bridge,YA,training_all_mean_TPM,proteostasis,False,GSE298393:GSM9013400,0.0015298580353828445,True
bridge,YA,training_all_mean_TPM,proteostasis,False,GSE298393:GSM9013410,0.029879375634209268,True
bridge,YA,training_all_mean_TPM,proteostasis,False,GSE298393:GSM9013411,0.004046397296747259,True
bridge,YA,training_all_mean_TPM,proteostasis,False,GSE298393:GSM9013412,0.01605129855227007,True
bridge,YA,training_all_mean_TPM,proteostasis,True,GSE298393:GSM9013398,0.003006382434098953,False
bridge,YA,training_all_mean_TPM,proteostasis,True,GSE298393:GSM9013399,0.004322009079790717,False
bridge,YA,training_all_mean_TPM,proteostasis,True,GSE298393:GSM9013400,-0.0421447967238843,True
bridge,YA,training_all_mean_TPM,proteostasis,True,GSE298393:GSM9013410,0.009433531880328389,False
bridge,YA,training_all_mean_TPM,proteostasis,True,GSE298393:GSM9013411,-0.030212419750758557,True
bridge,YA,training_all_mean_TPM,proteostasis,True,GSE298393:GSM9013412,-0.01403751733956446,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013398,0.756730464156097,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013399,0.7652861611077999,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013400,0.9415860355029129,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013410,0.7879140823801359,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013411,0.8137718185157989,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013412,0.8619167598708752,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013398,0.8005406216055917,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013399,0.7160552498605739,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013400,0.7191889589784068,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013410,0.8751469853024219,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013411,0.6520029414255077,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013412,0.7086349037166428,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013395,-0.12794669600934103,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013396,-0.09163510689703945,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013397,-0.10477949170914751,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013404,-0.10375337938565583,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013405,-0.12224511015616213,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013406,-0.09836280507371004,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013395,-0.39391533794230316,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013396,-0.3596083283468942,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013397,-0.3456179423366165,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013404,-0.36129327011898715,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013405,-0.46306915223639555,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013406,-0.2747791862704313,True
bridge,OS,training_ground_mean_TPM,dna_repair,False,GSE298393:GSM9013395,-0.1391159549486171,True
bridge,OS,training_ground_mean_TPM,dna_repair,False,GSE298393:GSM9013396,-0.1018525835672032,True
bridge,OS,training_ground_mean_TPM,dna_repair,False,GSE298393:GSM9013397,-0.16670334100755704,True
bridge,OS,training_ground_mean_TPM,dna_repair,False,GSE298393:GSM9013404,-0.12143537736157362,True
bridge,OS,training_ground_mean_TPM,dna_repair,False,GSE298393:GSM9013405,-0.13011320505931195,True
bridge,OS,training_ground_mean_TPM,dna_repair,False,GSE298393:GSM9013406,-0.15612329710249162,True
bridge,OS,training_ground_mean_TPM,dna_repair,True,GSE298393:GSM9013395,-0.1753923817188176,True
bridge,OS,training_ground_mean_TPM,dna_repair,True,GSE298393:GSM9013396,-0.15915105277671648,True
bridge,OS,training_ground_mean_TPM,dna_repair,True,GSE298393:GSM9013397,-0.20523486083974757,True
bridge,OS,training_ground_mean_TPM,dna_repair,True,GSE298393:GSM9013404,-0.1768305789934933,True
bridge,OS,training_ground_mean_TPM,dna_repair,True,GSE298393:GSM9013405,-0.1971933201167152,True
bridge,OS,training_ground_mean_TPM,dna_repair,True,GSE298393:GSM9013406,-0.16575439622507326,True
bridge,OS,training_ground_mean_TPM,oxidative_stress,False,GSE298393:GSM9013395,0.03412497269471266,True
bridge,OS,training_ground_mean_TPM,oxidative_stress,False,GSE298393:GSM9013396,0.033053366088779554,True
bridge,OS,training_ground_mean_TPM,oxidative_stress,False,GSE298393:GSM9013397,0.02092378300733351,True
bridge,OS,training_ground_mean_TPM,oxidative_stress,False,GSE298393:GSM9013404,0.020411466402000235,True
bridge,OS,training_ground_mean_TPM,oxidative_stress,False,GSE298393:GSM9013405,0.039129943381643335,True
bridge,OS,training_ground_mean_TPM,oxidative_stress,False,GSE298393:GSM9013406,0.02856071200718214,True
bridge,OS,training_ground_mean_TPM,oxidative_stress,True,GSE298393:GSM9013395,0.021132917745868986,True
bridge,OS,training_ground_mean_TPM,oxidative_stress,True,GSE298393:GSM9013396,0.0074867147424509,True
bridge,OS,training_ground_mean_TPM,oxidative_stress,True,GSE298393:GSM9013397,0.008380271708953585,True
bridge,OS,training_ground_mean_TPM,oxidative_stress,True,GSE298393:GSM9013404,-0.0027259614039393445,False
bridge,OS,training_ground_mean_TPM,oxidative_stress,True,GSE298393:GSM9013405,0.009213765334379858,True
bridge,OS,training_ground_mean_TPM,oxidative_stress,True,GSE298393:GSM9013406,0.03051210026683296,True
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013395,0.11240604052431993,True
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013396,-0.011147122151214717,False
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013397,0.0958884750125435,True
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013404,0.04766589422767237,True
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013405,0.10229083273399436,True
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013406,0.04719066642398201,True
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013395,0.12542572137616992,True
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013396,-0.020749042065025036,False
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013397,0.15604571393934447,True
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013404,0.06681541577544675,True
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013405,0.12005124447822862,True
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013406,0.07385573299681408,True
bridge,OS,training_ground_mean_TPM,proteostasis,False,GSE298393:GSM9013395,0.09170858207050964,True
bridge,OS,training_ground_mean_TPM,proteostasis,False,GSE298393:GSM9013396,0.03579380047074205,True
bridge,OS,training_ground_mean_TPM,proteostasis,False,GSE298393:GSM9013397,0.0789951146555267,True
bridge,OS,training_ground_mean_TPM,proteostasis,False,GSE298393:GSM9013404,0.050718403464884404,True
bridge,OS,training_ground_mean_TPM,proteostasis,False,GSE298393:GSM9013405,0.06853883947053416,True
bridge,OS,training_ground_mean_TPM,proteostasis,False,GSE298393:GSM9013406,0.08724025426135985,True
bridge,OS,training_ground_mean_TPM,proteostasis,True,GSE298393:GSM9013395,0.09225477011974208,True
bridge,OS,training_ground_mean_TPM,proteostasis,True,GSE298393:GSM9013396,-0.011093579333570858,False
bridge,OS,training_ground_mean_TPM,proteostasis,True,GSE298393:GSM9013397,0.0703704632851062,True
bridge,OS,training_ground_mean_TPM,proteostasis,True,GSE298393:GSM9013404,0.03271380232380727,True
bridge,OS,training_ground_mean_TPM,proteostasis,True,GSE298393:GSM9013405,0.033077014913980435,True
bridge,OS,training_ground_mean_TPM,proteostasis,True,GSE298393:GSM9013406,0.08574083683348968,True
bridge,OS,training_ground_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013395,0.6228530585028315,True
bridge,OS,training_ground_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013396,0.5045489548112604,True
bridge,OS,training_ground_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013397,0.5596227529896017,True
bridge,OS,training_ground_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013404,0.4506286532098329,True
bridge,OS,training_ground_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013405,0.5684512957843708,True
bridge,OS,training_ground_mean_TPM,muscle_remodeling,False,GSE298393:GSM9013406,0.6679448173094897,True
bridge,OS,training_ground_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013395,0.22310060366529194,True
bridge,OS,training_ground_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013396,0.0937754575328048,True
bridge,OS,training_ground_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013397,0.086048553023223,True
bridge,OS,training_ground_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013404,0.00767465697379055,True
bridge,OS,training_ground_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013405,-0.016904432451951834,False
bridge,OS,training_ground_mean_TPM,muscle_remodeling,True,GSE298393:GSM9013406,0.4121543896994808,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013395,-0.12364483459771224,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013396,-0.08980581016396613,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013397,-0.10189762810318814,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013404,-0.10144305893637302,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013405,-0.12112684270978953,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013406,-0.09277837121870397,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013395,-0.3891583410788067,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013396,-0.3565062368138948,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013397,-0.34305737240178275,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013404,-0.35861608710354165,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013405,-0.46081821071936696,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013406,-0.2692876524715756,True
bridge,OS,training_all_mean_TPM,dna_repair,False,GSE298393:GSM9013395,-0.13238815863602815,True
bridge,OS,training_all_mean_TPM,dna_repair,False,GSE298393:GSM9013396,-0.09424798740921382,True
bridge,OS,training_all_mean_TPM,dna_repair,False,GSE298393:GSM9013397,-0.1598667294528392,True
bridge,OS,training_all_mean_TPM,dna_repair,False,GSE298393:GSM9013404,-0.11353361420962452,True
bridge,OS,training_all_mean_TPM,dna_repair,False,GSE298393:GSM9013405,-0.12304010160930065,True
bridge,OS,training_all_mean_TPM,dna_repair,False,GSE298393:GSM9013406,-0.14992915967915602,True
bridge,OS,training_all_mean_TPM,dna_repair,True,GSE298393:GSM9013395,-0.16856601466671847,True
bridge,OS,training_all_mean_TPM,dna_repair,True,GSE298393:GSM9013396,-0.15144272517833696,True
bridge,OS,training_all_mean_TPM,dna_repair,True,GSE298393:GSM9013397,-0.19835497094110607,True
bridge,OS,training_all_mean_TPM,dna_repair,True,GSE298393:GSM9013404,-0.16886563745890731,True
bridge,OS,training_all_mean_TPM,dna_repair,True,GSE298393:GSM9013405,-0.1899862789706504,True
bridge,OS,training_all_mean_TPM,dna_repair,True,GSE298393:GSM9013406,-0.15951179435660381,True
bridge,OS,training_all_mean_TPM,oxidative_stress,False,GSE298393:GSM9013395,0.03279293311262178,True
bridge,OS,training_all_mean_TPM,oxidative_stress,False,GSE298393:GSM9013396,0.03114807119535113,True
bridge,OS,training_all_mean_TPM,oxidative_stress,False,GSE298393:GSM9013397,0.02005249665918048,True
bridge,OS,training_all_mean_TPM,oxidative_stress,False,GSE298393:GSM9013404,0.020332244927014118,True
bridge,OS,training_all_mean_TPM,oxidative_stress,False,GSE298393:GSM9013405,0.03647648762129541,True
bridge,OS,training_all_mean_TPM,oxidative_stress,False,GSE298393:GSM9013406,0.027184768418843864,True
bridge,OS,training_all_mean_TPM,oxidative_stress,True,GSE298393:GSM9013395,0.019803797660832352,True
bridge,OS,training_all_mean_TPM,oxidative_stress,True,GSE298393:GSM9013396,0.005661364135751952,True
bridge,OS,training_all_mean_TPM,oxidative_stress,True,GSE298393:GSM9013397,0.007462967364025,True
bridge,OS,training_all_mean_TPM,oxidative_stress,True,GSE298393:GSM9013404,-0.0027931268663223645,False
bridge,OS,training_all_mean_TPM,oxidative_stress,True,GSE298393:GSM9013405,0.006615590664637185,True
bridge,OS,training_all_mean_TPM,oxidative_stress,True,GSE298393:GSM9013406,0.029105665362294482,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013395,0.11993326065540563,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013396,-0.002552309622198351,False
bridge,OS,training_all_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013397,0.09883876109764364,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013404,0.05537801307021556,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013405,0.10677022661055463,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,False,GSE298393:GSM9013406,0.05407147245008065,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013395,0.13300832861258033,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013396,-0.012031189441396861,False
bridge,OS,training_all_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013397,0.15893890797243176,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,True,GSE298393:GSM9013404,0.07454386372023691,True
