program,response_label,gene_set,n_genes,expression_difference_min,expression_difference_max,attribution_gap_min,attribution_gap_max,replacement_gap_min,replacement_gap_max,same_sign_all_4_primary_cases,same_sign_all_8_including_renormalization,leave_one_chip_sign_retention,min_matched_random_abs_percentile,max_matched_random_abs_percentile,exposure_specificity
mitochondrial_expression,Mitochondrial expression,Oxidative Phosphorylation,173,0.1582517623901367,0.1778221130371093,-0.1162431703098241,-0.0227436072445541,-0.10812043153850934,-0.009606884271609772,True,True,0.9166666666666666,0.0,0.3,Not established
dna_repair,DNA repair expression,DNA Repair,136,0.1016590595245361,0.1727945804595947,-0.1298682399459992,0.0918699230922076,-0.1358906265077924,0.078349227883488,False,False,1.0,0.15,0.45,Not established
oxidative_stress,Oxidative-stress-associated expression,Reactive Oxygen Species Pathway,43,0.0080766677856445,0.1027071475982666,0.0253352299079709,0.0600670212549198,0.027997833655717796,0.05158026487212437,True,True,0.9583333333333334,0.15,0.25,Not established
inflammatory_signaling,Inflammatory signaling,TNF-alpha Signaling via NF-kB,183,-0.1456882953643798,0.1163370609283447,0.0862040095414596,0.1751924144076863,0.06571579779521625,0.17557598647529932,True,True,0.9166666666666666,0.2,0.25,Not established
proteostasis,Unfolded-protein-response expression,Unfolded Protein Response,102,0.0315024852752685,0.1780197620391845,0.0276925112095927,0.0654649873449422,0.014840486598738267,0.07217505709240865,True,False,0.8125,0.0,0.4,Not established
muscle_remodeling,Muscle differentiation/remodeling,Myogenesis,190,-0.0046734809875488,0.1416492462158203,0.5813142012438979,0.7685803987791643,0.5623415887678979,0.82120088692227,True,True,0.9791666666666666,0.9,0.95,Not established
