model,training_pool,id,label,reference,program,renormalized,logit_change,matched_random_median,matched_random_abs_percentile,matched_random_signed_percentile
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,dna_repair,False,-0.2941468784094923,-0.22292688117238404,0.55,0.35
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,dna_repair,True,-0.2638560078642058,-0.177761006854098,0.5,0.45
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,oxidative_stress,False,0.0114270215935903,-0.07086020577025914,0.05,0.7
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,oxidative_stress,True,0.0327684478238552,-0.057791137378103444,0.15,0.7
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,inflammatory_signaling,False,0.3123008406182634,-0.2482230224211434,0.6,1.0
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,inflammatory_signaling,True,0.4112572461317541,-0.24856903343618336,0.6,1.0
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,proteostasis,False,0.1039783382243513,-0.010826918060274648,0.15,0.55
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,proteostasis,True,0.181085799451921,-0.0243531671511618,0.25,0.65
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,muscle_remodeling,False,-0.4899086448549496,-0.35134437029182664,0.6,0.35
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,muscle_remodeling,True,0.3698084859529444,-0.5732246577274509,0.2,0.9
bridge,YA,GSE298393:GSM9013400,0,training_ground_mean_TPM,mitochondrial_expression,False,-0.150060639514777,-0.10846155965191426,0.4,0.5
bridge,YA,GSE298393:GSM9013400,0,training_ground_mean_TPM,mitochondrial_expression,True,-0.144275316059975,-0.18955853951456447,0.25,0.55
bridge,YA,GSE298393:GSM9013400,0,training_ground_mean_TPM,dna_repair,False,-0.2407590126515515,-0.0400919106560877,0.55,0.35
bridge,YA,GSE298393:GSM9013400,0,training_ground_mean_TPM,dna_repair,True,-0.2228983731699827,-0.09027693855296084,0.6,0.35
bridge,YA,GSE298393:GSM9013400,0,training_ground_mean_TPM,oxidative_stress,False,0.0161227361572855,-0.0067281056664114,0.15,0.55
bridge,YA,GSE298393:GSM9013400,0,training_ground_mean_TPM,oxidative_stress,True,0.0282014946481012,0.00226856962058265,0.3,0.65
bridge,YA,GSE298393:GSM9013400,0,training_ground_mean_TPM,inflammatory_signaling,False,0.3401009219230673,0.03868505757952785,0.75,0.9
bridge,YA,GSE298393:GSM9013400,0,training_ground_mean_TPM,inflammatory_signaling,True,0.4184743266011992,0.0524423143476724,0.85,0.95
bridge,YA,GSE298393:GSM9013400,0,training_ground_mean_TPM,proteostasis,False,0.0996567324793886,0.04180831508290335,0.3,0.6
bridge,YA,GSE298393:GSM9013400,0,training_ground_mean_TPM,proteostasis,True,0.1327381214975957,0.0072666545333958995,0.35,0.6
bridge,YA,GSE298393:GSM9013400,0,training_ground_mean_TPM,muscle_remodeling,False,0.2366849972756881,-0.08911758508133966,0.8,0.95
bridge,YA,GSE298393:GSM9013400,0,training_ground_mean_TPM,muscle_remodeling,True,0.6000135817960199,-0.0973699924259108,0.9,1.0
bridge,YA,GSE298393:GSM9013400,0,training_all_mean_TPM,mitochondrial_expression,False,0.0044456855100634,-0.1770289351504743,0.05,0.85
bridge,YA,GSE298393:GSM9013400,0,training_all_mean_TPM,mitochondrial_expression,True,0.1067063953596516,-0.23147453960177697,0.3,0.95
bridge,YA,GSE298393:GSM9013400,0,training_all_mean_TPM,dna_repair,False,-0.2101140323518393,-0.09026275819746835,0.6,0.3
bridge,YA,GSE298393:GSM9013400,0,training_all_mean_TPM,dna_repair,True,-0.1757719181002812,-0.15862146601818944,0.45,0.45
bridge,YA,GSE298393:GSM9013400,0,training_all_mean_TPM,oxidative_stress,False,0.0020944276363934,-0.034508478584712,0.0,0.7
bridge,YA,GSE298393:GSM9013400,0,training_all_mean_TPM,oxidative_stress,True,0.020514352715736,-0.021456520924175448,0.2,0.7
bridge,YA,GSE298393:GSM9013400,0,training_all_mean_TPM,inflammatory_signaling,False,0.1339456097007314,-0.13751878992525235,0.35,0.9
bridge,YA,GSE298393:GSM9013400,0,training_all_mean_TPM,inflammatory_signaling,True,0.2043528549236271,-0.12455081342955049,0.55,0.95
bridge,YA,GSE298393:GSM9013400,0,training_all_mean_TPM,proteostasis,False,0.0482288892314954,-0.0532211010083756,0.1,0.65
bridge,YA,GSE298393:GSM9013400,0,training_all_mean_TPM,proteostasis,True,0.088152187844571,-0.047696537910042,0.3,0.7
bridge,YA,GSE298393:GSM9013400,0,training_all_mean_TPM,muscle_remodeling,False,-0.1373088960647237,-0.2641516598732778,0.15,0.7
bridge,YA,GSE298393:GSM9013400,0,training_all_mean_TPM,muscle_remodeling,True,0.3760759041886103,-0.35707485716329757,0.45,0.9
bridge,YA,GSE298393:GSM9013410,1,training_ground_mean_TPM,mitochondrial_expression,False,-0.0275716033972912,0.1483889619055389,0.0,0.3
bridge,YA,GSE298393:GSM9013410,1,training_ground_mean_TPM,mitochondrial_expression,True,-0.1716734914707558,0.15837166945664188,0.3,0.2
bridge,YA,GSE298393:GSM9013410,1,training_ground_mean_TPM,dna_repair,False,-0.21550643550745,0.1084160834845988,0.7,0.0
bridge,YA,GSE298393:GSM9013410,1,training_ground_mean_TPM,dna_repair,True,-0.2096650201090142,0.0740590553557467,0.55,0.1
bridge,YA,GSE298393:GSM9013410,1,training_ground_mean_TPM,oxidative_stress,False,0.0676160387652089,0.058403948771683596,0.45,0.55
bridge,YA,GSE298393:GSM9013410,1,training_ground_mean_TPM,oxidative_stress,True,0.0664536368146855,0.06108856932655719,0.4,0.55
bridge,YA,GSE298393:GSM9013410,1,training_ground_mean_TPM,inflammatory_signaling,False,0.5334381191405555,0.34871177450145296,0.75,0.75
bridge,YA,GSE298393:GSM9013410,1,training_ground_mean_TPM,inflammatory_signaling,True,0.6067772502779007,0.3271054123966905,0.85,0.85
bridge,YA,GSE298393:GSM9013410,1,training_ground_mean_TPM,proteostasis,False,0.1187983080847061,0.1309109133096626,0.4,0.5
bridge,YA,GSE298393:GSM9013410,1,training_ground_mean_TPM,proteostasis,True,0.1385317783715436,0.20557937610817584,0.3,0.45
bridge,YA,GSE298393:GSM9013410,1,training_ground_mean_TPM,muscle_remodeling,False,0.8662024212260349,0.23379579724087307,1.0,1.0
bridge,YA,GSE298393:GSM9013410,1,training_ground_mean_TPM,muscle_remodeling,True,1.1126967669799797,0.20466535761863724,1.0,1.0
bridge,YA,GSE298393:GSM9013410,1,training_all_mean_TPM,mitochondrial_expression,False,0.1180552095677285,0.01167218043383395,0.5,0.65
bridge,YA,GSE298393:GSM9013410,1,training_all_mean_TPM,mitochondrial_expression,True,0.0743713922317965,0.0455191406073254,0.25,0.6
bridge,YA,GSE298393:GSM9013410,1,training_all_mean_TPM,dna_repair,False,-0.1804409929898156,0.0426738370457542,0.75,0.0
bridge,YA,GSE298393:GSM9013410,1,training_all_mean_TPM,dna_repair,True,-0.1575606905228141,0.054837300280269105,0.7,0.1
bridge,YA,GSE298393:GSM9013410,1,training_all_mean_TPM,oxidative_stress,False,0.0461116285471234,0.01985774156844395,0.55,0.65
bridge,YA,GSE298393:GSM9013410,1,training_all_mean_TPM,oxidative_stress,True,0.0515665330301544,0.0022250389752116496,0.5,0.65
bridge,YA,GSE298393:GSM9013410,1,training_all_mean_TPM,inflammatory_signaling,False,0.3661503635328245,0.1643470604242338,0.9,0.9
bridge,YA,GSE298393:GSM9013410,1,training_all_mean_TPM,inflammatory_signaling,True,0.4312199215780765,0.139749947829614,0.9,0.9
bridge,YA,GSE298393:GSM9013410,1,training_all_mean_TPM,proteostasis,False,0.0687055410310222,0.03378753178753865,0.35,0.6
bridge,YA,GSE298393:GSM9013410,1,training_all_mean_TPM,proteostasis,True,0.0955473755150251,0.0812980537333487,0.35,0.55
bridge,YA,GSE298393:GSM9013410,1,training_all_mean_TPM,muscle_remodeling,False,0.5096953027805284,0.079381850069808,1.0,1.0
bridge,YA,GSE298393:GSM9013410,1,training_all_mean_TPM,muscle_remodeling,True,0.913712066367907,0.0371139757514811,1.0,1.0
bridge,YA,GSE298393:GSM9013411,1,training_ground_mean_TPM,mitochondrial_expression,False,-0.0814615733304435,0.121320191205541,0.2,0.25
bridge,YA,GSE298393:GSM9013411,1,training_ground_mean_TPM,mitochondrial_expression,True,-0.1388991127741974,0.1440725658369501,0.15,0.3
bridge,YA,GSE298393:GSM9013411,1,training_ground_mean_TPM,dna_repair,False,-0.2367673941134853,0.07880198342013495,0.7,0.05
bridge,YA,GSE298393:GSM9013411,1,training_ground_mean_TPM,dna_repair,True,-0.2047265251749195,0.02581442948496715,0.6,0.05
bridge,YA,GSE298393:GSM9013411,1,training_ground_mean_TPM,oxidative_stress,False,0.0857721677141398,0.048366604450279654,0.6,0.7
bridge,YA,GSE298393:GSM9013411,1,training_ground_mean_TPM,oxidative_stress,True,0.1023609429716998,0.0528860970584901,0.55,0.7
bridge,YA,GSE298393:GSM9013411,1,training_ground_mean_TPM,inflammatory_signaling,False,0.5265595069554365,0.25586927275207927,0.85,0.85
bridge,YA,GSE298393:GSM9013411,1,training_ground_mean_TPM,inflammatory_signaling,True,0.6116249443375636,0.21283694418355026,0.85,0.85
bridge,YA,GSE298393:GSM9013411,1,training_ground_mean_TPM,proteostasis,False,0.1709492116297042,0.09801333107861865,0.5,0.6
bridge,YA,GSE298393:GSM9013411,1,training_ground_mean_TPM,proteostasis,True,0.2183653803090237,0.12999275976437724,0.65,0.65
bridge,YA,GSE298393:GSM9013411,1,training_ground_mean_TPM,muscle_remodeling,False,0.814328368579254,0.24938571401867188,1.0,1.0
bridge,YA,GSE298393:GSM9013411,1,training_ground_mean_TPM,muscle_remodeling,True,1.5645429490607512,0.1357828065258672,1.0,1.0
bridge,YA,GSE298393:GSM9013411,1,training_all_mean_TPM,mitochondrial_expression,False,0.0739092983010323,0.03862493800897935,0.2,0.55
bridge,YA,GSE298393:GSM9013411,1,training_all_mean_TPM,mitochondrial_expression,True,0.1150593796669454,0.06731007056532684,0.25,0.65
bridge,YA,GSE298393:GSM9013411,1,training_all_mean_TPM,dna_repair,False,-0.2005222096931902,0.0139908634566836,0.8,0.05
bridge,YA,GSE298393:GSM9013411,1,training_all_mean_TPM,dna_repair,True,-0.1517169363582979,0.0251204524287231,0.75,0.1
bridge,YA,GSE298393:GSM9013411,1,training_all_mean_TPM,oxidative_stress,False,0.0649499901956005,0.00998914095305275,0.55,0.75
bridge,YA,GSE298393:GSM9013411,1,training_all_mean_TPM,oxidative_stress,True,0.0880555754060878,0.0110740849314652,0.65,0.75
