model,training_pool,id,sample_index,label,reference,program,positive_allocated_logit,opposing_allocated_logit,supporting_share_percent,opposing_share_percent
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,0.39380508019011357,0.4880985697092395,0.8779582346945527,1.0378321508154533
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,0.32146155036044965,0.6758382144723777,0.7166738812520778,1.437018404186211
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,0.1422703234784516,0.1491342470301096,0.31718077885197404,0.3171005324758524
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,inflammatory_signaling,1.0970731951549533,0.6418383228238641,2.4458405800249396,1.364725259180502
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,proteostasis,0.4572293224339027,0.3469178065583344,1.0193577202733441,0.7376429182144357
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,muscle_remodeling,1.076323180830603,1.2745284214857409,2.399580013916198,2.709998871199176
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,outside_six_programs,41.366485852229076,43.45423306616436,92.22340879098692,92.39568186392837
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,mitochondrial_expression,0.701460622224062,0.6601160461286109,1.5397657512173242,1.2193753874834685
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,dna_repair,0.41636994372673897,0.7680819477624107,0.9139674543012792,1.4188114774131275
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,oxidative_stress,0.148976190240106,0.16897406748773683,0.3270154135684043,0.31213120818058915
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,inflammatory_signaling,0.8801814345587288,0.6450593225511226,1.9320731411747856,1.1915624017907163
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,proteostasis,0.4366659623819761,0.38582981600905697,0.9585189421842578,0.7127101123475142
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,muscle_remodeling,0.9143088649575283,1.4932934958022204,2.006985754713254,2.758432166206745
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,outside_six_programs,42.05835758908724,50.014234139699425,92.3216735428407,92.38697724657784
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,mitochondrial_expression,0.3450439552792265,0.4623805496867931,0.7481972232481192,0.9586801167087405
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,dna_repair,0.31142267046767236,0.6074947670488178,0.6752924482095825,1.2595537475977543
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,oxidative_stress,0.14459131410301482,0.1476267334931594,0.3135334442538646,0.3060829747064826
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,inflammatory_signaling,1.1390085604169002,0.7174065764529252,2.4698390715760197,1.4874402067893748
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,proteostasis,0.45174178891018907,0.31465042536189214,0.9795620149734888,0.6523827758601101
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,muscle_remodeling,1.0923328504642338,1.254895562953757,2.368626933106709,2.601846953909945
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,outside_six_programs,42.63257041153249,44.72649767325901,92.44494886463221,92.73401322442757
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,mitochondrial_expression,0.5819382071731435,0.5637526485987673,1.2704385629057704,1.0377663207734305
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,dna_repair,0.37640500971179125,0.6735113532724005,0.8217357680151467,1.2398121779505582
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,oxidative_stress,0.1496051539178184,0.16658785188706476,0.3266053928129524,0.30665800430044565
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,inflammatory_signaling,0.892171031753759,0.6949850958267043,1.9477127802852274,1.279341441110927
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,proteostasis,0.4433200619843196,0.3639090795078233,0.9678190837314872,0.6698905760807548
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,muscle_remodeling,0.8878994524630839,1.4376583897215867,1.9383874275441784,2.6464682007946987
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,outside_six_programs,42.474749166635775,50.42325566861377,92.72730098470522,92.8200632789892
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,mitochondrial_expression,0.20560498183966533,0.36753412858704126,0.6040729500998099,1.0561185581940091
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,dna_repair,0.22875395095230427,0.4707011917561006,0.6720852421100585,1.3525717077997161
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,oxidative_stress,0.09448389177377087,0.1002963083364846,0.27759620768917564,0.288203963424377
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,inflammatory_signaling,0.7255847189805598,0.4644852767489149,2.1317873614741867,1.3347101197603055
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,proteostasis,0.33006927645942874,0.23863173760894382,0.9697523852979485,0.685714297150512
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,muscle_remodeling,0.9960353945842085,0.8164947269740543,2.926378698739464,2.3462181243955733
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,outside_six_programs,31.45591682781356,32.34231778422992,92.41832715458935,92.93646322927547
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,mitochondrial_expression,0.3979154835030519,0.4266678443283789,1.1555184075922706,1.0255590680672746
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,dna_repair,0.28563282426158476,0.5246762932624176,0.8294575102762943,1.261136824599949
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,oxidative_stress,0.1013237293244587,0.1209571027838143,0.29423694029089165,0.29073822941204314
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,inflammatory_signaling,0.5782826265760614,0.5323968331275573,1.6792918282968023,1.2796942804155669
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,proteostasis,0.3483021612784403,0.31267868913084457,1.0114448304908012,0.7515693279729009
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,muscle_remodeling,0.8242637242765918,1.0319100121321712,2.3936035303960637,2.4803478500645237
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,outside_six_programs,31.900380242300738,38.65415252127255,92.63644695265687,92.91095441946774
bridge,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,mitochondrial_expression,0.5022391962796346,0.5203151809257729,1.110821722904352,1.5412054206292447
bridge,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,dna_repair,0.2658108844271223,0.3891484044015777,0.5879041436695578,1.1526813982744304
bridge,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,oxidative_stress,0.11696750649734575,0.06109265419401176,0.2587015271879849,0.18096018193609278
