model,training_pool,reference,program,renormalized,flight_ground_score_gap_removed,random_gap_median,matched_random_abs_percentile
expression,YA,training_ground_mean_TPM,inflammatory_signaling,False,0.03431481871034703,0.17383933109505162,0.0
expression,YA,training_ground_mean_TPM,inflammatory_signaling,True,0.032238168184811344,0.18095078156183791,0.0
expression,YA,training_ground_mean_TPM,proteostasis,False,0.1118214852224804,0.09868656378397958,0.65
expression,YA,training_ground_mean_TPM,proteostasis,True,0.10345987118240166,0.10372796518702881,0.5
expression,YA,training_ground_mean_TPM,muscle_remodeling,False,0.2213688609731506,0.20935959752289662,0.7
expression,YA,training_ground_mean_TPM,muscle_remodeling,True,0.2072860758749282,0.22106214055716805,0.45
expression,YA,training_all_mean_TPM,mitochondrial_expression,False,0.25830028808669653,0.18725225135126056,1.0
expression,YA,training_all_mean_TPM,mitochondrial_expression,True,0.21385665676817914,0.18547628890804774,0.8
expression,YA,training_all_mean_TPM,dna_repair,False,0.12475629733491417,0.15670084739891021,0.15
expression,YA,training_all_mean_TPM,dna_repair,True,0.12336174045875473,0.14100772679842297,0.2
expression,YA,training_all_mean_TPM,oxidative_stress,False,0.03956554550420313,0.046385765139640614,0.25
expression,YA,training_all_mean_TPM,oxidative_stress,True,0.03671138017656487,0.04244119628579065,0.25
expression,YA,training_all_mean_TPM,inflammatory_signaling,False,0.03431481871034241,0.17383933109505392,0.0
expression,YA,training_all_mean_TPM,inflammatory_signaling,True,0.03188762575332518,0.18097068094659355,0.0
expression,YA,training_all_mean_TPM,proteostasis,False,0.11182148522248281,0.09868656378397837,0.65
expression,YA,training_all_mean_TPM,proteostasis,True,0.10375357660245985,0.10438548000223226,0.5
expression,YA,training_all_mean_TPM,muscle_remodeling,False,0.22136886097315286,0.209359597522899,0.7
expression,YA,training_all_mean_TPM,muscle_remodeling,True,0.21388251091757843,0.21978464787852064,0.5
expression,OS,training_ground_mean_TPM,mitochondrial_expression,False,0.2244349506981489,0.15305856061700973,1.0
expression,OS,training_ground_mean_TPM,mitochondrial_expression,True,0.06654056451530249,0.16085833568078084,0.1
expression,OS,training_ground_mean_TPM,dna_repair,False,0.11352952572877939,0.11002272783397868,0.6
expression,OS,training_ground_mean_TPM,dna_repair,True,0.08596732460772218,0.077204001992347,0.6
expression,OS,training_ground_mean_TPM,oxidative_stress,False,0.04280306702213926,0.031111044292681318,0.9
expression,OS,training_ground_mean_TPM,oxidative_stress,True,0.03179274954479653,0.016012234955778564,0.9
expression,OS,training_ground_mean_TPM,inflammatory_signaling,False,0.1244856724301163,0.12161353701140362,0.55
expression,OS,training_ground_mean_TPM,inflammatory_signaling,True,0.1336678958042511,0.12275071906758228,0.55
expression,OS,training_ground_mean_TPM,proteostasis,False,0.05787961582635616,0.08792254211149715,0.0
expression,OS,training_ground_mean_TPM,proteostasis,True,0.04437380532831506,0.08276860255739868,0.15
expression,OS,training_ground_mean_TPM,muscle_remodeling,False,0.17332889363432002,0.17803688671362988,0.3
expression,OS,training_ground_mean_TPM,muscle_remodeling,True,-0.10746471437974014,0.1942729382165022,0.1
expression,OS,training_all_mean_TPM,mitochondrial_expression,False,0.22443495069817243,0.15305856061700257,1.0
expression,OS,training_all_mean_TPM,mitochondrial_expression,True,0.06958881398380844,0.15704652822695667,0.1
expression,OS,training_all_mean_TPM,dna_repair,False,0.11352952572877466,0.11002272783396916,0.6
expression,OS,training_all_mean_TPM,dna_repair,True,0.08613727305836956,0.07909374317621122,0.6
expression,OS,training_all_mean_TPM,oxidative_stress,False,0.04280306702214879,0.03111104429266475,0.9
expression,OS,training_all_mean_TPM,oxidative_stress,True,0.0320113302783085,0.01612919449143383,0.9
expression,OS,training_all_mean_TPM,inflammatory_signaling,False,0.12448567243012566,0.12161353701139176,0.55
expression,OS,training_all_mean_TPM,inflammatory_signaling,True,0.1340275552892933,0.12268561339362088,0.55
expression,OS,training_all_mean_TPM,proteostasis,False,0.057879615826365666,0.08792254211150896,0.0
expression,OS,training_all_mean_TPM,proteostasis,True,0.0449933366732911,0.08333718461484323,0.15
expression,OS,training_all_mean_TPM,muscle_remodeling,False,0.1733288936343247,0.17803688671362983,0.3
expression,OS,training_all_mean_TPM,muscle_remodeling,True,-0.10464088277534722,0.19466866634986474,0.1
