training_pool,id,sample_index,label,reference,program,kind,replicate,n_genes,renormalized,expression_logit_change,bridge_logit_change,perturbed_logit,original_logit,reference_logit
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,program,-1,173,False,-0.09586651786343481,-0.06782874576583708,-7.933327503054443,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,program,-1,173,True,-0.06736215181719984,0.01973343189069965,-8.02088968071098,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,0,173,False,-0.02080483002465172,-0.46356503124229675,-7.537591217577983,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,0,173,True,-0.04896709787245612,-0.5493828086755457,-7.451773440144734,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,1,173,False,-0.06325055248370859,-0.08524970072267024,-7.91590654809761,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,1,173,True,0.004087421479461284,0.12149622846459351,-8.122652477284873,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,2,173,False,-0.010297994839547187,0.20927920055237337,-8.210435449372653,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,2,173,True,-0.41150347638559026,-1.0373231780815786,-6.963833070738701,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,3,173,False,-0.02609037514218926,0.1866405171901988,-8.187796766010479,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,3,173,True,-0.07255325895062015,0.04296661008424962,-8.04412285890453,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,4,173,False,-0.059248409461567064,-0.07700003110471698,-7.924156217715563,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,4,173,True,-0.063084301429285,-0.0887462726193462,-7.912409976200934,-8.00115624882028,-5.8252854711124655
