model,training_pool,id,sample_index,label,reference,program,label_display,n_genes,mean_log1p_TPM_difference,fraction_genes_above_reference,signed_IG_logit,positive_IG_logit,opposing_IG_logit
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,-0.12788971289561663,0.18497109826589594,0.014871067364773838,0.4428878477667254,0.42801678040195157
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,dna_repair,DNA repair expression,136,-0.17491700620773962,0.16911764705882354,-0.21582810592793716,0.32345013975651243,0.5392782456844496
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.14180883843191835,0.16279069767441862,-0.009294233233638507,0.11617770170247728,0.12547193493611578
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,-0.1628728544929884,0.18032786885245902,0.13553217410324367,0.6821285753828958,0.546596401279652
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,proteostasis,Unfolded-protein-response expression,102,-0.20755637597803975,0.14705882352941177,0.040230011009469505,0.3550655625080125,0.31483555149854303
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,-0.10352132243937567,0.33157894736842103,-0.11367821982471263,0.9261587483580006,1.039836968182713
bridge,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.1206636719534852,0.815028901734104,-0.02216537518504927,0.5132338068865663,0.5353991820716155
bridge,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,dna_repair,DNA repair expression,136,0.0386115149320925,0.5808823529411765,-0.2052025007596583,0.2781556656359553,0.4833581663956136
bridge,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.05698706443573153,0.46511627906976744,0.06553617568906618,0.14465254490948723,0.07911636922042103
bridge,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,-0.1548145445867803,0.3551912568306011,0.5402513592410167,1.0533782436756176,0.5131268844346007
bridge,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,proteostasis,Unfolded-protein-response expression,102,-0.032460313071222865,0.5098039215686274,0.1308269572325341,0.33104162071601456,0.2002146634834804
bridge,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,0.02583164209990125,0.5736842105263158,0.8647720272451107,1.885657532063983,1.0208855048188725
bridge,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.03450806354942349,0.6589595375722543,0.11806092945509823,0.3443960642566007,0.22633513480150247
bridge,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,dna_repair,DNA repair expression,136,-0.019263530259623247,0.4411764705882353,-0.17633633779213737,0.20822060390246427,0.3845569416946016
bridge,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.07073050997284956,0.32558139534883723,0.043969288665258836,0.10644719403059555,0.06247790536533672
bridge,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,-0.09301700538197338,0.3442622950819672,0.35944377245933906,0.7568326971698919,0.397388924710553
bridge,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,proteostasis,Unfolded-protein-response expression,102,-0.049127328629587214,0.46078431372549017,0.07229351255833161,0.22835573516901267,0.15606222261068103
bridge,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,0.011558521421332109,0.5473684210526316,0.4964279852993928,1.2669189852120386,0.7704909999126461
bridge,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.058166651841188445,0.6473988439306358,-0.07067463679655075,0.41735373506050555,0.48802837185705616
bridge,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,dna_repair,DNA repair expression,136,-0.026079051963546696,0.41911764705882354,-0.2253479434786002,0.2692647158600645,0.4946126593386648
bridge,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.10685285016201264,0.4186046511627907,0.08129620166552018,0.1496056328917451,0.06830943122622492
bridge,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,-0.195000350180138,0.29508196721311475,0.5242033387212204,1.046753061855645,0.5225497231344248
bridge,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,proteostasis,Unfolded-protein-response expression,102,-0.07171771083684529,0.4215686274509804,0.17887502996058238,0.3637818502242489,0.1849068202636666
bridge,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,-0.022514087510736365,0.48947368421052634,0.7986858375295983,1.7686715914672644,0.969985753937666
bridge,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,-0.027988956562873257,0.4393063583815029,0.07576681940827218,0.3186167288264685,0.24284990941819629
bridge,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,dna_repair,DNA repair expression,136,-0.08395409715526245,0.2647058823529412,-0.19441902829268795,0.25083484467511274,0.4452538729678006
bridge,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.12059629569913066,0.20930232558139536,0.06038031444432739,0.12752987878870437,0.06714956434437698
bridge,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,-0.1332028109753311,0.3005464480874317,0.3422370189605808,0.7374333143054168,0.3951962953448361
bridge,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,proteostasis,Unfolded-protein-response expression,102,-0.08838472639520963,0.3137254901960784,0.11836074631880969,0.279951389071384,0.16159064275257434
bridge,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,-0.036787208189305504,0.4473684210526316,0.4398373327753783,1.2550335878616647,0.8151962550862862
bridge,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.10152260420811658,0.7630057803468208,-0.24787845779776668,0.43260616629771487,0.6804846240954816
bridge,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,dna_repair,DNA repair expression,136,-0.028296137858620462,0.4852941176470588,-0.25531531124079454,0.26186602086674293,0.5171813321075375
bridge,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.11663069216491179,0.37209302325581395,0.06444617980831402,0.1586482413677634,0.09420206155944938
bridge,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,-0.2479863352055758,0.2459016393442623,0.753082496393532,1.2432368188961367,0.4901543225026046
bridge,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,proteostasis,Unfolded-protein-response expression,102,-0.12083179131150246,0.3235294117647059,0.16004462631157862,0.3779598250975869,0.21791519878600824
bridge,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,-0.053672358472096296,0.47368421052631576,0.7309021133787101,1.7749108880113222,1.0440087746326123
bridge,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.015366995804054888,0.5722543352601156,-0.09827734788270207,0.31791653032827194,0.416193878210974
bridge,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,dna_repair,DNA repair expression,136,-0.0861711830503362,0.3014705882352941,-0.22573172855731327,0.24905228766865817,0.47478401622597144
bridge,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.1303741377020298,0.3023255813953488,0.047337009667276844,0.13094119568488785,0.083604186017611
bridge,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,-0.1861887960007689,0.28415300546448086,0.5714270743598474,1.0100003953580843,0.43857332099823687
bridge,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,proteostasis,Unfolded-protein-response expression,102,-0.1374988068698668,0.2647058823529412,0.10180012060893007,0.2954433943546174,0.1936432737456874
bridge,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,-0.06794547915066543,0.41578947368421054,0.3653748306331674,1.2245543676367707,0.8591795370036035
bridge,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.08219517196792399,0.7283236994219653,0.06041672094233795,0.27513443155279627,0.21471771061045825
bridge,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,dna_repair,DNA repair expression,136,0.12817695569794843,0.7352941176470589,0.2810190816482879,0.46478321583965365,0.18376413419136572
bridge,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,0.14819511277384537,0.7209302325581395,0.035057796530379076,0.10658286470548978,0.07152506817511073
bridge,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,0.3996521097180418,0.8688524590163934,-0.11605693086383947,0.7937280280042538,0.9097849588680933
bridge,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,proteostasis,Unfolded-protein-response expression,102,0.1768710180824878,0.803921568627451,-0.004271938726701136,0.24413660704403065,0.24840854577073176
bridge,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,0.15658042894088123,0.7157894736842105,0.10805068651871516,1.1609033714971,1.0528526849783848
