epoch,train_loss,val_loss
0,2.7350630558336886,1.6800001859664917
1,1.3080692462646923,1.1951696872711182
2,1.1695508309446585,1.158599853515625
3,1.1467241406821596,1.1496280431747437
4,1.1434794272096773,1.1465544700622559
