organ,samples,donors,min_correction_cosine,median_correction_cosine,median_random_correction_cosine,min_efficacy_spearman,median_efficacy_spearman,min_top100_jaccard,efficacy_vs_generic_mean,efficacy_vs_generic_95ci_low,efficacy_vs_generic_95ci_high,semantic_vs_random_mean,semantic_vs_random_95ci_low,semantic_vs_random_95ci_high,candidate_stable_genes,representation_gate_pass
adipose,257,159,0.07289637625217438,0.11273060739040375,-0.07514255493879318,0.10161627673644248,0.11424453280307004,0.030927835051546393,0.012073195539414883,0.011799939908087254,0.012337397783994675,0.012099352665245533,0.01180617231875658,0.012364240363240242,822,False
brain,608,74,0.05080569162964821,0.07358242571353912,0.06693350523710251,-0.05690704340057648,0.09322221005895964,0.0,0.046350110322237015,0.0430433414876461,0.04950115457177162,0.046356234699487686,0.04303210228681564,0.04972533509135246,603,False
colon,186,132,-0.05061627924442291,0.024991121143102646,-0.00639818562194705,-0.3182709760147021,-0.07233458536111989,0.005025125628140704,0.003695273771882057,0.0034689968451857567,0.00393061013892293,0.003704142291098833,0.0034708399325609207,0.003922932781279087,303,False
heart,178,108,0.12529009580612183,0.12659743428230286,0.008502933196723461,0.14452892870757,0.1476627280086526,0.0,0.02028805762529373,0.0195514764636755,0.02108009159564972,0.020313819870352745,0.019494954496622086,0.021053414791822433,720,False
liver,48,48,0.12710532546043396,0.18369834125041962,0.010329601354897022,0.059409840854531826,0.11013000521211626,0.02040816326530612,0.058431994169950485,0.0552697516977787,0.06145162135362625,0.058466505259275436,0.05523577705025673,0.06137889251112938,618,False
lung,118,118,0.3498707711696625,0.3665008544921875,-0.09171349555253983,0.26203341345967707,0.2850455155854734,0.10497237569060773,0.0213860422372818,0.01940915733575821,0.023430056869983673,0.02141064964234829,0.019397588446736336,0.02357376553118229,908,False
skeletal_muscle,159,159,-0.03211114928126335,-0.02848133258521557,-0.0433393232524395,0.04000461241866968,0.1590870658175045,0.030927835051546393,0.02562921680510044,0.024471577256917953,0.02665499784052372,0.025684690102934837,0.024612784385681152,0.02678745612502098,684,False
skin,272,166,0.334924578666687,0.41639062762260437,0.02276926301419735,0.3224608799814414,0.34332290861727754,0.14285714285714285,0.10630995035171509,0.10214687883853912,0.11027412116527557,0.10631310939788818,0.10180018097162247,0.11038835346698761,1304,False
