,adipose,brain,colon,heart,liver,lung,skeletal_muscle,skin
adipose,1.0,0.15238213539123535,0.08342134952545166,0.036548808217048645,0.07200761884450912,0.06067216023802757,0.03235439583659172,0.2224113792181015
brain,0.15238213539123535,1.0,0.08142837882041931,0.11809402704238892,0.057032644748687744,0.043009184300899506,0.05200446397066116,0.06092357635498047
colon,0.08342134952545166,0.08142837882041931,1.0,0.03732457756996155,0.054557573050260544,0.12643949687480927,0.006824057083576918,0.29878973960876465
heart,0.036548808217048645,0.11809402704238892,0.03732457756996155,0.9999999403953552,0.3245048522949219,0.011665894649922848,0.25782540440559387,0.021413547918200493
liver,0.07200761884450912,0.057032644748687744,0.054557573050260544,0.3245048522949219,0.9999999403953552,0.0026935809291899204,0.3775423467159271,0.02295396476984024
lung,0.06067216023802757,0.043009184300899506,0.12643949687480927,0.011665894649922848,0.0026935809291899204,0.9999999403953552,0.004067029803991318,0.061373814940452576
skeletal_muscle,0.03235439583659172,0.05200446397066116,0.006824057083576918,0.25782540440559387,0.3775423467159271,0.004067029803991318,0.9999999403953552,0.005524017848074436
skin,0.2224113792181015,0.06092357635498047,0.29878973960876465,0.021413547918200493,0.02295396476984024,0.061373814940452576,0.005524017848074436,0.9999999403953552
