recipient,donor,stratum,frozen_expert_utility_cosine_similarity,mean_effect_vs_a1500_percent,positive_seed_count,donor_ci_low_vs_a1500_percent,donor_ci_high_vs_a1500_percent,mean_effect_vs_a2250_percent,positive_vs_a2250_seed_count,beats_all_random_seed_count
brain,skin,high,0.7750880488,-0.7415865282067662,1,-0.8753290631401581,-0.5956784266171208,-3.962336754727923,0,2
colon,skeletal_muscle,high,0.7018827516,0.27747342268826053,2,0.22854236249024076,0.3274387960011007,-0.9750647402061761,0,2
liver,skin,high,0.7943058608,1.955970293225984,3,1.646821243600248,2.244285426401417,-2.357180190005655,0,3
adipose,lung,middle,0.3292325769,0.10872415879505544,1,-0.011329474469192871,0.22496984779503568,-2.0573296340894767,0,3
heart,adipose,middle,0.45728507,-0.1862724106764426,2,-0.24830256705284084,-0.12092461190556908,-3.217797035779237,0,2
lung,skeletal_muscle,low,0.1175247233,-0.3826400983641963,1,-0.49085004757871264,-0.2898789064811983,-2.465149391285768,0,3
skeletal_muscle,lung,low,0.1175247233,0.8106479160755118,2,0.6969063558451027,0.9182760832949773,-5.010858340678291,0,3
skin,adipose,low,0.09984045506,0.2641373400113817,2,0.19354436215390505,0.338144312959325,-5.327501080760437,0,2
