model,context,calibration,auroc,balanced_accuracy,n,TP,TN,FP,FN,mean_positive_logit,mean_negative_logit
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,3,1.0,1.0,5,4,1,0,0,10.957754147453556,-8.120382521234289
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,4,1.0,1.0,5,4,1,0,0,9.073095990148193,-13.77435699315037
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,5,1.0,0.5,5,4,0,1,0,13.70037903810799,0.10749215072899733
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,1.0,0.5,6,0,2,0,4,-2.590516958343687,-8.04032290957377
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,1,1.0,0.5,6,0,2,0,4,-2.057642395758247,-6.9745737844028834
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,2,1.0,0.5,6,0,2,0,4,-2.776311979332721,-8.411912951551837
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,3,1.0,0.5,6,0,2,0,4,-1.6268148156661102,-6.112918624218609
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,4,1.0,0.5,6,0,2,0,4,-2.3454843992405885,-7.550257791367564
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,5,1.0,0.5,6,0,2,0,4,-1.8126098366551446,-6.484508666196685
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,0.625,0.5,6,0,2,0,4,-7.525987720473651,-9.271130102756867
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,1,0.375,0.5,6,0,2,0,4,-5.337287906746292,-4.89373047530213
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,2,0.75,0.5,6,0,2,0,4,-8.654816908230181,-11.528788478269933
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,3,0.25,0.5,6,0,2,0,4,-4.388444217845478,-2.996043097500513
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,4,0.625,0.5,6,0,2,0,4,-7.705973219329376,-9.631101100468317
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,5,0.375,0.5,6,0,2,0,4,-5.517273405602015,-5.253701473013587
ncbi__expression__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,0,0.7500000000000001,0.5,7,4,0,3,0,92.60082816227508,89.168273767632
ncbi__expression__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,0,1.0,0.5,7,4,0,3,0,132.25844609172515,104.6891109633096
ncbi__expression__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,0.75,0.5,8,4,0,4,0,92.05640625769153,88.18369959586727
ncbi__expression__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,0.9375,0.5,8,4,0,4,0,98.83093230269304,93.62782098457792
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,3,0.25,0.125,5,1,0,1,3,-2.017110378659228,3.4237066094571595
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,4,1.0,0.5,5,0,1,0,4,-8.670974745479532,-16.537886491003746
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,5,1.0,0.5,5,0,1,0,4,-7.575353029249855,-13.25102134231473
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,3,1.0,1.0,5,4,1,0,0,13.109515910826731,-9.458362719661443
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,4,1.0,1.0,5,4,1,0,0,11.089289604341085,-15.519041639118372
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,5,1.0,1.0,5,4,1,0,0,15.799704529020044,-1.3877968650815025
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,0.75,0.5,6,0,2,0,4,-6.600179097381885,-10.48342513317002
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,1,0.75,0.625,6,1,2,0,3,-5.540049951814913,-8.36316684203608
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,2,0.75,0.625,6,1,2,0,3,-5.876434250889776,-9.03593544018581
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,3,0.75,0.625,6,1,2,0,3,-5.628899218657736,-8.54086537572173
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,4,0.75,0.625,6,1,2,0,3,-5.965283517732603,-9.213633973871456
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,5,0.75,0.625,6,1,2,0,3,-4.90515437216563,-7.093375682737518
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,0.5,0.5,6,0,2,0,4,-8.926645882212576,-12.531072158488183
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,1,0.5,0.5,6,0,2,0,4,-5.333076390056357,-5.343933174175733
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,2,1.0,0.5,6,0,2,0,4,-10.281278484961154,-15.240337363985331
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,3,0.0,0.5,6,0,2,0,4,-3.8293415289295956,-2.3364634519222105
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,4,0.5,0.5,6,0,2,0,4,-8.777543623834394,-12.232867641731804
ncbi__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,5,0.5,0.5,6,0,2,0,4,-5.183974131678168,-5.045728657419359
ncbi__expression__ir_control__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,0,0.7500000000000001,0.5,7,4,0,3,0,21.61877551631462,20.00866611275975
ncbi__expression__ir_control__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,0,1.0,0.5,7,4,0,3,0,35.182536080616586,24.656905533978186
ncbi__expression__ir_control__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,0.75,0.5,8,4,0,4,0,20.967667505174393,19.82771124249756
ncbi__expression__ir_control__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,0.6875,0.5,8,4,0,4,0,22.748159097353845,21.60646105990458
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,3,0.25,0.5,5,0,1,0,4,-6.265637855529204,-4.914026865096936
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,4,1.0,0.5,5,0,1,0,4,-8.478713464147528,-11.553253690951905
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,5,1.0,0.5,5,0,1,0,4,-8.331949965723991,-11.11296319568129
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,3,1.0,0.875,5,3,1,0,1,-0.08990091198328762,-9.695350981687287
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,4,1.0,0.75,5,2,1,0,2,-0.689031445635208,-11.49274258264305
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,5,1.0,0.875,5,3,1,0,1,1.0111660194458831,-6.392150187399787
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,0.75,0.5,6,0,2,0,4,-8.894691231037807,-10.391977374911807
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,1,0.75,0.5,6,0,2,0,4,-8.604394732540946,-9.811384377918078
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,2,0.75,0.5,6,0,2,0,4,-8.088110450933238,-8.778815814702659
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,3,0.75,0.5,6,0,2,0,4,-8.502709220140618,-9.608013353117425
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,4,0.75,0.5,6,0,2,0,4,-7.98642493853291,-8.575444789902004
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,5,0.75,0.5,6,0,2,0,4,-7.696128440036047,-7.994851792908275
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,0.5,0.5,6,0,2,0,4,-9.377646096122755,-10.427199659345867
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,1,0.375,0.5,6,0,2,0,4,-8.36538388912647,-8.402675245353304
