model,context,calibration,evaluation,auroc,balanced_accuracy,n,TP,TN,FP,FN,mean_positive_logit,mean_negative_logit
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX01_expr.txt|IMR90|A,8,held_file,1.0,1.0,7,4,3,0,0,13.626447328715823,-7.086074411753995
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX01_expr.txt|IMR90|A,9,held_file,1.0,1.0,7,4,3,0,0,12.69896615764684,-8.631876363535643
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX02_expr.txt|IMR90|E,0,held_file,1.0,1.0,4,3,1,0,0,5.795261603309825,-10.266826014727767
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX02_expr.txt|IMR90|E,1,held_file,1.0,1.0,4,3,1,0,0,6.503280098905006,-8.142770527942238
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX02_expr.txt|IMR90|E,2,held_file,1.0,1.0,4,3,1,0,0,8.458069254647958,-2.2784030607133725
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|ADSC|ADSC,0,other_cell_held_file,1.0,1.0,3,2,1,0,0,18.026731789579344,-7.645479300150564
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|ADSC|ADSC,1,other_cell_held_file,1.0,1.0,3,2,1,0,0,18.63973955221835,-5.806456012233474
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|ADSC|ADSC,2,other_cell_held_file,1.0,1.0,3,2,1,0,0,18.768596979781144,-5.419883729545164
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|HMVEC|HMVEC,0,other_cell_held_file,1.0,0.5,4,0,1,0,3,-4.143316790760827,-5.734297553554045
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|HMVEC|HMVEC,1,other_cell_held_file,1.0,0.5,4,0,1,0,3,-3.9814476891309325,-5.248690248664358
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|HMVEC|HMVEC,2,other_cell_held_file,1.0,0.5,4,0,1,0,3,-4.861494686146406,-7.888831239710806
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|HUVEC|HUVEC,0,other_cell_held_file,1.0,0.8333333333333333,4,2,1,0,1,2.7177150278383415,-5.4989733011475455
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|HUVEC|HUVEC,1,other_cell_held_file,1.0,0.8333333333333333,4,2,1,0,1,1.9260819816761465,-7.082239393471939
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|IMR90|B,0,held_file,1.0,0.5,4,3,0,1,0,7.808909548011449,0.0846762416687678
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|IMR90|B,1,held_file,1.0,1.0,4,3,1,0,0,1.4336269590329394,-12.665888936288232
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|IMR90|C,0,held_file,1.0,1.0,4,3,1,0,0,17.46595305794817,-12.18243291777213
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|IMR90|C,1,held_file,1.0,0.5,4,3,0,1,0,21.94095071072394,1.2425600405551154
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|IMR90|C,2,held_file,1.0,1.0,4,3,1,0,0,18.88278197563481,-7.931946164712199
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|RPTEC|RPTEC,0,other_cell_held_file,1.0,1.0,4,3,1,0,0,19.475499492142593,-6.35505719388353
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|RPTEC|RPTEC,1,other_cell_held_file,1.0,1.0,4,3,1,0,0,18.102997641508544,-10.472562745785602
