study,species,setting,tissue,material,stratum,contrast,n_control,n_exposed,n_training_samples,n_validation_samples
OSD-48,mouse,actual_flight,liver,Liver,||C|c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rlt buffer homogenized and snap frozen,OSD-48|Liver|b28df4aa,5,5,0,0
OSD-562,mouse,actual_flight,brain,Right hippocampus,LAR|OLD||c57bl/6ntac|female|||||for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-562|Right hippocampus|d48ef0fe,3,3,0,0
OSD-562,mouse,actual_flight,brain,Right hippocampus,LAR|YNG||c57bl/6ntac|female|||||for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-562|Right hippocampus|d00a2420,3,3,0,0
OSD-564,mouse,actual_flight,brain,Right hippocampus,|||b6129sf2/j|female|14 - 15 {week}||28 {day}|cryochiller|for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-564|Right hippocampus|416bbee1,5,5,0,0
OSD-576,mouse,actual_flight,skeletal muscle,Right tibialis anterior,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-576|Right tibialis anterior|52cb5fea,6,6,0,0
OSD-580,mouse,actual_flight,heart,heart right ventricle,LAR|OLD||c57bl/6ntac|female|||||liquid nitrogen,OSD-580|heart right ventricle|c7240239,5,5,0,0
OSD-580,mouse,actual_flight,heart,heart right ventricle,LAR|YNG||c57bl/6ntac|female|||||liquid nitrogen,OSD-580|heart right ventricle|85cadd29,5,5,0,0
OSD-599,mouse,actual_flight,heart,Heart,|||c57bl/6j|female|9 - 11 {week}||30 {day}||rnalater or rnaprotect or liquid nitrogen,OSD-599|Heart|9de7889f,3,3,0,0
OSD-665,mouse,actual_flight,skeletal muscle,Right extensor digitorum longus,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-665|Right extensor digitorum longus|52cb5fea,6,6,0,0
OSD-666,mouse,actual_flight,skeletal muscle,Right quadriceps femoris,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-666|Right quadriceps femoris|52cb5fea,6,6,0,0
OSD-667,mouse,actual_flight,colon,Colon,|||b6;129s2|female|14-15 {week}|p21-null|29 {day}|cryochiller|rnalater for 24 hours,OSD-667|Colon|1cbbec91,3,3,0,0
OSD-686,mouse,actual_flight,liver,Liver,|||c57bl/6j|male|9 {week}||30 {day}||liquid nitrogen,OSD-686|Liver|df0bb62b,3,6,0,0
OSD-770,mouse,actual_flight,skeletal muscle,Right soleus,|||c57bl/6j|male|16 - 17 {week}||38 {day}||liquid nitrogen,OSD-770|Right soleus|df447f03,6,6,0,0
OSD-99,mouse,actual_flight,skeletal muscle,Extensor digitorum longus- both sides,|||c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rnalater,OSD-99|Extensor digitorum longus- both sides|2664dccf,6,6,0,0
GSE137081,human,actual_flight,heart,hiPSC-derived cardiomyocytes,all_lines,GSE137081|all_lines,6,6,7,5
GSE113165,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,old,GSE113165|old,6,6,11,1
GSE113165,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,young,GSE113165|young,6,6,11,1
GSE126865,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,all_subjects,GSE126865|all_subjects,3,3,4,2
GSE234465,human,actual_flight,skeletal muscle,human muscle chip,YA,GSE234465|YA,3,3,0,0
GSE234465,human,actual_flight,skeletal muscle,human muscle chip,OS,GSE234465|OS,3,3,0,0
