gene,source_row,method
ACTR6,1520,exact_symbol
ACTR8,1522,exact_symbol
ACTRT1,1523,exact_symbol
ACTRT2,1524,exact_symbol
ACTRT3,1525,exact_symbol
ACVR1,1526,exact_symbol
ACVR1B,1527,exact_symbol
ACVR1C,1528,exact_symbol
ACVR2A,1529,exact_symbol
ACVR2B,1530,exact_symbol
ACVRL1,1531,exact_symbol
ACY1,1532,exact_symbol
ACY3,1533,exact_symbol
ACYP2,1535,exact_symbol
ADA,1538,exact_symbol
ADAD1,1539,exact_symbol
ADAD2,1541,exact_symbol
ADAM10,1543,exact_symbol
ADAM11,1544,exact_symbol
ADAM12,1545,exact_symbol
ADAM15,1546,exact_symbol
ADAM17,1547,exact_symbol
ADAM18,1548,exact_symbol
ADAM2,1552,exact_symbol
ADAM21,1557,exact_symbol
ADAM22,1559,exact_symbol
ADAM23,1560,exact_symbol
ADAM28,1562,exact_symbol
ADAM29,1563,exact_symbol
ADAM30,1564,exact_symbol
ADAM32,1565,exact_symbol
ADAM33,1566,exact_symbol
ADAM7,1572,exact_symbol
ADAM8,1573,exact_symbol
ADAM9,1574,exact_symbol
ADAMDEC1,1575,exact_symbol
ADAMTS1,1576,exact_symbol
ADAMTS10,1577,exact_symbol
ADAMTS12,1578,exact_symbol
ADAMTS13,1579,exact_symbol
ADAMTS14,1580,exact_symbol
ADAMTS15,1581,exact_symbol
ADAMTS16,1582,exact_symbol
ADAMTS17,1583,exact_symbol
ADAMTS18,1584,exact_symbol
ADAMTS19,1585,exact_symbol
ADAMTS2,1586,exact_symbol
ADAMTS20,1587,exact_symbol
ADAMTS3,1588,exact_symbol
ADAMTS4,1589,exact_symbol
ADAMTS5,1590,exact_symbol
ADAMTS6,1591,exact_symbol
ADAMTS7,1592,exact_symbol
ADAMTS8,1596,exact_symbol
ADAMTS9,1597,exact_symbol
ADAMTSL1,1598,exact_symbol
ADAMTSL2,1599,exact_symbol
ADAMTSL3,1600,exact_symbol
ADAMTSL4,1601,exact_symbol
ADAMTSL5,1602,exact_symbol
ADAP1,1603,exact_symbol
ADAP2,1604,exact_symbol
ADAR,1605,exact_symbol
ADARB1,1606,exact_symbol
ADARB2,1607,exact_symbol
ADAT1,1608,exact_symbol
ADAT2,1609,exact_symbol
ADCK1,1611,exact_symbol
ADCK2,1612,exact_symbol
ADCK5,1615,exact_symbol
ADCY1,1616,exact_symbol
ADCY10,1617,exact_symbol
ADCY2,1619,exact_symbol
ADCY3,1620,exact_symbol
ADCY4,1621,exact_symbol
ADCY5,1622,exact_symbol
ADCY6,1623,exact_symbol
ADCY7,1624,exact_symbol
ADCY8,1625,exact_symbol
ADCY9,1626,exact_symbol
ADCYAP1,1627,exact_symbol
ADCYAP1R1,1628,exact_symbol
ADD1,1629,exact_symbol
ADD2,1630,exact_symbol
ADD3,1631,exact_symbol
ADGB,1632,exact_symbol
ADGRA1,1633,exact_symbol
ADGRA2,1634,exact_symbol
ADGRA3,1635,exact_symbol
ADGRB1,1636,exact_symbol
ADGRB2,1637,exact_symbol
ADGRB3,1638,exact_symbol
ADGRD1,1639,exact_symbol
ADGRE1,1641,exact_symbol
ADGRE5,1645,exact_symbol
ADGRF1,1646,exact_symbol
ADGRF3,1648,exact_symbol
ADGRF4,1649,exact_symbol
ADGRF5,1650,exact_symbol
