gsm,series_id,organism_ch1,title,source_name_ch1,characteristics_ch1,platform_id,library_strategy,library_source,instrument_model,molecule_ch1,submission_date,singlecellprobability,metadata_archs4_file,archs4_version
GSM7912166,GSE248366,Homo sapiens,W005M_D3_ExptCtrl,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: M,time: Day3,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.01548855239655376,human_gene_v2.5.h5,2.5
GSM7912167,GSE248366,Homo sapiens,W005M_D6_ExptCtrl,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: M,time: Day6,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.006081490106639789,human_gene_v2.5.h5,2.5
GSM7912168,GSE248366,Homo sapiens,W012M_D3_ExptCtrl,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: M,time: Day3,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.005039004680943763,human_gene_v2.5.h5,2.5
GSM7912169,GSE248366,Homo sapiens,W013F_D3_ExptCtrl,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: F,time: Day3,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.008482053587514428,human_gene_v2.5.h5,2.5
GSM7912170,GSE248366,Homo sapiens,W033F_D3_ExptCtrl,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: F,time: Day3,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.01063035319909096,human_gene_v2.5.h5,2.5
GSM7912172,GSE248366,Homo sapiens,W037M_D3_ExptCtrl,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: M,time: Day3,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.008763819454347612,human_gene_v2.5.h5,2.5
GSM7912173,GSE248366,Homo sapiens,W037M_D6_ExptCtrl,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: M,time: Day6,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.0167306478758821,human_gene_v2.5.h5,2.5
GSM7912174,GSE248366,Homo sapiens,W040F_D3_ExptCtrl,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: F,time: Day3,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.03671310437423143,human_gene_v2.5.h5,2.5
GSM7912175,GSE248366,Homo sapiens,W040F_D6_ExptCtrl,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: F,time: Day6,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.010274415899014554,human_gene_v2.5.h5,2.5
GSM7912176,GSE248366,Homo sapiens,W042M_D3_ExptCtrl,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: M,time: Day3,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.008925163689004444,human_gene_v2.5.h5,2.5
GSM7912177,GSE248366,Homo sapiens,W042M_D6_ExptCtrl,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: M,time: Day6,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.006224513672646795,human_gene_v2.5.h5,2.5
GSM7912178,GSE248366,Homo sapiens,W043F_D6_ExptCtrl,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: F,time: Day6,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.009280891989693668,human_gene_v2.5.h5,2.5
GSM7912179,GSE248366,Homo sapiens,W005M_D3_suG,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: M,time: Day3,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.007655394044600221,human_gene_v2.5.h5,2.5
GSM7912180,GSE248366,Homo sapiens,W012M_D3_suG,Human umbilical cord,"tissue: Human umbilical cord,cell line: Human Wharton's Jelly Stem Cells,cell type: Mesenchymal Stem Cells,Sex: M,time: Day3,treatment: Stimulated microgravity",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Nov 21 2023,0.009172570767136371,human_gene_v2.5.h5,2.5
