id.accession,study.characteristics.material type,counts_file,Ground Control,Ground control,Space Flight
OSD-457,thymus,GLDS-457_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,0,12,12
OSD-457,white adipose tissue,GLDS-457_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,0,12,12
OSD-462,Left kidney,GLDS-462_rna_seq_STAR_Unnormalized_Counts_mRNA_GLbulkRNAseq.csv,12,0,16
OSD-463,Left Lobe of the Liver,GLDS-463_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,10,0,12
OSD-464,Left Lung,GLDS-464_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,9,0,10
OSD-47,Liver,GLDS-47_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,3,0,3
OSD-48,Liver,GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,7,0,7
OSD-506,Spleen,GLDS-506_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,10,0,9
OSD-511,mammary gland,GLDS-511_rna_seq_STAR_Unnormalized_Counts.csv,15,0,10
OSD-512,adrenal gland,GLDS-512_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,10,0,10
OSD-513,Left kidney,GLDS-513_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,10,0,10
OSD-515,thymus,GLDS-515_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,10,0,10
OSD-525,Cerebellum,GLDS-525_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,10,0,10
OSD-561,right hemisphere of cerebellum,GLDS-556_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,12,0,14
OSD-562,Right hippocampus,GLDS-557_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,12,0,15
OSD-563,right hemisphere of cerebellum,GLDS-568_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,5,0,5
OSD-564,Right hippocampus,GLDS-569_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,5,0,5
OSD-576,Right tibialis anterior,GLDS-570_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,9,0,9
