study,species,setting,tissue,material,stratum,contrast,n_control,n_exposed,n_training_samples,n_validation_samples,representation,effect_over_within_rms,split_positive_fraction,split_median_cosine,loo_min_direction_cosine,resampling_unit,n_effective_units,n_balanced_splits,projection_log_count_spearman
OSD-457,mouse,actual_flight,bone,Mandible,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Mandible|3ec2dbad,3,3,0,0,PCA8_descriptive,0.8388234131190833,0.6666666666666666,0.0394093695000652,0.8809037976760983,within-condition sample splits,6,9,-0.6
OSD-457,mouse,actual_flight,bone,Mandible,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Mandible|3ec2dbad,3,3,0,0,model_mean,0.4478496101896032,0.3333333333333333,-0.6502056303480644,0.08872840882396664,within-condition sample splits,6,9,-0.7714285714285715
OSD-457,mouse,actual_flight,bone,Mandible,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Mandible|3ec2dbad,3,3,0,0,model_std,0.6296995348687906,0.2222222222222222,-0.21057591094183706,0.6964960879608947,within-condition sample splits,6,9,-0.6
OSD-457,mouse,actual_flight,bone,Mandible,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Mandible|0f84cf73,3,3,0,0,raw,1.0388687013457356,1.0,0.2586275421561091,0.888100214694065,within-condition sample splits,6,9,1.0
OSD-457,mouse,actual_flight,bone,Mandible,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Mandible|0f84cf73,3,3,0,0,PCA8_descriptive,1.0388687013457374,1.0,0.2586275421561109,0.8881002146940651,within-condition sample splits,6,9,1.0
OSD-457,mouse,actual_flight,bone,Mandible,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Mandible|0f84cf73,3,3,0,0,model_mean,0.24579377366025248,0.1111111111111111,-0.8208539687372209,-0.17099724256264281,within-condition sample splits,6,9,0.028571428571428574
OSD-457,mouse,actual_flight,bone,Mandible,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Mandible|0f84cf73,3,3,0,0,model_std,0.9466482097733505,0.6666666666666666,0.3238684223305025,0.7754043078189992,within-condition sample splits,6,9,0.7142857142857143
OSD-457,mouse,actual_flight,spleen,Spleen,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Spleen|3ec2dbad,6,6,0,0,raw,0.8683270686006609,0.995,0.422918854079167,0.9729201096777196,within-condition sample splits,12,400,-0.034965034965034975
OSD-457,mouse,actual_flight,spleen,Spleen,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Spleen|3ec2dbad,6,6,0,0,PCA8_descriptive,0.9468878911703329,0.995,0.49248490817265766,0.9742136963243613,within-condition sample splits,12,400,-0.06993006993006995
OSD-457,mouse,actual_flight,spleen,Spleen,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Spleen|3ec2dbad,6,6,0,0,model_mean,1.0482102510852318,0.98,0.6559375058789627,0.9445616782947409,within-condition sample splits,12,400,-0.3846153846153847
OSD-457,mouse,actual_flight,spleen,Spleen,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Spleen|3ec2dbad,6,6,0,0,model_std,1.0298064299821492,1.0,0.5607105236676019,0.975252894041541,within-condition sample splits,12,400,-0.1258741258741259
OSD-457,mouse,actual_flight,spleen,Spleen,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Spleen|0f84cf73,6,6,0,0,raw,0.906515218047987,1.0,0.43685493722939384,0.9637114142780142,within-condition sample splits,12,400,0.5944055944055945
OSD-457,mouse,actual_flight,spleen,Spleen,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Spleen|0f84cf73,6,6,0,0,PCA8_descriptive,0.9895690354804604,1.0,0.5069990048760673,0.963674881571875,within-condition sample splits,12,400,0.5174825174825175
OSD-457,mouse,actual_flight,spleen,Spleen,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Spleen|0f84cf73,6,6,0,0,model_mean,1.489208918568805,1.0,0.7900775010192094,0.9884141432331401,within-condition sample splits,12,400,0.3076923076923077
OSD-457,mouse,actual_flight,spleen,Spleen,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Spleen|0f84cf73,6,6,0,0,model_std,1.3447599857046075,1.0,0.7332585668274259,0.983798801554723,within-condition sample splits,12,400,0.4055944055944056
OSD-457,mouse,actual_flight,bone,Temporal Bone,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Temporal Bone|3ec2dbad,6,6,0,0,raw,0.419847267939588,0.29,-0.2001263430530532,0.8417632372480581,within-condition sample splits,12,400,0.4125874125874127
OSD-457,mouse,actual_flight,bone,Temporal Bone,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Temporal Bone|3ec2dbad,6,6,0,0,PCA8_descriptive,0.4249354741069024,0.33,-0.19567944934858797,0.8406583411564348,within-condition sample splits,12,400,0.39860139860139865
OSD-457,mouse,actual_flight,bone,Temporal Bone,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Temporal Bone|3ec2dbad,6,6,0,0,model_mean,0.47886050548290976,0.53,0.05062290715055388,0.8997516839234764,within-condition sample splits,12,400,0.7202797202797203
OSD-457,mouse,actual_flight,bone,Temporal Bone,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Temporal Bone|3ec2dbad,6,6,0,0,model_std,0.29350648887618636,0.31,-0.5709648335745292,0.7017255961810657,within-condition sample splits,12,400,0.6573426573426573
OSD-457,mouse,actual_flight,bone,Temporal Bone,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Temporal Bone|0f84cf73,6,6,0,0,raw,0.4840825900697596,0.515,0.006033924981101059,0.900528581741814,within-condition sample splits,12,400,0.5174825174825175
OSD-457,mouse,actual_flight,bone,Temporal Bone,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Temporal Bone|0f84cf73,6,6,0,0,PCA8_descriptive,0.4917925748056347,0.535,0.02878740131518029,0.9007970070837549,within-condition sample splits,12,400,0.5244755244755246
OSD-457,mouse,actual_flight,bone,Temporal Bone,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Temporal Bone|0f84cf73,6,6,0,0,model_mean,0.5961238698631731,0.7,0.3262970297721095,0.8988450552346335,within-condition sample splits,12,400,0.4545454545454546
OSD-457,mouse,actual_flight,bone,Temporal Bone,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Temporal Bone|0f84cf73,6,6,0,0,model_std,0.3134407858953994,0.22,-0.3516388746244525,0.7582426130173995,within-condition sample splits,12,400,0.4685314685314686
OSD-457,mouse,actual_flight,adipose,brown adipose tissue,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|brown adipose tissue|3ec2dbad,6,6,0,0,raw,1.444511840968405,1.0,0.7544233030131144,0.9702594842503872,within-condition sample splits,12,400,0.7202797202797203
OSD-457,mouse,actual_flight,adipose,brown adipose tissue,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|brown adipose tissue|3ec2dbad,6,6,0,0,PCA8_descriptive,1.4981400490170735,1.0,0.7708145872298955,0.9702605824265608,within-condition sample splits,12,400,0.7202797202797203
OSD-457,mouse,actual_flight,adipose,brown adipose tissue,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|brown adipose tissue|3ec2dbad,6,6,0,0,model_mean,3.104771837106254,1.0,0.9743374240276752,0.9953516206537687,within-condition sample splits,12,400,0.8251748251748254
OSD-457,mouse,actual_flight,adipose,brown adipose tissue,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|brown adipose tissue|3ec2dbad,6,6,0,0,model_std,1.7463274452040185,1.0,0.8330019049820925,0.9789174747027314,within-condition sample splits,12,400,0.7902097902097903
OSD-457,mouse,actual_flight,adipose,brown adipose tissue,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|brown adipose tissue|0f84cf73,6,6,0,0,raw,1.1708502934186154,1.0,0.6680707797175245,0.9702587928566156,within-condition sample splits,12,400,0.6783216783216784
OSD-457,mouse,actual_flight,adipose,brown adipose tissue,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|brown adipose tissue|0f84cf73,6,6,0,0,PCA8_descriptive,1.2196794824804278,1.0,0.6842775011969875,0.9704384516648199,within-condition sample splits,12,400,0.6853146853146854
OSD-457,mouse,actual_flight,adipose,brown adipose tissue,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|brown adipose tissue|0f84cf73,6,6,0,0,model_mean,2.2065539857500562,1.0,0.9581127289770177,0.9963666042422178,within-condition sample splits,12,400,0.7202797202797203
OSD-457,mouse,actual_flight,adipose,brown adipose tissue,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|brown adipose tissue|0f84cf73,6,6,0,0,model_std,1.2491234364418669,1.0,0.7014611147122842,0.9738697784956087,within-condition sample splits,12,400,0.6643356643356644
OSD-457,mouse,actual_flight,thymus,thymus,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|thymus|3ec2dbad,6,6,0,0,raw,1.43501548126887,1.0,0.7346082054957426,0.9897204777449011,within-condition sample splits,12,400,-0.2797202797202798
OSD-457,mouse,actual_flight,thymus,thymus,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|thymus|3ec2dbad,6,6,0,0,PCA8_descriptive,1.6142786187985785,1.0,0.7812378238787945,0.9903484755815702,within-condition sample splits,12,400,-0.2797202797202798
OSD-457,mouse,actual_flight,thymus,thymus,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|thymus|3ec2dbad,6,6,0,0,model_mean,4.843094032922895,1.0,0.991446828385572,0.9994981666082922,within-condition sample splits,12,400,-0.32867132867132864
OSD-457,mouse,actual_flight,thymus,thymus,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|thymus|3ec2dbad,6,6,0,0,model_std,4.088609085921647,1.0,0.9740497959781054,0.9988070317054011,within-condition sample splits,12,400,-0.3426573426573427
OSD-457,mouse,actual_flight,thymus,thymus,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|thymus|0f84cf73,6,6,0,0,raw,1.1545016138794517,1.0,0.618046166072729,0.985076584231776,within-condition sample splits,12,400,-0.35664335664335667
OSD-457,mouse,actual_flight,thymus,thymus,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|thymus|0f84cf73,6,6,0,0,PCA8_descriptive,1.3071729024805703,1.0,0.6856644745933712,0.9860059822702611,within-condition sample splits,12,400,-0.3636363636363637
OSD-457,mouse,actual_flight,thymus,thymus,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|thymus|0f84cf73,6,6,0,0,model_mean,3.2849162681023243,1.0,0.9876988084775737,0.9993991875932552,within-condition sample splits,12,400,-0.35664335664335667
OSD-457,mouse,actual_flight,thymus,thymus,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|thymus|0f84cf73,6,6,0,0,model_std,2.0278308065674064,1.0,0.9293727729322727,0.9973836763902665,within-condition sample splits,12,400,-0.21678321678321683
OSD-457,mouse,actual_flight,adipose,white adipose tissue,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|white adipose tissue|3ec2dbad,6,6,0,0,raw,0.9607353570022202,0.995,0.5132629177404507,0.9747449196643462,within-condition sample splits,12,400,0.2027972027972028
OSD-457,mouse,actual_flight,adipose,white adipose tissue,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|white adipose tissue|3ec2dbad,6,6,0,0,PCA8_descriptive,1.0032280326826652,0.995,0.5497228406495286,0.9747113744048094,within-condition sample splits,12,400,0.2027972027972028
OSD-457,mouse,actual_flight,adipose,white adipose tissue,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|white adipose tissue|3ec2dbad,6,6,0,0,model_mean,0.6031042463863834,0.665,0.426440838498337,0.899030084730008,within-condition sample splits,12,400,0.2937062937062937
OSD-457,mouse,actual_flight,adipose,white adipose tissue,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|white adipose tissue|3ec2dbad,6,6,0,0,model_std,0.9972129998589224,0.995,0.6139444226837645,0.9627241648817091,within-condition sample splits,12,400,0.10489510489510491
OSD-457,mouse,actual_flight,adipose,white adipose tissue,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|white adipose tissue|0f84cf73,6,6,0,0,raw,1.076336973065111,1.0,0.5693134863239959,0.9671265930917957,within-condition sample splits,12,400,0.2517482517482518
OSD-457,mouse,actual_flight,adipose,white adipose tissue,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|white adipose tissue|0f84cf73,6,6,0,0,PCA8_descriptive,1.1365565563610602,1.0,0.6015762271786925,0.9670893779152415,within-condition sample splits,12,400,0.2517482517482518
OSD-457,mouse,actual_flight,adipose,white adipose tissue,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|white adipose tissue|0f84cf73,6,6,0,0,model_mean,1.091407580053863,0.975,0.8602079492461625,0.962913157748617,within-condition sample splits,12,400,0.16783216783216784
OSD-457,mouse,actual_flight,adipose,white adipose tissue,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|white adipose tissue|0f84cf73,6,6,0,0,model_std,0.7963415689169908,0.945,0.39557292164147884,0.8941896971985422,within-condition sample splits,12,400,0.32867132867132864
OSD-463,mouse,actual_flight,liver,Left Lobe of the Liver,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-463|Left Lobe of the Liver|52cb5fea,6,6,0,0,raw,1.008883150867999,1.0,0.5260756795811493,0.9759786000240859,within-condition sample splits,12,400,0.34965034965034975
OSD-463,mouse,actual_flight,liver,Left Lobe of the Liver,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-463|Left Lobe of the Liver|52cb5fea,6,6,0,0,PCA8_descriptive,1.0613114900105396,1.0,0.5649756149390619,0.9768196238417775,within-condition sample splits,12,400,0.34965034965034975
OSD-463,mouse,actual_flight,liver,Left Lobe of the Liver,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-463|Left Lobe of the Liver|52cb5fea,6,6,0,0,model_mean,0.7346339154774515,0.82,0.4731705976516295,0.9427688651335584,within-condition sample splits,12,400,0.7692307692307694
OSD-463,mouse,actual_flight,liver,Left Lobe of the Liver,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-463|Left Lobe of the Liver|52cb5fea,6,6,0,0,model_std,0.9033041116927192,0.945,0.5835484374555073,0.9510696326068868,within-condition sample splits,12,400,0.5664335664335665
OSD-464,mouse,actual_flight,lung,Left Lung,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-464|Left Lung|52cb5fea,6,6,0,0,raw,0.7353487213141405,0.9,0.27618297006757414,0.9152376962502563,within-condition sample splits,12,400,-0.055944055944055944
OSD-464,mouse,actual_flight,lung,Left Lung,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-464|Left Lung|52cb5fea,6,6,0,0,PCA8_descriptive,0.749961126754288,0.92,0.30222897302104285,0.9157012140997652,within-condition sample splits,12,400,-0.055944055944055944
OSD-464,mouse,actual_flight,lung,Left Lung,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-464|Left Lung|52cb5fea,6,6,0,0,model_mean,0.3323575491030821,0.355,-0.2887437301758702,0.6518925382270012,within-condition sample splits,12,400,0.16083916083916086
OSD-464,mouse,actual_flight,lung,Left Lung,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-464|Left Lung|52cb5fea,6,6,0,0,model_std,0.5600081409556239,0.6,0.11590762622785872,0.8701437924168114,within-condition sample splits,12,400,0.027972027972027972
OSD-48,mouse,actual_flight,liver,Liver,||C|c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rlt buffer homogenized and snap frozen,OSD-48|Liver|b28df4aa,5,5,0,0,raw,1.121550598718225,0.99,0.5981446122500775,0.9736217242797607,within-condition sample splits,10,100,0.2121212121212121
OSD-48,mouse,actual_flight,liver,Liver,||C|c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rlt buffer homogenized and snap frozen,OSD-48|Liver|b28df4aa,5,5,0,0,PCA8_descriptive,1.1415628537376015,0.99,0.6069219291059027,0.973634403225918,within-condition sample splits,10,100,0.2121212121212121
OSD-48,mouse,actual_flight,liver,Liver,||C|c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rlt buffer homogenized and snap frozen,OSD-48|Liver|b28df4aa,5,5,0,0,model_mean,1.269098913532421,0.95,0.9483024494135301,0.9960730906531303,within-condition sample splits,10,100,0.43030303030303024
OSD-48,mouse,actual_flight,liver,Liver,||C|c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rlt buffer homogenized and snap frozen,OSD-48|Liver|b28df4aa,5,5,0,0,model_std,1.2291675896529932,0.97,0.8059724411050446,0.9871705055799613,within-condition sample splits,10,100,0.4545454545454545
OSD-562,mouse,actual_flight,brain,Right hippocampus,LAR|OLD||c57bl/6ntac|female|||||for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-562|Right hippocampus|d48ef0fe,3,3,0,0,raw,0.7496964240129285,0.4444444444444444,-0.0805911643313595,0.8413263654408787,within-condition sample splits,6,9,-0.2
OSD-562,mouse,actual_flight,brain,Right hippocampus,LAR|OLD||c57bl/6ntac|female|||||for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-562|Right hippocampus|d48ef0fe,3,3,0,0,PCA8_descriptive,0.7496964240129287,0.4444444444444444,-0.08059116433135939,0.8413263654408787,within-condition sample splits,6,9,-0.2
OSD-562,mouse,actual_flight,brain,Right hippocampus,LAR|OLD||c57bl/6ntac|female|||||for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-562|Right hippocampus|d48ef0fe,3,3,0,0,model_mean,0.9468411448294142,0.6666666666666666,0.5862214267793647,0.8930372406913604,within-condition sample splits,6,9,-0.6571428571428573
OSD-562,mouse,actual_flight,brain,Right hippocampus,LAR|OLD||c57bl/6ntac|female|||||for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-562|Right hippocampus|d48ef0fe,3,3,0,0,model_std,0.7379836728193939,0.4444444444444444,-0.07570494515758035,0.8506869236273765,within-condition sample splits,6,9,-0.3142857142857143
OSD-562,mouse,actual_flight,brain,Right hippocampus,LAR|YNG||c57bl/6ntac|female|||||for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-562|Right hippocampus|d00a2420,3,3,0,0,raw,1.1486541059487994,0.7777777777777778,0.5134858982505844,0.9301648199162532,within-condition sample splits,6,9,0.48571428571428577
OSD-562,mouse,actual_flight,brain,Right hippocampus,LAR|YNG||c57bl/6ntac|female|||||for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-562|Right hippocampus|d00a2420,3,3,0,0,PCA8_descriptive,1.1486541059487996,0.7777777777777778,0.5134858982505857,0.9301648199162531,within-condition sample splits,6,9,0.48571428571428577
OSD-562,mouse,actual_flight,brain,Right hippocampus,LAR|YNG||c57bl/6ntac|female|||||for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-562|Right hippocampus|d00a2420,3,3,0,0,model_mean,1.384052252391413,0.8888888888888888,0.9224641178512847,0.9904680608250579,within-condition sample splits,6,9,0.48571428571428577
OSD-562,mouse,actual_flight,brain,Right hippocampus,LAR|YNG||c57bl/6ntac|female|||||for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-562|Right hippocampus|d00a2420,3,3,0,0,model_std,1.1542431818069825,0.7777777777777778,0.6847165058926681,0.9632335697775599,within-condition sample splits,6,9,0.2571428571428572
OSD-564,mouse,actual_flight,brain,Right hippocampus,|||b6129sf2/j|female|14 - 15 {week}||28 {day}|cryochiller|for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-564|Right hippocampus|416bbee1,5,5,0,0,raw,1.095136769603345,1.0,0.5606312168949,0.9787928328602009,within-condition sample splits,10,100,0.8666666666666665
OSD-564,mouse,actual_flight,brain,Right hippocampus,|||b6129sf2/j|female|14 - 15 {week}||28 {day}|cryochiller|for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-564|Right hippocampus|416bbee1,5,5,0,0,PCA8_descriptive,1.1216173007597539,1.0,0.5866507851667427,0.9789046498911068,within-condition sample splits,10,100,0.8666666666666665
OSD-564,mouse,actual_flight,brain,Right hippocampus,|||b6129sf2/j|female|14 - 15 {week}||28 {day}|cryochiller|for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-564|Right hippocampus|416bbee1,5,5,0,0,model_mean,1.5062614771271554,1.0,0.9256458407795736,0.9958431702129006,within-condition sample splits,10,100,0.8303030303030302
OSD-564,mouse,actual_flight,brain,Right hippocampus,|||b6129sf2/j|female|14 - 15 {week}||28 {day}|cryochiller|for spatial transcriptomics: right brain hemispheres were placed in oct compound and placed on dry ice until frozen throughout; for bulkrnaseq: right brain hemispheres were snap frozen in liquid nitrogen,OSD-564|Right hippocampus|416bbee1,5,5,0,0,model_std,1.1862721263773017,0.98,0.7512016068273935,0.9738357501987683,within-condition sample splits,10,100,0.8060606060606059
OSD-576,mouse,actual_flight,skeletal muscle,Right tibialis anterior,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-576|Right tibialis anterior|52cb5fea,6,6,0,0,raw,1.2449613994500714,1.0,0.6700436446679483,0.9831113117535604,within-condition sample splits,12,400,-0.055944055944055944
OSD-576,mouse,actual_flight,skeletal muscle,Right tibialis anterior,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-576|Right tibialis anterior|52cb5fea,6,6,0,0,PCA8_descriptive,1.3146834069437556,1.0,0.6998657519676084,0.9834446681689228,within-condition sample splits,12,400,-0.055944055944055944
OSD-576,mouse,actual_flight,skeletal muscle,Right tibialis anterior,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-576|Right tibialis anterior|52cb5fea,6,6,0,0,model_mean,0.628208490028762,0.68,0.22835346551768437,0.8178528696903771,within-condition sample splits,12,400,-0.3636363636363637
OSD-576,mouse,actual_flight,skeletal muscle,Right tibialis anterior,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-576|Right tibialis anterior|52cb5fea,6,6,0,0,model_std,0.7918831850666586,0.955,0.3560484222259359,0.9367221317193488,within-condition sample splits,12,400,-0.07692307692307693
OSD-580,mouse,actual_flight,heart,heart right ventricle,LAR|OLD||c57bl/6ntac|female|||||liquid nitrogen,OSD-580|heart right ventricle|c7240239,5,5,0,0,raw,0.5057998843031027,0.18,-0.1943881281278172,0.8947963847011446,within-condition sample splits,10,100,-0.04242424242424241
OSD-580,mouse,actual_flight,heart,heart right ventricle,LAR|OLD||c57bl/6ntac|female|||||liquid nitrogen,OSD-580|heart right ventricle|c7240239,5,5,0,0,PCA8_descriptive,0.4675034737145077,0.1,-0.2869386560822436,0.873496242053056,within-condition sample splits,10,100,-0.04242424242424241
OSD-580,mouse,actual_flight,heart,heart right ventricle,LAR|OLD||c57bl/6ntac|female|||||liquid nitrogen,OSD-580|heart right ventricle|c7240239,5,5,0,0,model_mean,0.3247253085847873,0.27,-0.47450946672054584,0.2737228709582233,within-condition sample splits,10,100,0.5272727272727272
OSD-580,mouse,actual_flight,heart,heart right ventricle,LAR|OLD||c57bl/6ntac|female|||||liquid nitrogen,OSD-580|heart right ventricle|c7240239,5,5,0,0,model_std,0.47270241475650776,0.2,-0.2395032153208729,0.8220801985992823,within-condition sample splits,10,100,-0.12727272727272726
OSD-580,mouse,actual_flight,heart,heart right ventricle,LAR|YNG||c57bl/6ntac|female|||||liquid nitrogen,OSD-580|heart right ventricle|85cadd29,5,5,0,0,raw,0.5311873691726128,0.22,-0.17581157145431514,0.8405037332480696,within-condition sample splits,10,100,-0.6363636363636362
OSD-580,mouse,actual_flight,heart,heart right ventricle,LAR|YNG||c57bl/6ntac|female|||||liquid nitrogen,OSD-580|heart right ventricle|85cadd29,5,5,0,0,PCA8_descriptive,0.5345813465248662,0.23,-0.17921229380688541,0.841083780244027,within-condition sample splits,10,100,-0.6242424242424242
OSD-580,mouse,actual_flight,heart,heart right ventricle,LAR|YNG||c57bl/6ntac|female|||||liquid nitrogen,OSD-580|heart right ventricle|85cadd29,5,5,0,0,model_mean,0.4550114178015693,0.36,-0.4233367531262704,0.08271649603253128,within-condition sample splits,10,100,0.19999999999999998
OSD-580,mouse,actual_flight,heart,heart right ventricle,LAR|YNG||c57bl/6ntac|female|||||liquid nitrogen,OSD-580|heart right ventricle|85cadd29,5,5,0,0,model_std,0.43484749090161084,0.1,-0.31061455883467687,0.7330561604861172,within-condition sample splits,10,100,-0.7212121212121211
OSD-599,mouse,actual_flight,heart,Heart,|||c57bl/6j|female|9 - 11 {week}||30 {day}||rnalater or rnaprotect or liquid nitrogen,OSD-599|Heart|9de7889f,3,3,0,0,raw,1.1431735996648444,0.8888888888888888,0.31166176146411984,0.8811752577873629,within-condition sample splits,6,9,0.3714285714285715
OSD-599,mouse,actual_flight,heart,Heart,|||c57bl/6j|female|9 - 11 {week}||30 {day}||rnalater or rnaprotect or liquid nitrogen,OSD-599|Heart|9de7889f,3,3,0,0,PCA8_descriptive,1.1431735996648442,0.8888888888888888,0.31166176146411967,0.8811752577873628,within-condition sample splits,6,9,0.3714285714285715
OSD-599,mouse,actual_flight,heart,Heart,|||c57bl/6j|female|9 - 11 {week}||30 {day}||rnalater or rnaprotect or liquid nitrogen,OSD-599|Heart|9de7889f,3,3,0,0,model_mean,1.0236076059790424,0.7777777777777778,0.774706422360774,0.8790552628425016,within-condition sample splits,6,9,0.2571428571428572
