study,species,setting,tissue,material,stratum,contrast,n_control,n_exposed,n_training_samples,n_validation_samples,representation,effect_over_within_rms,split_positive_fraction,split_median_cosine,loo_min_direction_cosine,resampling_unit,n_effective_units,n_balanced_splits,projection_log_count_spearman
OSD-245,mouse,actual_flight,liver,Liver,ISS-T|||c57bl/6ntac|female|36 {week}|||-80 {degree celsius}|liquid nitrogen,OSD-245|Liver|83b7ee50,6,6,0,0,PCA8_descriptive,0.5873935583730056,0.635,0.10866978082566493,0.9255326159623121,within-condition sample splits,12,400,0.8951048951048951
OSD-245,mouse,actual_flight,liver,Liver,ISS-T|||c57bl/6ntac|female|36 {week}|||-80 {degree celsius}|liquid nitrogen,OSD-245|Liver|83b7ee50,6,6,0,0,model_mean,0.7986262304375272,0.845,0.7131977571044272,0.9817458986688511,within-condition sample splits,12,400,0.5944055944055945
OSD-245,mouse,actual_flight,liver,Liver,ISS-T|||c57bl/6ntac|female|36 {week}|||-80 {degree celsius}|liquid nitrogen,OSD-245|Liver|83b7ee50,6,6,0,0,model_std,0.4653452626454578,0.435,-0.09568176383224083,0.8829286678667934,within-condition sample splits,12,400,0.6573426573426573
OSD-245,mouse,actual_flight,liver,Liver,LAR|||c57bl/6ntac|female|36 {week}|||{not available}|liquid nitrogen,OSD-245|Liver|8f786fbe,6,6,0,0,raw,0.4896387808581324,0.58,0.0723020792633106,0.6298976583816926,within-condition sample splits,12,400,-0.5384615384615385
OSD-245,mouse,actual_flight,liver,Liver,LAR|||c57bl/6ntac|female|36 {week}|||{not available}|liquid nitrogen,OSD-245|Liver|8f786fbe,6,6,0,0,PCA8_descriptive,0.49354545734342686,0.6,0.09150582373077601,0.6291580098162435,within-condition sample splits,12,400,-0.5664335664335665
OSD-245,mouse,actual_flight,liver,Liver,LAR|||c57bl/6ntac|female|36 {week}|||{not available}|liquid nitrogen,OSD-245|Liver|8f786fbe,6,6,0,0,model_mean,0.21314779288774852,0.07,-0.8132297162894625,-0.314501524063564,within-condition sample splits,12,400,-0.6853146853146854
OSD-245,mouse,actual_flight,liver,Liver,LAR|||c57bl/6ntac|female|36 {week}|||{not available}|liquid nitrogen,OSD-245|Liver|8f786fbe,6,6,0,0,model_std,0.3988132970600704,0.365,-0.20236659420890232,0.25620735878835793,within-condition sample splits,12,400,-0.8321678321678322
OSD-326,mouse,actual_flight,skeletal muscle,Quadriceps femoris,|||c57bl/6j|male|9 {week}||24 to 28 {day}||snap frozen,OSD-326|Quadriceps femoris|6a69abe9,4,4,0,0,raw,0.7992070980958218,0.9444444444444444,0.1406712227289842,0.8572404524187693,within-condition sample splits,8,36,0.04761904761904763
OSD-326,mouse,actual_flight,skeletal muscle,Quadriceps femoris,|||c57bl/6j|male|9 {week}||24 to 28 {day}||snap frozen,OSD-326|Quadriceps femoris|6a69abe9,4,4,0,0,PCA8_descriptive,0.7992070980958218,0.9444444444444444,0.14067122272898447,0.8572404524187696,within-condition sample splits,8,36,0.04761904761904763
OSD-326,mouse,actual_flight,skeletal muscle,Quadriceps femoris,|||c57bl/6j|male|9 {week}||24 to 28 {day}||snap frozen,OSD-326|Quadriceps femoris|6a69abe9,4,4,0,0,model_mean,0.5068604961932045,0.3333333333333333,-0.24094325736796313,0.6546121116888325,within-condition sample splits,8,36,-0.5476190476190477
OSD-326,mouse,actual_flight,skeletal muscle,Quadriceps femoris,|||c57bl/6j|male|9 {week}||24 to 28 {day}||snap frozen,OSD-326|Quadriceps femoris|6a69abe9,4,4,0,0,model_std,0.8483277985052694,0.7777777777777778,0.1821747629018046,0.867442358654062,within-condition sample splits,8,36,-0.4761904761904762
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,ISS-T|OLD||balb/canntac|female||||-80 {degree celsius}|liquid nitrogen,OSD-379|Left Lobe of the Liver|2c17a152,6,6,0,0,raw,0.6402833489707347,0.81,0.15180652769918757,0.7908061224617076,within-condition sample splits,12,400,-0.06993006993006995
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,ISS-T|OLD||balb/canntac|female||||-80 {degree celsius}|liquid nitrogen,OSD-379|Left Lobe of the Liver|2c17a152,6,6,0,0,PCA8_descriptive,0.6511413238573908,0.81,0.1728403414080238,0.7902916630447894,within-condition sample splits,12,400,-0.055944055944055944
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,ISS-T|OLD||balb/canntac|female||||-80 {degree celsius}|liquid nitrogen,OSD-379|Left Lobe of the Liver|2c17a152,6,6,0,0,model_mean,0.20618918461944016,0.015,-0.6730467866365202,0.4696927166870217,within-condition sample splits,12,400,-0.013986013986013986
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,ISS-T|OLD||balb/canntac|female||||-80 {degree celsius}|liquid nitrogen,OSD-379|Left Lobe of the Liver|2c17a152,6,6,0,0,model_std,0.4150478930068314,0.1,-0.3391028892242076,0.3321546261243981,within-condition sample splits,12,400,-0.3356643356643357
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,ISS-T|YNG||balb/canntac|female||||-80 {degree celsius}|liquid nitrogen,OSD-379|Left Lobe of the Liver|a8ed2e02,6,6,0,0,raw,0.5591612315690031,0.575,0.03056877840691428,0.8587247721068562,within-condition sample splits,12,400,0.02097902097902098
