line,representation,post_vs_flight_distance_ratio,flight_post_direction_cosine
1,raw,1.3720692592544816,0.8387906009469398
1,model_mean,1.3613977432250977,0.9612320065498352
1,model_std,1.6252436637878418,0.9128905534744263
2,raw,1.0735365375911128,0.6096194248855196
2,model_mean,1.8847044706344604,0.6037264466285706
2,model_std,0.9454913139343262,0.6389126181602478
3,raw,1.4657805001125432,0.41785253073441697
3,model_mean,2.1641011238098145,0.09390628337860107
3,model_std,1.2730236053466797,0.3546546399593353
