id,source_nonzero,source_total,coverage
OSD-245:Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9,13182,45982521.129999995,0.9993405868776789
OSD-245:Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6,13098,32037214.98,0.9993405868776789
OSD-245:Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4,12644,25775110.749999996,0.9993405868776789
OSD-245:Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8,13062,53210985.28,0.9993405868776789
OSD-245:Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10,13023,34375890.01,0.9993405868776789
OSD-245:Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5,12941,25457324.650000006,0.9993405868776789
OSD-326:SRR11148753,11673,7151758.0,1.0
OSD-326:SRR11148755,13363,124724582.0,1.0
OSD-326:SRR11148754,12181,16040937.0,1.0
OSD-326:SRR11148756,11905,14516159.0,1.0
OSD-326:SRR11148760,13160,70277951.0,1.0
OSD-326:SRR11148757,11485,31131291.0,1.0
OSD-326:SRR11148759,10390,9750244.0,1.0
OSD-326:SRR11148758,11839,16149271.0,1.0
OSD-379:RR8_LVR_GC_ISS-T_OLD_GI16,12980,23701780.0,1.0
OSD-379:RR8_LVR_GC_ISS-T_OLD_GI11,13174,23315899.0,1.0
OSD-379:RR8_LVR_GC_ISS-T_OLD_GI20,12876,21305843.0,1.0
OSD-379:RR8_LVR_GC_ISS-T_OLD_GI13,13066,32671832.0,1.0
OSD-379:RR8_LVR_GC_ISS-T_OLD_GI19,12977,35764722.0,1.0
OSD-379:RR8_LVR_GC_ISS-T_OLD_GI14,12941,22735675.0,1.0
OSD-379:RR8_LVR_FLT_ISS-T_OLD_FI11,13000,25253083.0,1.0
OSD-379:RR8_LVR_FLT_ISS-T_OLD_FI20,12924,30129479.0,1.0
OSD-379:RR8_LVR_FLT_ISS-T_OLD_FI13,12739,23969325.0,1.0
OSD-379:RR8_LVR_FLT_ISS-T_OLD_FI19,12674,21173963.0,1.0
OSD-379:RR8_LVR_FLT_ISS-T_OLD_FI17,13937,28939763.0,1.0
OSD-379:RR8_LVR_FLT_ISS-T_OLD_FI14,12832,29911448.0,1.0
OSD-379:RR8_LVR_GC_ISS-T_YNG_GI8,12911,30615313.0,1.0
OSD-379:RR8_LVR_GC_ISS-T_YNG_GI3,12914,32567199.0,1.0
OSD-379:RR8_LVR_GC_ISS-T_YNG_GI7,12897,26228740.0,1.0
OSD-379:RR8_LVR_GC_ISS-T_YNG_GI2,12988,21811923.0,1.0
OSD-379:RR8_LVR_GC_ISS-T_YNG_GI9,12900,20129216.0,1.0
OSD-379:RR8_LVR_GC_ISS-T_YNG_GI4,12900,26185856.0,1.0
OSD-379:RR8_LVR_FLT_ISS-T_YNG_FI1,12834,21564470.0,1.0
OSD-379:RR8_LVR_FLT_ISS-T_YNG_FI6,12964,34192883.0,1.0
OSD-379:RR8_LVR_FLT_ISS-T_YNG_FI5,12593,25431802.0,1.0
OSD-379:RR8_LVR_FLT_ISS-T_YNG_FI7,12945,35529904.0,1.0
OSD-379:RR8_LVR_FLT_ISS-T_YNG_FI2,12278,18080617.0,1.0
OSD-379:RR8_LVR_FLT_ISS-T_YNG_FI10,13247,22298586.0,1.0
OSD-379:RR8_LVR_GC_LAR_OLD_GL8,12906,26053638.0,1.0
OSD-379:RR8_LVR_GC_LAR_OLD_GL11,12971,20207877.0,1.0
OSD-379:RR8_LVR_GC_LAR_OLD_GL7,13063,22624403.0,1.0
OSD-379:RR8_LVR_GC_LAR_OLD_GL12,12725,20675998.0,1.0
OSD-379:RR8_LVR_GC_LAR_OLD_GL15,12795,36270045.0,1.0
OSD-379:RR8_LVR_GC_LAR_OLD_GL4,13075,16978275.0,1.0
OSD-379:RR8_LVR_FLT_LAR_OLD_FL4,12800,20074143.0,1.0
OSD-379:RR8_LVR_FLT_LAR_OLD_FL7,12720,24795470.0,1.0
OSD-379:RR8_LVR_FLT_LAR_OLD_FL16,12804,22756443.0,1.0
OSD-379:RR8_LVR_FLT_LAR_OLD_FL8,13602,24566145.0,1.0
OSD-379:RR8_LVR_FLT_LAR_OLD_FL15,13339,31834953.0,1.0
OSD-379:RR8_LVR_FLT_LAR_OLD_FL11,13319,23157718.0,1.0
OSD-379:RR8_LVR_GC_LAR_YNG_GL2,12743,19516624.0,1.0
OSD-379:RR8_LVR_GC_LAR_YNG_GL5,13620,24453924.0,1.0
OSD-379:RR8_LVR_GC_LAR_YNG_GL14,12915,20742964.0,1.0
OSD-379:RR8_LVR_GC_LAR_YNG_GL13,13067,24807525.0,1.0
OSD-379:RR8_LVR_GC_LAR_YNG_GL6,12829,21782837.0,1.0
OSD-379:RR8_LVR_GC_LAR_YNG_GL18,13092,21530624.0,1.0
OSD-379:RR8_LVR_FLT_LAR_YNG_FL13,12852,27800612.0,1.0
OSD-379:RR8_LVR_FLT_LAR_YNG_FL5,12539,15023937.0,1.0
OSD-379:RR8_LVR_FLT_LAR_YNG_FL17,13012,12825575.0,1.0
OSD-379:RR8_LVR_FLT_LAR_YNG_FL2,13696,25889317.0,1.0
OSD-379:RR8_LVR_FLT_LAR_YNG_FL6,12740,15600292.0,1.0
OSD-379:RR8_LVR_FLT_LAR_YNG_FL1,12765,17941147.0,1.0
OSD-401:GSM5398359,13193,19872571.0,1.0
OSD-401:GSM5398360,12942,18579421.0,1.0
OSD-401:GSM5398358,13047,18666459.0,1.0
OSD-401:GSM5398362,13149,18449646.0,1.0
OSD-401:GSM5398361,13154,21898079.0,1.0
OSD-401:GSM5398363,13192,21403791.0,1.0
OSD-401:GSM5398366,12010,16091521.0,1.0
OSD-401:GSM5398365,13004,24973157.0,1.0
OSD-401:GSM5398364,13039,19936649.0,1.0
OSD-401:GSM5398369,13029,18870187.0,1.0
OSD-401:GSM5398367,12811,22264937.0,1.0
OSD-401:GSM5398368,12820,18803824.0,1.0
OSD-419:RR1_GST-R_GC_M33,10753,10589499.0,1.0
OSD-419:RR1_GST-R_GC_M37,11032,13183806.0,1.0
OSD-419:RR1_GST-R_GC_M34,9041,3444948.0,1.0
OSD-419:RR1_GST-R_GC_M35,9659,5582045.0,1.0
OSD-419:RR1_GST-R_GC_M36,10954,13776389.0,1.0
OSD-419:RR1_GST-R_GC_M40,9902,6337242.0,1.0
OSD-419:RR1_GST-R_FLT_M26,10450,7749923.0,1.0
OSD-419:RR1_GST-R_FLT_M23,10556,10450441.0,1.0
OSD-419:RR1_GST-R_FLT_M24,11209,9620396.0,1.0
OSD-419:RR1_GST-R_FLT_M25,10518,9176313.0,1.0
OSD-457:GSM4614077,14014,12289318.0,1.0
OSD-457:GSM4614078,14034,12293039.0,1.0
OSD-457:GSM4614085,13990,12341972.0,1.0
OSD-457:GSM4614088,13992,12478496.0,1.0
OSD-457:GSM4614087,14046,12171015.0,1.0
OSD-457:GSM4614080,13948,11928022.0,1.0
OSD-457:GSM4614100,13931,11923991.0,1.0
OSD-457:GSM4614090,13962,12494682.0,1.0
OSD-457:GSM4614092,13953,11316188.0,1.0
OSD-457:GSM4614089,14007,12091756.0,1.0
OSD-457:GSM4614099,14075,12024527.0,1.0
OSD-457:GSM4614097,14012,11730942.0,1.0
OSD-457:GSM4614084,13985,12233940.0,1.0
OSD-457:GSM4614083,13952,12171740.0,1.0
OSD-457:GSM4614081,13911,12153583.0,1.0
OSD-457:GSM4614086,14021,12943609.0,1.0
OSD-457:GSM4614079,13939,12388784.0,1.0
OSD-457:GSM4614082,13965,12367081.0,1.0
OSD-457:GSM4614093,13954,12122613.0,1.0
OSD-457:GSM4614091,13961,12007671.0,1.0
OSD-457:GSM4614095,13985,11917473.0,1.0
OSD-457:GSM4614096,13983,11954615.0,1.0
OSD-457:GSM4614098,13940,12112727.0,1.0
OSD-457:GSM4614094,13973,11541733.0,1.0
OSD-457:GSM4614065,13484,11108150.0,1.0
OSD-457:GSM4614069,13438,10547867.0,1.0
OSD-457:GSM4614070,13441,10429879.0,1.0
OSD-457:GSM4614072,13470,11185449.0,1.0
OSD-457:GSM4614071,13419,11123755.0,1.0
OSD-457:GSM4614076,13531,10891939.0,1.0
OSD-457:GSM4614066,13319,11011567.0,1.0
OSD-457:GSM4614068,13387,11020293.0,1.0
OSD-457:GSM4614067,13512,10637684.0,1.0
OSD-457:GSM4614074,13451,11060223.0,1.0
OSD-457:GSM4614073,13413,11219581.0,1.0
OSD-457:GSM4614075,13418,10719025.0,1.0
OSD-457:GSM4613970,12296,10206778.0,1.0
OSD-457:GSM4613980,12456,10377067.0,1.0
OSD-457:GSM4613969,12318,10606844.0,1.0
OSD-457:GSM4613979,12451,10478966.0,1.0
OSD-457:GSM4613972,12473,10510336.0,1.0
OSD-457:GSM4613977,12519,10408690.0,1.0
OSD-457:GSM4613968,12433,11030847.0,1.0
OSD-457:GSM4613957,12597,11375027.0,1.0
OSD-457:GSM4613965,12377,11015079.0,1.0
OSD-457:GSM4613960,12250,11084585.0,1.0
OSD-457:GSM4613967,12570,10796480.0,1.0
OSD-457:GSM4613958,12211,11369840.0,1.0
OSD-457:GSM4613976,12505,10905015.0,1.0
OSD-457:GSM4613973,12388,10472658.0,1.0
OSD-457:GSM4613978,12443,10447783.0,1.0
OSD-457:GSM4613974,12242,10322367.0,1.0
OSD-457:GSM4613975,12759,10130393.0,1.0
OSD-457:GSM4613971,12309,10370819.0,1.0
OSD-457:GSM4613964,12307,11130091.0,1.0
OSD-457:GSM4613963,12446,10820735.0,1.0
OSD-457:GSM4613961,12188,11089145.0,1.0
OSD-457:GSM4613966,12368,11116939.0,1.0
OSD-457:GSM4613959,12101,10806418.0,1.0
OSD-457:GSM4613962,12259,11074981.0,1.0
OSD-457:GSM4613932,13782,12088500.0,1.0
OSD-457:GSM4613930,13794,12239297.0,1.0
OSD-457:GSM4613931,13773,12213616.0,1.0
