gsm,series_id,organism_ch1,title,source_name_ch1,characteristics_ch1,platform_id,library_strategy,library_source,instrument_model,molecule_ch1,submission_date,singlecellprobability,metadata_archs4_file,archs4_version
GSM7304990,GSE231848,Homo sapiens,"Male, Donor1, Day0",Primary Cell,"individual: Male, Donor1,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Static Control,time: 0 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.0020333787167593244,human_gene_v2.5.h5,2.5
GSM7304991,GSE231848,Homo sapiens,"Male, Donor1, Day1",Primary Cell,"individual: Male, Donor1,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Simulated Microgravity,time: 1 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.0020951565022731605,human_gene_v2.5.h5,2.5
GSM7304992,GSE231848,Homo sapiens,"Male, Donor1, Day3",Primary Cell,"individual: Male, Donor1,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Simulated Microgravity,time: 3 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.0017407291664071401,human_gene_v2.5.h5,2.5
GSM7304993,GSE231848,Homo sapiens,"Male, Donor1, Day7",Primary Cell,"individual: Male, Donor1,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Simulated Microgravity,time: 7 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.0020951565022731605,human_gene_v2.5.h5,2.5
GSM7304994,GSE231848,Homo sapiens,"Male, Donor2, Day0",Primary Cell,"individual: Male, Donor2,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Static Control,time: 0 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.0035558200641296785,human_gene_v2.5.h5,2.5
GSM7304995,GSE231848,Homo sapiens,"Male, Donor2, Day1",Primary Cell,"individual: Male, Donor2,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Simulated Microgravity,time: 1 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.004007281237161712,human_gene_v2.5.h5,2.5
GSM7304996,GSE231848,Homo sapiens,"Male, Donor2, Day3",Primary Cell,"individual: Male, Donor2,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Simulated Microgravity,time: 3 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.0029113583809557662,human_gene_v2.5.h5,2.5
GSM7304997,GSE231848,Homo sapiens,"Male, Donor2, Day7",Primary Cell,"individual: Male, Donor2,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Simulated Microgravity,time: 7 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.011907858161132993,human_gene_v2.5.h5,2.5
GSM7304998,GSE231848,Homo sapiens,"Female, Donor1, Day0",Primary Cell,"individual: Female, Donor1,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Static Control,time: 0 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.0029113583809557662,human_gene_v2.5.h5,2.5
GSM7304999,GSE231848,Homo sapiens,"Female, Donor1, Day1",Primary Cell,"individual: Female, Donor1,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Simulated Microgravity,time: 1 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.0029113583809557662,human_gene_v2.5.h5,2.5
GSM7305000,GSE231848,Homo sapiens,"Female, Donor1, Day3",Primary Cell,"individual: Female, Donor1,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Simulated Microgravity,time: 3 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.003437394689103303,human_gene_v2.5.h5,2.5
GSM7305001,GSE231848,Homo sapiens,"Female, Donor1, Day7",Primary Cell,"individual: Female, Donor1,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Simulated Microgravity,time: 7 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.0034902087018156567,human_gene_v2.5.h5,2.5
GSM7305002,GSE231848,Homo sapiens,"Male, Donor3, Day0",Primary Cell,"individual: Male, Donor3,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Static Control,time: 0 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.006553329261990505,human_gene_v2.5.h5,2.5
GSM7305003,GSE231848,Homo sapiens,"Male, Donor3, Day1",Primary Cell,"individual: Male, Donor3,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Simulated Microgravity,time: 1 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.004070011469573799,human_gene_v2.5.h5,2.5
GSM7305004,GSE231848,Homo sapiens,"Male, Donor3, Day3",Primary Cell,"individual: Male, Donor3,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Simulated Microgravity,time: 3 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.004070011469573799,human_gene_v2.5.h5,2.5
GSM7305005,GSE231848,Homo sapiens,"Male, Donor3, Day7",Primary Cell,"individual: Male, Donor3,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Simulated Microgravity,time: 7 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.003552938934227745,human_gene_v2.5.h5,2.5
GSM7305006,GSE231848,Homo sapiens,"Female, Donor2, Day0",Primary Cell,"individual: Female, Donor2,cell line: Primary Cell,cell type: Meniscus Fibrochondrocytes,genotype: WT,treatment: Static Control,time: 0 day",GPL18573,RNA-Seq,transcriptomic,Illumina NextSeq 500,total RNA,May 06 2023,0.0015691201941256234,human_gene_v2.5.h5,2.5
