recipient,donor,mean_effect_vs_a1500_percent,factor_bootstrap_ci_low_percent,factor_bootstrap_ci_high_percent,positive_combo_count,positive_trunk_mean_count,positive_optimization_mean_count,mean_effect_vs_a2250_percent,positive_vs_a2250_combo_count,combo_effect_sd_percent,classification,variance_fraction_trunk,variance_fraction_optimization,variance_fraction_interaction_and_unresolved
brain,skin,-0.8833122966500246,-1.6210392494073558,-0.2976380952068386,1,0,0,-3.347935377165751,0,0.851401647109553,stable_harmful,0.10877971783794206,0.06034919183198684,0.8308710903300711
colon,skeletal_muscle,-0.10378695579512531,-0.787055420143158,0.3675605009444126,5,2,1,-1.4030221807923513,0,0.6076723422618256,unstable_or_negligible,0.7533640169328344,0.039044430112403924,0.2075915529547618
liver,skin,3.0108100236633537,-0.6320858662648935,7.861653313584222,6,2,2,-2.1014149410320235,4,4.362272172806061,unstable_or_negligible,0.3768659549992932,0.3303648804032772,0.2927691645974297
adipose,lung,0.10164486651255863,-0.4912618763720506,0.80684982753827,6,2,2,-0.9010883184109867,1,0.75518906706388,unstable_or_negligible,0.24141797856759423,0.26164638406213314,0.49693563737027263
heart,adipose,-0.740250627886121,-2.0312795638582117,0.1572990751011575,2,1,0,-2.8809686414107096,1,1.269373864860844,unstable_or_negligible,0.439083631261017,0.047225498692535964,0.513690870046447
lung,skeletal_muscle,-0.9895541954410879,-2.1147442888410763,0.5390789044380216,2,0,1,-2.8265637510724346,2,1.4568181542097158,unstable_or_negligible,0.20394581886105537,0.38401241507329265,0.412041766065652
skeletal_muscle,lung,-1.681888112489091,-4.547553413468086,0.7062432149262058,2,0,1,-5.912531559606685,1,2.8189607286886074,unstable_or_negligible,0.032165694169876656,0.5842892669015525,0.3835450389285709
skin,adipose,-3.3690276084234303,-6.653818227718558,-0.6820142702454298,1,0,0,-9.93658886120373,0,3.2438784884853167,stable_harmful,0.04344982911390949,0.7786817392477833,0.17786843163830743
