comparison,pool,source,pathway,n_genes,source_set_fraction,status,zscore_shift,rank_shift,background_centered_shift,leave_one_sign_retention,robust
muscle_chip_source,OS,first_author_FPKM,Muscle contraction,192,0.9411764705882353,ok,-0.6284220378443688,-0.01064071985128423,-0.06705188882026558,1.0,True
muscle_chip_source,OS,first_primary_counts,TNF-alpha Signaling via NF-kB,183,0.915,ok,-0.5714098563955917,-0.005955503186260147,-0.08681025740673859,1.0,True
muscle_chip_source,OS,first_primary_counts,DNA Repair,137,0.9133333333333333,ok,-0.2609716017946016,0.010742437240277347,0.055410692754379376,1.0,False
muscle_chip_source,OS,first_primary_counts,Myogenesis,190,0.95,ok,-0.5226763822489054,-0.007095023348157037,-0.061778530542828225,1.0,True
muscle_chip_source,OS,first_primary_counts,Unfolded Protein Response,102,0.9026548672566371,ok,-0.3571005421533918,0.014633774057507765,0.051186445700460936,1.0,False
muscle_chip_source,OS,first_primary_counts,Inflammatory Response,177,0.885,ok,-0.33527051447954975,0.007434981469309931,0.01428433198073753,1.0,False
muscle_chip_source,OS,first_primary_counts,Oxidative Phosphorylation,173,0.865,ok,0.20663322914911741,0.009376722784820934,0.13122288174658703,1.0,True
muscle_chip_source,OS,first_primary_counts,Reactive Oxygen Species Pathway,43,0.8775510204081632,ok,0.007285465985112616,0.016541428083452825,0.1327700049564804,0.3333333333333333,False
muscle_chip_source,OS,first_primary_counts,p53 Pathway,186,0.93,ok,-0.41029632080748557,0.002171978604966096,-0.0009531872476923331,1.0,False
muscle_chip_source,OS,first_primary_counts,Circadian clock,106,0.9464285714285714,ok,-0.11902011887923514,0.010489520658904072,0.10414253190845013,1.0,False
muscle_chip_source,OS,first_primary_counts,Muscle contraction,192,0.9411764705882353,ok,-0.686077123746371,-0.011773257947780391,-0.0797167521487665,1.0,True
muscle_chip_source,OS,repeat_author_FPKM,TNF-alpha Signaling via NF-kB,183,0.915,ok,0.4817858317866841,-0.005981134298242319,-0.013175748510679527,1.0,False
muscle_chip_source,OS,repeat_author_FPKM,DNA Repair,137,0.9133333333333333,ok,0.9935489831311601,0.0011221918481116866,0.042729866835975905,1.0,True
muscle_chip_source,OS,repeat_author_FPKM,Myogenesis,190,0.95,ok,0.5630125850001642,-0.00047948039485001814,0.012135451180990131,1.0,False
muscle_chip_source,OS,repeat_author_FPKM,Unfolded Protein Response,102,0.9026548672566371,ok,0.9380281057910889,-0.002507814250757967,0.04850571774555812,1.0,False
muscle_chip_source,OS,repeat_author_FPKM,Inflammatory Response,177,0.885,ok,0.4016363436565965,-0.004340706419348472,-0.05537766879161776,1.0,False
muscle_chip_source,OS,repeat_author_FPKM,Oxidative Phosphorylation,173,0.865,ok,1.1088069392234585,0.0034138427156562567,0.04830792676775619,1.0,True
muscle_chip_source,OS,repeat_author_FPKM,Reactive Oxygen Species Pathway,43,0.8775510204081632,ok,0.47877847627330805,-0.005743665221980221,-0.026806751394315764,1.0,False
muscle_chip_source,OS,repeat_author_FPKM,p53 Pathway,186,0.93,ok,0.5226203942256713,-0.006474261482285026,-0.026089458200666105,1.0,False
muscle_chip_source,OS,repeat_author_FPKM,Circadian clock,106,0.9464285714285714,ok,0.7393458612340438,0.0011959948196412773,0.020416402454732863,1.0,True
muscle_chip_source,OS,repeat_author_FPKM,Muscle contraction,192,0.9411764705882353,ok,0.46545722999789585,0.0014366471412952109,-0.02205303343092402,1.0,False
endothelial_source,microgravity_vs_onboard_1g,author_CPM,TNF-alpha Signaling via NF-kB,164,0.82,ok,-0.5326289577086647,-0.04621103874526489,-0.210232498434836,0.8,False
endothelial_source,microgravity_vs_onboard_1g,author_CPM,DNA Repair,135,0.9,ok,-0.12084630136431684,-0.0032736233054124764,0.0016300618426575708,0.8,False
endothelial_source,microgravity_vs_onboard_1g,author_CPM,Myogenesis,128,0.64,ok,-0.3795656107330334,-0.020315574856191343,-0.09185097897305744,1.0,True
endothelial_source,microgravity_vs_onboard_1g,author_CPM,Unfolded Protein Response,100,0.8849557522123894,ok,-0.23920037463764282,-0.014982137450802457,-0.056336165048577413,1.0,True
endothelial_source,microgravity_vs_onboard_1g,author_CPM,Inflammatory Response,113,0.565,ok,-0.21018100985668597,-0.014786705033504044,-0.07137457399639491,0.8,False
endothelial_source,microgravity_vs_onboard_1g,author_CPM,Oxidative Phosphorylation,169,0.845,ok,0.2086068534186906,0.01802270483888624,0.086127477363106,1.0,True
endothelial_source,microgravity_vs_onboard_1g,author_CPM,Reactive Oxygen Species Pathway,42,0.8571428571428571,ok,0.1624482176252544,0.008949836368092101,0.06686404427196013,1.0,True
endothelial_source,microgravity_vs_onboard_1g,author_CPM,p53 Pathway,173,0.865,ok,-0.5505345344859294,-0.044529583370521375,-0.1995688871380472,0.8,False
endothelial_source,microgravity_vs_onboard_1g,author_CPM,Circadian clock,100,0.8928571428571429,ok,0.0015814354523522958,0.0003088101725702286,0.011487897159757066,0.6,False
endothelial_source,microgravity_vs_onboard_1g,author_CPM,Muscle contraction,95,0.46568627450980393,insufficient_coverage,,,,,False
endothelial_source,microgravity_vs_onboard_1g,NCBI_counts,TNF-alpha Signaling via NF-kB,164,0.82,ok,-0.5375710544929284,-0.04746959526815964,-0.20666904059488464,0.8,False
endothelial_source,microgravity_vs_onboard_1g,NCBI_counts,DNA Repair,135,0.9,ok,-0.1552985493337165,-0.004498603962727277,0.0011138926841759433,0.8,False
endothelial_source,microgravity_vs_onboard_1g,NCBI_counts,Myogenesis,128,0.64,ok,-0.37866282786874783,-0.02047623609218896,-0.08997963812253168,1.0,True
endothelial_source,microgravity_vs_onboard_1g,NCBI_counts,Unfolded Protein Response,100,0.8849557522123894,ok,-0.23074639136202452,-0.015119739630638951,-0.05137994296666892,1.0,True
endothelial_source,microgravity_vs_onboard_1g,NCBI_counts,Inflammatory Response,113,0.565,ok,-0.2083837134206053,-0.014786905977135278,-0.06828325479755115,0.8,False
endothelial_source,microgravity_vs_onboard_1g,NCBI_counts,Oxidative Phosphorylation,169,0.845,ok,0.1732410570561673,0.014842298645484697,0.07485823337045638,0.6,False
endothelial_source,microgravity_vs_onboard_1g,NCBI_counts,Reactive Oxygen Species Pathway,42,0.8571428571428571,ok,0.08323212445188338,0.0033924786990181532,0.046593618424329075,0.8,False
endothelial_source,microgravity_vs_onboard_1g,NCBI_counts,p53 Pathway,173,0.865,ok,-0.5751083311708548,-0.04493244011837205,-0.19475706912869062,0.8,False
