contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift,passes_primary_checks,passes_primary_and_source_checks
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882352,ok,-0.3510565739240056,-0.1106901256409598,-0.0585757352968623,-0.0062177482695089,-0.4679997896073693,-0.2814246584078106,1.0,0.65625,-0.3510565739240056,True,True
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,183,200,184,0.9945652173913044,0.915,ok,0.4817996098030523,0.1163372143726448,-0.0131753363175233,-0.0059811342982423,0.3878895937232009,0.6758959714749251,1.0,0.6502732240437158,0.4817996098030523,False,False
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333332,ok,0.9935698049221464,0.1722438523224094,0.0427313016322412,0.0011221918481116,0.8630196409001394,1.138518763769114,1.0,0.8467153284671532,0.9935698049221464,True,True
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,0.56302802677434,0.1416494379408259,0.0121368872506577,-0.00047948039485,0.4910799848298359,0.6785266059550932,1.0,0.6842105263157895,0.5746917276801818,False,False
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566372,ok,0.938043271854304,0.1780198017269176,0.0485072510367494,-0.0025078142507579,0.8501296671326992,1.060888412117559,1.0,0.7941176470588235,0.938043271854304,False,False
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,0.401645522332376,0.0741340250965987,-0.0553785255935694,-0.0043407064193484,0.3482255054653944,0.486764911668492,1.0,0.5932203389830508,0.401645522332376,False,False
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,1.1088312155360196,0.177822292129183,0.0483097414390147,0.0034138427156562,0.9876557614989911,1.218935323480146,1.0,0.8670520231213873,1.1088312155360196,True,True
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Reactive Oxygen Species Pathway,43,49,44,0.9772727272727272,0.8775510204081632,ok,0.4788034520144241,0.1027072341246313,-0.0268053165655368,-0.0057436652219802,0.3067527623820213,0.7215032190298096,1.0,0.6744186046511628,0.4788034520144241,False,False
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,0.5226374446200758,0.1034240641207251,-0.026088486569443,-0.006474261482285,0.4068738918481075,0.7083032795689783,1.0,0.6720430107526881,0.5226374446200758,False,False
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.7393722076450722,0.1499303725647665,0.0204178218745982,0.0011959948196412,0.618693373699965,0.9139898816962202,1.0,0.7641509433962265,0.7393722076450722,True,True
