contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,0.56302802677434,0.14164943794082596,0.012136887250657757,-0.00047948039485001814,0.49107998482983595,0.6785266059550932,1.0,0.6842105263157895,0.5746917276801818
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,0.9380432718543039,0.17801980172691767,0.048507251036749466,-0.002507814250757967,0.8501296671326992,1.060888412117559,1.0,0.7941176470588235,0.9380432718543039
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,0.40164552233237605,0.07413402509659872,-0.05537852559356948,-0.004340706419348472,0.3482255054653944,0.48676491166849206,1.0,0.5932203389830508,0.40164552233237605
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,1.1088312155360196,0.177822292129183,0.048309741439014786,0.0034138427156562567,0.9876557614989911,1.2189353234801459,1.0,0.8670520231213873,1.1088312155360196
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Reactive Oxygen Species Pathway,43,49,44,0.9772727272727273,0.8775510204081632,ok,0.47880345201442415,0.10270723412463134,-0.026805316565536863,-0.005743665221980221,0.30675276238202137,0.7215032190298096,1.0,0.6744186046511628,0.47880345201442415
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,0.5226374446200758,0.10342406412072513,-0.02608848656944307,-0.006474261482285026,0.4068738918481075,0.7083032795689783,1.0,0.6720430107526881,0.5226374446200758
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.7393722076450722,0.1499303725647665,0.020417821874598285,0.0011959948196412773,0.618693373699965,0.9139898816962202,1.0,0.7641509433962265,0.7393722076450722
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,0.4654685911125491,0.10745956121213052,-0.022052989478037688,0.0014366471412952109,0.400696961255655,0.5081818144176594,1.0,0.65625,0.4654685911125491
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,183,200,184,0.9945652173913043,0.915,ok,-0.3879228584237772,-0.14568812342255422,-0.17926473079835126,-0.028207700572777217,-0.6433948010799941,-0.2044682478774585,1.0,0.6557377049180327,-0.3879228584237772
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,0.5745051859690098,0.10241284259479455,0.06883623521899751,0.009047455783808722,0.4199522863624351,0.8242337129574338,1.0,0.781021897810219,0.5745051859690098
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,0.10612860637495072,-0.004673459795876411,-0.03825006717167345,-0.00831771574009954,0.05466377762019156,0.16345400544295252,1.0,0.5421052631578948,0.114874566574566
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,0.2777091232404925,0.031502857658208594,-0.0020737497175884467,-0.003134228080697521,0.1310546471350369,0.5836919898348513,1.0,0.6372549019607843,0.2777091232404925
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.18178307499113805,-0.07890059279099026,-0.1124772001667873,-0.015572336377345453,-0.3602251074632636,-0.08463334015094884,1.0,0.4971751412429379,-0.18178307499113805
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.9242298316315305,0.15825217103797407,0.12467556366217702,0.008162316609138465,0.809841340207018,1.0859063957401554,1.0,0.8554913294797688,0.9242298316315305
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Reactive Oxygen Species Pathway,43,49,44,0.9772727272727273,0.8775510204081632,ok,0.15450340450858255,0.008076768642825805,-0.025499838732971236,-0.00908293400892013,-0.020664913021649196,0.3774286459398647,0.8333333333333334,0.5813953488372093,0.15450340450858255
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.04707088573494139,-0.027101435000911778,-0.06067804237670882,-0.008355170920408161,-0.17867724865129608,0.10546522890941558,0.6666666666666666,0.5053763440860215,-0.04707088573494139
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.041659179571308685,-0.0064561179393916035,-0.040032725315188644,-0.007128602786375171,-0.14929450610033687,0.24378552920791247,0.6666666666666666,0.5188679245283019,0.041659179571308685
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,0.060744548494337,-0.001546001753822246,-0.03512260912961929,-0.002243571216224538,0.0032551451429774876,0.09128778379418093,1.0,0.5052083333333334,0.060744548494337
