pool,n_genes,gene_response_cosine,same_sign_gene_fraction,both_positive_gene_fraction
YA,173,0.09450561855041043,0.5895953757225434,0.5433526011560693
OS,173,-0.1207582589817673,0.5664739884393064,0.5028901734104047
