contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift
GSE126865|all_subjects,GSE126865,human,skeletal muscle,bed_rest_analog,existing,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,0.1562523131735533,0.04152108301692037,0.017414059129220522,0.001258178067530628,-0.1287730552175842,0.44503321955297304,0.6666666666666666,0.5869565217391305,0.1562523131735533
GSE126865|all_subjects,GSE126865,human,skeletal muscle,bed_rest_analog,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,0.33459416016248195,0.04756662144423096,0.023459597556531115,0.0016039202502900658,0.032367483750735226,0.8043276071870875,1.0,0.7007299270072993,0.33459416016248195
GSE126865|all_subjects,GSE126865,human,skeletal muscle,bed_rest_analog,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.03427756832278842,-0.004603224398012677,-0.028710248285712524,-0.0008164767397584131,-0.2494467938225538,0.10253522892444927,0.3333333333333333,0.5210526315789473,-0.04104895009108176
GSE126865|all_subjects,GSE126865,human,skeletal muscle,bed_rest_analog,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,0.4954248689758829,0.07713000147658233,0.05302297758888248,0.006819559922080646,0.12125767150099559,1.0335741853657314,1.0,0.7647058823529411,0.4954248689758829
GSE126865|all_subjects,GSE126865,human,skeletal muscle,bed_rest_analog,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,0.14855198912672188,0.03735139088357905,0.013244366995879202,0.004241587483886829,-0.015573473586353581,0.386656050149567,0.6666666666666666,0.5819209039548022,0.14855198912672188
GSE126865|all_subjects,GSE126865,human,skeletal muscle,bed_rest_analog,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,-0.588424621771,-0.08530480151920668,-0.10941182540690653,-0.008164535884152372,-0.7202880434228984,-0.48182200528410024,1.0,0.7572254335260116,-0.588424621771
GSE126865|all_subjects,GSE126865,human,skeletal muscle,bed_rest_analog,existing,primary,Reactive Oxygen Species Pathway,44,49,44,1.0,0.8979591836734694,ok,0.2102830627102168,0.06621457752066122,0.04210755363296137,0.00407938904663363,-0.23451763121812386,0.6492876347460701,0.6666666666666666,0.7045454545454546,0.2102830627102168
GSE126865|all_subjects,GSE126865,human,skeletal muscle,bed_rest_analog,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,0.17790245319733744,0.04536367622354328,0.021256652335843434,0.0019399949908072145,-0.07064668652121175,0.6162362711010455,0.3333333333333333,0.6021505376344086,0.17790245319733744
GSE126865|all_subjects,GSE126865,human,skeletal muscle,bed_rest_analog,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.5211414028681206,0.08386831665001566,0.059761292762315815,0.0032026071163407943,0.21138199773742627,0.983175604943211,1.0,0.8207547169811321,0.5211414028681206
GSE126865|all_subjects,GSE126865,human,skeletal muscle,bed_rest_analog,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,0.039003611281903584,0.0028397058712372747,-0.02126731801646257,-0.0017852810128811865,-0.07400808855718125,0.18762068906675589,0.3333333333333333,0.4947916666666667,0.039003611281903584
GSE137081|all_lines,GSE137081,human,heart,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,0.05308056069037393,0.021321534364740824,0.04550164162998878,0.008802601205683583,-0.06801159368957306,0.13433507832829847,0.6666666666666666,0.5489130434782609,0.05308056069037393
GSE137081|all_lines,GSE137081,human,heart,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,0.08359537336466223,0.05304101948828022,0.07722112675352817,0.014257453511751561,-0.03721577400548358,0.22459270979471388,0.6666666666666666,0.5912408759124088,0.08359537336466223
GSE137081|all_lines,GSE137081,human,heart,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,0.021491036871619924,0.045098803426432944,0.0692789106916809,0.004913400991892118,-0.17323814297635773,0.17549141759490383,0.6666666666666666,0.5631578947368421,0.021930805546332477
GSE137081|all_lines,GSE137081,human,heart,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,-0.0649764733227206,0.010102039239569649,0.034282146504817604,0.0032238047415896753,-0.1970992255405901,0.06167155092794098,0.6666666666666666,0.5294117647058824,-0.0649764733227206
GSE137081|all_lines,GSE137081,human,heart,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.0967828600584147,-0.044539906077521785,-0.020359798812273826,-0.003707315571666314,-0.18987496184998975,0.03922663075793643,0.6666666666666666,0.5254237288135594,-0.0967828600584147
GSE137081|all_lines,GSE137081,human,heart,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.34943029405991816,0.1120020897631931,0.13618219702844106,0.015215644829461028,0.15042431285310165,0.5195840021179855,1.0,0.7572254335260116,0.34943029405991816
GSE137081|all_lines,GSE137081,human,heart,actual_flight,existing,primary,Reactive Oxygen Species Pathway,44,49,44,1.0,0.8979591836734694,ok,0.2424975042515005,0.07460032701210058,0.09878043427734853,0.009752935656191323,0.20102998315246798,0.3242696879332499,1.0,0.7045454545454546,0.2424975042515005
GSE137081|all_lines,GSE137081,human,heart,actual_flight,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,0.05378686666188671,0.042986954741787375,0.06716706200703533,0.012154882729858504,0.018013105215353584,0.1055086265507294,1.0,0.532258064516129,0.05378686666188671
GSE137081|all_lines,GSE137081,human,heart,actual_flight,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,-0.07075019334126614,-0.028502357233338788,-0.00432224996809083,-0.0038064839138207316,-0.17797089911105057,-0.01474317856784943,1.0,0.5377358490566038,-0.07075019334126614
GSE137081|all_lines,GSE137081,human,heart,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,-0.14176244537448202,-0.04085032964738063,-0.016670222382132675,-0.006488474023587043,-0.269991828155092,-0.0976598522120106,1.0,0.5677083333333334,-0.14176244537448202
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,183,200,184,0.9945652173913043,0.915,ok,-0.5712907514949082,-0.2033304128582114,-0.08680011286199862,-0.005955503186260147,-0.701698229547399,-0.4730867976496028,1.0,0.6612021857923497,-0.5712907514949082
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,-0.26070871495235654,-0.061107331089258476,0.055422968906954306,0.010742437240277347,-0.4299388029148982,-0.0682379685006403,1.0,0.6058394160583942,-0.26070871495235654
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.5225073701664561,-0.17829445264539068,-0.061764152649177895,-0.007095023348157037,-0.5923243170557222,-0.4960014931221608,1.0,0.6631578947368421,-0.5157021396425904
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,-0.35689238217325503,-0.0653318856520202,0.05119841434419259,0.014633774057507765,-0.4983998813558769,-0.2621659298144711,1.0,0.6078431372549019,-0.35689238217325503
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.3351658936876043,-0.10225747457991319,0.014272825416299595,0.007434981469309931,-0.4654544211957361,-0.23046358887496343,1.0,0.5480225988700564,-0.3351658936876043
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.20696466578849032,0.01470804016369609,0.13123834015990887,0.009376722784820934,0.0058599512144728635,0.374865553913174,1.0,0.5722543352601156,0.20696466578849032
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Reactive Oxygen Species Pathway,43,49,44,0.9772727272727273,0.8775510204081632,ok,0.0075317595999713355,0.01625071714321802,0.1327810171394308,0.016541428083452825,-0.0872942481584505,0.14692627655128052,0.3333333333333333,0.4883720930232558,0.0075317595999713355
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.41012217817778596,-0.11747293839544959,-0.0009426383992368059,0.002171978604966096,-0.5742346612987339,-0.30370526926470826,1.0,0.6505376344086021,-0.41012217817778596
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,-0.11873160685771217,-0.01237647907820083,0.10415382091801195,0.010489520658904072,-0.22591320961851447,-0.04104640066560784,1.0,0.5471698113207547,-0.11873160685771217
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,-0.6859778474126582,-0.19624386318011755,-0.07971356318390477,-0.011773257947780391,-0.7467382108685543,-0.6510565916338602,1.0,0.6875,-0.6859778474126582
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,183,200,184,0.9945652173913043,0.915,ok,-0.7732240792788214,-0.31410675384748865,-0.26199236350339117,-0.0373302705959524,-0.9401592106952849,-0.6354469581586859,1.0,0.7650273224043715,-0.7732240792788214
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,0.1776487402192949,0.025973782174452342,0.07808817251854983,0.008701869237444981,-0.028939572660853695,0.2838228699635874,0.8333333333333334,0.5693430656934306,0.1776487402192949
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.23623844686630968,-0.08682779411809793,-0.03471340377400045,-0.004168303761319048,-0.4237155231270019,-0.12351051760318543,1.0,0.6368421052631579,-0.23258765510637464
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,-0.05111612345790381,-0.024916012205329352,0.02719837813876813,0.003910039935905663,-0.20660290472252812,0.1106046495311179,0.6666666666666666,0.5098039215686274,-0.05111612345790381
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.41915019914369556,-0.11993165022698826,-0.06781725988289078,-0.00929949648825723,-0.4864903107745576,-0.3168392753053112,1.0,0.5932203389830508,-0.41915019914369556
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.33461135759634963,0.047939555234991715,0.1000539455790892,0.0016700392039156187,0.11246194826813635,0.7307631458060163,1.0,0.6416184971098265,0.33461135759634963
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Reactive Oxygen Species Pathway,43,49,44,0.9772727272727273,0.8775510204081632,ok,0.5524636617604807,0.09664298053975218,0.14875737088384966,0.016247215995714326,0.4100024625963588,0.7022558509567007,1.0,0.6744186046511628,0.5524636617604807
