organ,samples,donors,min_module_correction_cosine,median_module_correction_cosine,min_module_efficacy_spearman,median_module_efficacy_spearman,min_top8_module_jaccard,efficacy_mean,efficacy_95ci_low,efficacy_95ci_high,semantic_mean,semantic_95ci_low,semantic_95ci_high,module_gate_pass
adipose,257,159,0.6284152566424243,0.7668207395736185,0.593475073313783,0.7243401759530791,0.3333333333333333,0.012073195539414883,0.011795200407505035,0.012362436391413212,0.012099352665245533,0.011781304143369198,0.012396907433867455,True
brain,608,74,-0.6263819058616664,0.061736475412900886,0.2774926686217008,0.3482404692082111,0.14285714285714285,0.046350110322237015,0.042983829975128174,0.04991133511066437,0.046356234699487686,0.04284990206360817,0.04967255890369415,False
colon,186,132,-0.8443311809855172,-0.7630093358381074,0.13819648093841638,0.16715542521994134,0.3333333333333333,0.003695273771882057,0.003477711696177721,0.003912665415555239,0.003704142291098833,0.0034971742425113916,0.003936085384339094,False
heart,178,108,0.1610138595227233,0.16298120091450546,0.6825513196480938,0.6865835777126099,0.14285714285714285,0.02028805762529373,0.01948513090610504,0.02103939838707447,0.020313819870352745,0.019529150798916817,0.021086448803544044,False
liver,48,48,-0.043455499350275505,-0.01482731693873359,0.7144428152492668,0.7401026392961876,0.3333333333333333,0.058431994169950485,0.05532907694578171,0.061315540224313736,0.058466505259275436,0.05521482229232788,0.06150921434164047,False
lung,118,118,0.22317543496457598,0.49358554616619316,0.7752932551319647,0.8504398826979472,0.3333333333333333,0.0213860422372818,0.0194380059838295,0.02388889156281948,0.02141064964234829,0.019376501441001892,0.023447563871741295,False
skeletal_muscle,159,159,-0.7016039951312227,-0.67344824347521,0.2412023460410557,0.5007331378299119,0.3333333333333333,0.02562921680510044,0.024536658078432083,0.026739971712231636,0.025684690102934837,0.024601757526397705,0.026756031438708305,False
skin,272,166,0.5588647175918018,0.6298405679200134,0.5238269794721407,0.6422287390029325,0.23076923076923078,0.10630995035171509,0.10168225318193436,0.11029192060232162,0.10631310939788818,0.10183712095022202,0.11034028232097626,False
