study,sample,species,tissue,condition_name,unit,survey_source,platform_id,instrument_model,library_strategy,library_source,library_selection,id.assay name,library_type,study.parameter value.sample preservation method,study.parameter value.carcass preservation method
OSD-379,RR8_LVR_FLT_ISS-T_OLD_FI13,mouse,liver,flight,RR8_LVR_FLT_ISS-T_OLD_FI13,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_FLT_ISS-T_OLD_FI19,mouse,liver,flight,RR8_LVR_FLT_ISS-T_OLD_FI19,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_FLT_ISS-T_OLD_FI17,mouse,liver,flight,RR8_LVR_FLT_ISS-T_OLD_FI17,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_FLT_ISS-T_OLD_FI14,mouse,liver,flight,RR8_LVR_FLT_ISS-T_OLD_FI14,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_GC_ISS-T_YNG_GI8,mouse,liver,ground,RR8_LVR_GC_ISS-T_YNG_GI8,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_GC_ISS-T_YNG_GI3,mouse,liver,ground,RR8_LVR_GC_ISS-T_YNG_GI3,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_GC_ISS-T_YNG_GI7,mouse,liver,ground,RR8_LVR_GC_ISS-T_YNG_GI7,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_GC_ISS-T_YNG_GI2,mouse,liver,ground,RR8_LVR_GC_ISS-T_YNG_GI2,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_GC_ISS-T_YNG_GI9,mouse,liver,ground,RR8_LVR_GC_ISS-T_YNG_GI9,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_GC_ISS-T_YNG_GI4,mouse,liver,ground,RR8_LVR_GC_ISS-T_YNG_GI4,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_FLT_ISS-T_YNG_FI1,mouse,liver,flight,RR8_LVR_FLT_ISS-T_YNG_FI1,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_FLT_ISS-T_YNG_FI6,mouse,liver,flight,RR8_LVR_FLT_ISS-T_YNG_FI6,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_FLT_ISS-T_YNG_FI5,mouse,liver,flight,RR8_LVR_FLT_ISS-T_YNG_FI5,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_FLT_ISS-T_YNG_FI7,mouse,liver,flight,RR8_LVR_FLT_ISS-T_YNG_FI7,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_FLT_ISS-T_YNG_FI2,mouse,liver,flight,RR8_LVR_FLT_ISS-T_YNG_FI2,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_FLT_ISS-T_YNG_FI10,mouse,liver,flight,RR8_LVR_FLT_ISS-T_YNG_FI10,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_GC_LAR_OLD_GL8,mouse,liver,ground,RR8_LVR_GC_LAR_OLD_GL8,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_GC_LAR_OLD_GL11,mouse,liver,ground,RR8_LVR_GC_LAR_OLD_GL11,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_GC_LAR_OLD_GL7,mouse,liver,ground,RR8_LVR_GC_LAR_OLD_GL7,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_GC_LAR_OLD_GL12,mouse,liver,ground,RR8_LVR_GC_LAR_OLD_GL12,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_GC_LAR_OLD_GL15,mouse,liver,ground,RR8_LVR_GC_LAR_OLD_GL15,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_GC_LAR_OLD_GL4,mouse,liver,ground,RR8_LVR_GC_LAR_OLD_GL4,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_FLT_LAR_OLD_FL4,mouse,liver,flight,RR8_LVR_FLT_LAR_OLD_FL4,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_FLT_LAR_OLD_FL7,mouse,liver,flight,RR8_LVR_FLT_LAR_OLD_FL7,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_FLT_LAR_OLD_FL16,mouse,liver,flight,RR8_LVR_FLT_LAR_OLD_FL16,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_FLT_LAR_OLD_FL8,mouse,liver,flight,RR8_LVR_FLT_LAR_OLD_FL8,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_FLT_LAR_OLD_FL15,mouse,liver,flight,RR8_LVR_FLT_LAR_OLD_FL15,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_FLT_LAR_OLD_FL11,mouse,liver,flight,RR8_LVR_FLT_LAR_OLD_FL11,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_GC_LAR_YNG_GL2,mouse,liver,ground,RR8_LVR_GC_LAR_YNG_GL2,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_GC_LAR_YNG_GL5,mouse,liver,ground,RR8_LVR_GC_LAR_YNG_GL5,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_GC_LAR_YNG_GL14,mouse,liver,ground,RR8_LVR_GC_LAR_YNG_GL14,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_GC_LAR_YNG_GL13,mouse,liver,ground,RR8_LVR_GC_LAR_YNG_GL13,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_GC_LAR_YNG_GL6,mouse,liver,ground,RR8_LVR_GC_LAR_YNG_GL6,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_GC_LAR_YNG_GL18,mouse,liver,ground,RR8_LVR_GC_LAR_YNG_GL18,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_FLT_LAR_YNG_FL13,mouse,liver,flight,RR8_LVR_FLT_LAR_YNG_FL13,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_FLT_LAR_YNG_FL5,mouse,liver,flight,RR8_LVR_FLT_LAR_YNG_FL5,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_FLT_LAR_YNG_FL17,mouse,liver,flight,RR8_LVR_FLT_LAR_YNG_FL17,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_FLT_LAR_YNG_FL2,mouse,liver,flight,RR8_LVR_FLT_LAR_YNG_FL2,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_FLT_LAR_YNG_FL6,mouse,liver,flight,RR8_LVR_FLT_LAR_YNG_FL6,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-379,RR8_LVR_FLT_LAR_YNG_FL1,mouse,liver,flight,RR8_LVR_FLT_LAR_YNG_FL1,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,{Not Applicable}
OSD-401,GSM5398359,mouse,skeletal muscle,ground,GSM5398359,general_survey_2026-09-12,,,,,,OSD-401_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-401,GSM5398360,mouse,skeletal muscle,ground,GSM5398360,general_survey_2026-09-12,,,,,,OSD-401_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-401,GSM5398358,mouse,skeletal muscle,ground,GSM5398358,general_survey_2026-09-12,,,,,,OSD-401_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-401,GSM5398362,mouse,skeletal muscle,flight,GSM5398362,general_survey_2026-09-12,,,,,,OSD-401_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-401,GSM5398361,mouse,skeletal muscle,flight,GSM5398361,general_survey_2026-09-12,,,,,,OSD-401_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-401,GSM5398363,mouse,skeletal muscle,flight,GSM5398363,general_survey_2026-09-12,,,,,,OSD-401_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-401,GSM5398366,mouse,skeletal muscle,ground,GSM5398366,general_survey_2026-09-12,,,,,,OSD-401_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-401,GSM5398365,mouse,skeletal muscle,ground,GSM5398365,general_survey_2026-09-12,,,,,,OSD-401_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-401,GSM5398364,mouse,skeletal muscle,ground,GSM5398364,general_survey_2026-09-12,,,,,,OSD-401_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-401,GSM5398369,mouse,skeletal muscle,flight,GSM5398369,general_survey_2026-09-12,,,,,,OSD-401_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-401,GSM5398367,mouse,skeletal muscle,flight,GSM5398367,general_survey_2026-09-12,,,,,,OSD-401_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-401,GSM5398368,mouse,skeletal muscle,flight,GSM5398368,general_survey_2026-09-12,,,,,,OSD-401_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-419,RR1_GST-R_GC_M33,mouse,skeletal muscle,ground,RR1_GST-R_GC_M33,general_survey_2026-09-12,,,,,,OSD-419_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,Mini Cold Bag to -80C freezer
OSD-419,RR1_GST-R_GC_M37,mouse,skeletal muscle,ground,RR1_GST-R_GC_M37,general_survey_2026-09-12,,,,,,OSD-419_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,Mini Cold Bag to -80C freezer
OSD-419,RR1_GST-R_GC_M34,mouse,skeletal muscle,ground,RR1_GST-R_GC_M34,general_survey_2026-09-12,,,,,,OSD-419_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,Mini Cold Bag to -80C freezer
OSD-419,RR1_GST-R_GC_M35,mouse,skeletal muscle,ground,RR1_GST-R_GC_M35,general_survey_2026-09-12,,,,,,OSD-419_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,Mini Cold Bag to -80C freezer
OSD-419,RR1_GST-R_GC_M36,mouse,skeletal muscle,ground,RR1_GST-R_GC_M36,general_survey_2026-09-12,,,,,,OSD-419_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,Mini Cold Bag to -80C freezer
OSD-419,RR1_GST-R_GC_M40,mouse,skeletal muscle,ground,RR1_GST-R_GC_M40,general_survey_2026-09-12,,,,,,OSD-419_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,Mini Cold Bag to -80C freezer
OSD-419,RR1_GST-R_FLT_M26,mouse,skeletal muscle,flight,RR1_GST-R_FLT_M26,general_survey_2026-09-12,,,,,,OSD-419_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,Mini Cold Bag to -80C freezer
OSD-419,RR1_GST-R_FLT_M23,mouse,skeletal muscle,flight,RR1_GST-R_FLT_M23,general_survey_2026-09-12,,,,,,OSD-419_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,Mini Cold Bag to -80C freezer
OSD-419,RR1_GST-R_FLT_M24,mouse,skeletal muscle,flight,RR1_GST-R_FLT_M24,general_survey_2026-09-12,,,,,,OSD-419_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,Mini Cold Bag to -80C freezer
OSD-419,RR1_GST-R_FLT_M25,mouse,skeletal muscle,flight,RR1_GST-R_FLT_M25,general_survey_2026-09-12,,,,,,OSD-419_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,Mini Cold Bag to -80C freezer
OSD-457,GSM4614077,mouse,brain,ground,GSM4614077,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614078,mouse,brain,ground,GSM4614078,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614085,mouse,brain,ground,GSM4614085,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614088,mouse,brain,ground,GSM4614088,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614087,mouse,brain,ground,GSM4614087,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614080,mouse,brain,ground,GSM4614080,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614100,mouse,brain,flight,GSM4614100,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614090,mouse,brain,flight,GSM4614090,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614092,mouse,brain,flight,GSM4614092,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614089,mouse,brain,flight,GSM4614089,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614099,mouse,brain,flight,GSM4614099,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614097,mouse,brain,flight,GSM4614097,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614084,mouse,brain,ground,GSM4614084,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614083,mouse,brain,ground,GSM4614083,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614081,mouse,brain,ground,GSM4614081,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614086,mouse,brain,ground,GSM4614086,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614079,mouse,brain,ground,GSM4614079,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614082,mouse,brain,ground,GSM4614082,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614093,mouse,brain,flight,GSM4614093,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614091,mouse,brain,flight,GSM4614091,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614095,mouse,brain,flight,GSM4614095,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614096,mouse,brain,flight,GSM4614096,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614098,mouse,brain,flight,GSM4614098,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614094,mouse,brain,flight,GSM4614094,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614065,mouse,kidney,ground,GSM4614065,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614069,mouse,kidney,ground,GSM4614069,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614070,mouse,kidney,ground,GSM4614070,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614072,mouse,kidney,flight,GSM4614072,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614071,mouse,kidney,flight,GSM4614071,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614076,mouse,kidney,flight,GSM4614076,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614066,mouse,kidney,ground,GSM4614066,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614068,mouse,kidney,ground,GSM4614068,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614067,mouse,kidney,ground,GSM4614067,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614074,mouse,kidney,flight,GSM4614074,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614073,mouse,kidney,flight,GSM4614073,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4614075,mouse,kidney,flight,GSM4614075,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613970,mouse,liver,ground,GSM4613970,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613980,mouse,liver,ground,GSM4613980,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613969,mouse,liver,ground,GSM4613969,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613979,mouse,liver,ground,GSM4613979,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613972,mouse,liver,ground,GSM4613972,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613977,mouse,liver,ground,GSM4613977,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613968,mouse,liver,flight,GSM4613968,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613957,mouse,liver,flight,GSM4613957,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613965,mouse,liver,flight,GSM4613965,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613960,mouse,liver,flight,GSM4613960,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613967,mouse,liver,flight,GSM4613967,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613958,mouse,liver,flight,GSM4613958,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613976,mouse,liver,ground,GSM4613976,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613973,mouse,liver,ground,GSM4613973,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613978,mouse,liver,ground,GSM4613978,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613974,mouse,liver,ground,GSM4613974,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613975,mouse,liver,ground,GSM4613975,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613971,mouse,liver,ground,GSM4613971,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613964,mouse,liver,flight,GSM4613964,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-457,GSM4613963,mouse,liver,flight,GSM4613963,general_survey_2026-09-12,,,,,,OSD-457_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
