study,sample,species,tissue,condition_name,unit,survey_source,platform_id,instrument_model,library_strategy,library_source,library_selection,id.assay name,library_type,study.parameter value.sample preservation method,study.parameter value.carcass preservation method
OSD-103,Mmus_C57-6J_Quad_FLT_Rep3_M25,mouse,skeletal muscle,flight,Mmus_C57-6J_Quad_FLT_Rep3_M25,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
OSD-103,Mmus_C57-6J_Quad_FLT_Rep1_M23,mouse,skeletal muscle,flight,Mmus_C57-6J_Quad_FLT_Rep1_M23,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
OSD-103,Mmus_C57-6J_Quad_FLT_Rep2_M24,mouse,skeletal muscle,flight,Mmus_C57-6J_Quad_FLT_Rep2_M24,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
OSD-104,Mmus_C57-6J_SLS_GC_Rep1_M33,mouse,skeletal muscle,ground,Mmus_C57-6J_SLS_GC_Rep1_M33,general_survey_2026-09-12,,,,,,OSD-104_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-104,Mmus_C57-6J_SLS_GC_Rep6_M38,mouse,skeletal muscle,ground,Mmus_C57-6J_SLS_GC_Rep6_M38,general_survey_2026-09-12,,,,,,OSD-104_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-104,Mmus_C57-6J_SLS_GC_Rep3_M35,mouse,skeletal muscle,ground,Mmus_C57-6J_SLS_GC_Rep3_M35,general_survey_2026-09-12,,,,,,OSD-104_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-104,Mmus_C57-6J_SLS_GC_Rep2_M34,mouse,skeletal muscle,ground,Mmus_C57-6J_SLS_GC_Rep2_M34,general_survey_2026-09-12,,,,,,OSD-104_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-104,Mmus_C57-6J_SLS_GC_Rep4_M36,mouse,skeletal muscle,ground,Mmus_C57-6J_SLS_GC_Rep4_M36,general_survey_2026-09-12,,,,,,OSD-104_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-104,Mmus_C57-6J_SLS_GC_Rep5_M37,mouse,skeletal muscle,ground,Mmus_C57-6J_SLS_GC_Rep5_M37,general_survey_2026-09-12,,,,,,OSD-104_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-104,Mmus_C57-6J_SLS_FLT_Rep1_M23,mouse,skeletal muscle,flight,Mmus_C57-6J_SLS_FLT_Rep1_M23,general_survey_2026-09-12,,,,,,OSD-104_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-104,Mmus_C57-6J_SLS_FLT_Rep2_M24,mouse,skeletal muscle,flight,Mmus_C57-6J_SLS_FLT_Rep2_M24,general_survey_2026-09-12,,,,,,OSD-104_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-104,Mmus_C57-6J_SLS_FLT_Rep3_M25,mouse,skeletal muscle,flight,Mmus_C57-6J_SLS_FLT_Rep3_M25,general_survey_2026-09-12,,,,,,OSD-104_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-104,Mmus_C57-6J_SLS_FLT_Rep5_M27,mouse,skeletal muscle,flight,Mmus_C57-6J_SLS_FLT_Rep5_M27,general_survey_2026-09-12,,,,,,OSD-104_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-104,Mmus_C57-6J_SLS_FLT_Rep6_M28,mouse,skeletal muscle,flight,Mmus_C57-6J_SLS_FLT_Rep6_M28,general_survey_2026-09-12,,,,,,OSD-104_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-104,Mmus_C57-6J_SLS_FLT_Rep4_M26,mouse,skeletal muscle,flight,Mmus_C57-6J_SLS_FLT_Rep4_M26,general_survey_2026-09-12,,,,,,OSD-104_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,RNALater,
OSD-105,Mmus_C57-6J_TA_GC_Rep5_M37,mouse,skeletal muscle,ground,Mmus_C57-6J_TA_GC_Rep5_M37,general_survey_2026-09-12,,,,,,OSD-105_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,
OSD-105,Mmus_C57-6J_TA_GC_Rep1_M33,mouse,skeletal muscle,ground,Mmus_C57-6J_TA_GC_Rep1_M33,general_survey_2026-09-12,,,,,,OSD-105_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,
OSD-105,Mmus_C57-6J_TA_GC_Rep6_M38,mouse,skeletal muscle,ground,Mmus_C57-6J_TA_GC_Rep6_M38,general_survey_2026-09-12,,,,,,OSD-105_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,
OSD-105,Mmus_C57-6J_TA_GC_Rep4_M36,mouse,skeletal muscle,ground,Mmus_C57-6J_TA_GC_Rep4_M36,general_survey_2026-09-12,,,,,,OSD-105_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,
OSD-105,Mmus_C57-6J_TA_GC_Rep2_M34,mouse,skeletal muscle,ground,Mmus_C57-6J_TA_GC_Rep2_M34,general_survey_2026-09-12,,,,,,OSD-105_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,
OSD-105,Mmus_C57-6J_TA_GC_Rep3_M35,mouse,skeletal muscle,ground,Mmus_C57-6J_TA_GC_Rep3_M35,general_survey_2026-09-12,,,,,,OSD-105_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,
OSD-105,Mmus_C57-6J_TA_FLT_Rep1_M23,mouse,skeletal muscle,flight,Mmus_C57-6J_TA_FLT_Rep1_M23,general_survey_2026-09-12,,,,,,OSD-105_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,
OSD-105,Mmus_C57-6J_TA_FLT_Rep3_M25,mouse,skeletal muscle,flight,Mmus_C57-6J_TA_FLT_Rep3_M25,general_survey_2026-09-12,,,,,,OSD-105_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,
OSD-105,Mmus_C57-6J_TA_FLT_Rep2_M24,mouse,skeletal muscle,flight,Mmus_C57-6J_TA_FLT_Rep2_M24,general_survey_2026-09-12,,,,,,OSD-105_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,
OSD-105,Mmus_C57-6J_TA_FLT_Rep4_M26,mouse,skeletal muscle,flight,Mmus_C57-6J_TA_FLT_Rep4_M26,general_survey_2026-09-12,,,,,,OSD-105_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,
OSD-105,Mmus_C57-6J_TA_FLT_Rep5_M27,mouse,skeletal muscle,flight,Mmus_C57-6J_TA_FLT_Rep5_M27,general_survey_2026-09-12,,,,,,OSD-105_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,
OSD-105,Mmus_C57-6J_TA_FLT_Rep6_M28,mouse,skeletal muscle,flight,Mmus_C57-6J_TA_FLT_Rep6_M28,general_survey_2026-09-12,,,,,,OSD-105_transcription-profiling_rna-sequencing-(rna-seq)_illumina,unknown,RNALater,
OSD-245,Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9,mouse,liver,ground,Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-245,Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5,mouse,liver,ground,Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-245,Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6,mouse,liver,ground,Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-245,Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3,mouse,liver,ground,Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-245,Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4,mouse,liver,ground,Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-245,Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10,mouse,liver,ground,Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,-80 {degree Celsius}
