recipient_organ,adipose,brain,colon,heart,liver,lung,skeletal_muscle,skin
adipose,1.928186249,16.93244836,1.122025937,4.190677644,1.75302965,1.715154428,15.99274963,12.64787448
brain,0.3222992413,4.745920037,0.6191966261,1.644920814,0.3826506111,2.338611936,5.123647754,17.16460813
colon,0.8807949894,9.206118458,0.8321001932,2.716762711,0.8183975919,2.05354012,13.47627556,13.12629994
heart,0.2553237757,9.867559398,1.091851717,4.074066377,5.740522158,10.33979264,5.538936867,50.72056812
liver,0.4421575394,5.766858601,0.8096115548,2.467186207,1.208253796,7.74576489,8.74026992,12.63151514
lung,0.418382034,14.301227,2.14042728,5.075538734,2.031077572,0.2938763951,33.78988652,12.89836981
skeletal_muscle,0.7190833423,14.37810355,1.546602104,3.436205317,12.41533761,11.2839036,7.670982413,38.44238829
skin,1.333751014,8.837239795,1.912466296,2.645620389,2.583353765,0.7150361147,15.71198363,9.282386495
