pool,representation,cross_flight_cosine,leave_one_chip_each_min_cosine,leave_one_chip_each_max_cosine,leave_one_chip_each_positive_fraction
YA,raw,-0.18534292508976502,-0.2788524220503514,0.005061562490637208,0.027777777777777776
YA,model_mean,-0.6859870886000922,-0.8562780957201866,-0.35853479780539177,0.0
YA,model_std,-0.30583276102788387,-0.5320844510396404,0.19855436497469275,0.16666666666666666
OS,raw,-0.40165156458679324,-0.4838659651957474,-0.3283143940385829,0.0
OS,model_mean,-0.9633443572993975,-0.9738634069409403,-0.9455474918498935,0.0
OS,model_std,-0.7222558031480791,-0.7797798866717117,-0.6352882340074029,0.0
