fold,variant,id,fraction_features_beyond_train_range,median_abs_train_z,max_abs_train_z
GSE234465__to__GSE298393,FPKM_bridge_L12,GSE298393:GSM9013411,0.3115234375,1.22283192755794,5.72787149292782
GSE234465__to__GSE298393,FPKM_bridge_L12,GSE298393:GSM9013412,0.4208984375,1.479062338864121,5.329933759701216
GSE298393__to__GSE234465,original_expression,GSE234465:GSM7469191,0.4962013609037458,1.6757641368907714,45.89554104850055
GSE298393__to__GSE234465,original_expression,GSE234465:GSM7469192,0.510140714804783,1.752580336851197,243.88466048736166
GSE298393__to__GSE234465,original_expression,GSE234465:GSM7469193,0.5069696769505186,1.7290406419786797,65.29274811555219
GSE298393__to__GSE234465,original_expression,GSE234465:GSM7469194,0.5493162449626743,2.054693177847876,75.13820516885582
GSE298393__to__GSE234465,original_expression,GSE234465:GSM7469195,0.5318755367642202,1.9392873075817285,50.31772693361919
GSE298393__to__GSE234465,original_expression,GSE234465:GSM7469196,0.5698619277267623,2.238413057024062,44.339096944890656
GSE298393__to__GSE234465,original_expression,GSE234465:GSM7469197,0.48265838673449163,1.5703208615691442,68.19689948284045
GSE298393__to__GSE234465,original_expression,GSE234465:GSM7469198,0.4762502477373324,1.5464808348067551,52.614171283103474
GSE298393__to__GSE234465,original_expression,GSE234465:GSM7469199,0.4701063618946951,1.5237335611816707,38.2217556073425
GSE298393__to__GSE234465,original_expression,GSE234465:GSM7469200,0.5283081191781727,1.908747862201921,66.2960061600927
GSE298393__to__GSE234465,original_expression,GSE234465:GSM7469201,0.4863579308978001,1.5986669217880332,76.60637161814427
GSE298393__to__GSE234465,original_expression,GSE234465:GSM7469202,0.48107286780735947,1.559459833656434,38.007498687363835
GSE298393__to__GSE234465,original_bridge,GSE234465:GSM7469191,0.666015625,2.443258579530731,19.987038723428338
GSE298393__to__GSE234465,original_bridge,GSE234465:GSM7469192,0.6806640625,2.584212276690131,21.763594581316205
GSE298393__to__GSE234465,original_bridge,GSE234465:GSM7469193,0.6611328125,2.3090288585004917,23.08882577669494
GSE298393__to__GSE234465,original_bridge,GSE234465:GSM7469194,0.7705078125,3.114476844562514,26.493276001931296
GSE298393__to__GSE234465,original_bridge,GSE234465:GSM7469195,0.7490234375,3.009850216279216,24.607167698558786
GSE298393__to__GSE234465,original_bridge,GSE234465:GSM7469196,0.8046875,3.44632400839046,28.304935761705636
GSE298393__to__GSE234465,original_bridge,GSE234465:GSM7469197,0.5947265625,2.0183978469144783,18.74088011426261
GSE298393__to__GSE234465,original_bridge,GSE234465:GSM7469198,0.6474609375,2.200425449517249,17.680778801819717
GSE298393__to__GSE234465,original_bridge,GSE234465:GSM7469199,0.5439453125,1.7443552777891798,19.944462344211026
GSE298393__to__GSE234465,original_bridge,GSE234465:GSM7469200,0.6962890625,2.445329523849181,24.70250581240707
GSE298393__to__GSE234465,original_bridge,GSE234465:GSM7469201,0.583984375,1.988129657245104,18.7430883746995
GSE298393__to__GSE234465,original_bridge,GSE234465:GSM7469202,0.5625,1.9184903645900753,21.08837456247968
GSE298393__to__GSE234465,FPKM_expression,GSE234465:GSM7469191,0.3736539604941534,1.1566889120786763,56.08588544122668
GSE298393__to__GSE234465,FPKM_expression,GSE234465:GSM7469192,0.3694919733104314,1.139253119198338,333.8034254424086
GSE298393__to__GSE234465,FPKM_expression,GSE234465:GSM7469193,0.3581951509546145,1.1042159409476102,121.67162074634486
GSE298393__to__GSE234465,FPKM_expression,GSE234465:GSM7469194,0.4346964391887428,1.3656501201066078,78.99492760616442
GSE298393__to__GSE234465,FPKM_expression,GSE234465:GSM7469195,0.3958512254740041,1.2176290173974045,45.18994832382409
GSE298393__to__GSE234465,FPKM_expression,GSE234465:GSM7469196,0.456827640879963,1.478258111839753,71.23932379316527
GSE298393__to__GSE234465,FPKM_expression,GSE234465:GSM7469197,0.33196802536830283,1.009586408494796,65.59627095904018
GSE298393__to__GSE234465,FPKM_expression,GSE234465:GSM7469198,0.2663011164695779,0.8589031897587615,67.7419272574328
GSE298393__to__GSE234465,FPKM_expression,GSE234465:GSM7469199,0.2507762436414085,0.8357601526006007,82.50330641749953
GSE298393__to__GSE234465,FPKM_expression,GSE234465:GSM7469200,0.3978331241329193,1.2195866540368054,43.702809353593786
GSE298393__to__GSE234465,FPKM_expression,GSE234465:GSM7469201,0.30164497588689965,0.9299982214426696,192.7653505583809
GSE298393__to__GSE234465,FPKM_expression,GSE234465:GSM7469202,0.3110920261610623,0.9525529600443426,51.20723717731758
GSE298393__to__GSE234465,FPKM_bridge_L12,GSE234465:GSM7469191,0.62890625,1.8777935126228948,10.837258546309311
GSE298393__to__GSE234465,FPKM_bridge_L12,GSE234465:GSM7469192,0.6328125,1.834360198532572,10.015755846916079
GSE298393__to__GSE234465,FPKM_bridge_L12,GSE234465:GSM7469193,0.509765625,1.4967911759819694,13.2566257124699
GSE298393__to__GSE234465,FPKM_bridge_L12,GSE234465:GSM7469194,0.7275390625,2.2872920496384967,9.414795806955963
GSE298393__to__GSE234465,FPKM_bridge_L12,GSE234465:GSM7469195,0.677734375,2.0788134087024304,8.832378531115884
GSE298393__to__GSE234465,FPKM_bridge_L12,GSE234465:GSM7469196,0.720703125,2.445530058856048,9.629473995541543
GSE298393__to__GSE234465,FPKM_bridge_L12,GSE234465:GSM7469197,0.3134765625,0.9024898348237751,13.873219712173642
GSE298393__to__GSE234465,FPKM_bridge_L12,GSE234465:GSM7469198,0.400390625,1.2790565713755315,8.041447138786626
GSE298393__to__GSE234465,FPKM_bridge_L12,GSE234465:GSM7469199,0.150390625,0.6240518047091725,9.99396367283789
GSE298393__to__GSE234465,FPKM_bridge_L12,GSE234465:GSM7469200,0.546875,1.5634081829369584,8.090199345367262
GSE298393__to__GSE234465,FPKM_bridge_L12,GSE234465:GSM7469201,0.23828125,0.8898391591569637,7.936035279602699
GSE298393__to__GSE234465,FPKM_bridge_L12,GSE234465:GSM7469202,0.2119140625,0.7160970678005563,10.105539604118219
