model,target_study,training_pool,labeled_chips,training_ids,n_test,auroc,balanced_accuracy
expression,GSE298393,YA,2,GSE298393:GSM9013396|GSE298393:GSM9013404,6,0.7777777777777778,0.6666666666666666
expression,GSE298393,YA,2,GSE298393:GSM9013396|GSE298393:GSM9013405,6,0.0,0.5
expression,GSE298393,YA,2,GSE298393:GSM9013396|GSE298393:GSM9013406,6,0.3333333333333333,0.5
expression,GSE298393,YA,2,GSE298393:GSM9013397|GSE298393:GSM9013404,6,0.4444444444444445,0.5
expression,GSE298393,YA,2,GSE298393:GSM9013397|GSE298393:GSM9013405,6,0.6666666666666667,0.5
expression,GSE298393,YA,2,GSE298393:GSM9013397|GSE298393:GSM9013406,6,0.11111111111111112,0.5
expression,GSE298393,YA,4,GSE298393:GSM9013395|GSE298393:GSM9013396|GSE298393:GSM9013404|GSE298393:GSM9013405,6,1.0,1.0
expression,GSE298393,YA,4,GSE298393:GSM9013395|GSE298393:GSM9013396|GSE298393:GSM9013404|GSE298393:GSM9013406,6,1.0,1.0
expression,GSE298393,YA,4,GSE298393:GSM9013395|GSE298393:GSM9013396|GSE298393:GSM9013405|GSE298393:GSM9013406,6,1.0,1.0
expression,GSE298393,YA,4,GSE298393:GSM9013395|GSE298393:GSM9013397|GSE298393:GSM9013404|GSE298393:GSM9013405,6,1.0,1.0
expression,GSE298393,YA,4,GSE298393:GSM9013395|GSE298393:GSM9013397|GSE298393:GSM9013404|GSE298393:GSM9013406,6,1.0,1.0
expression,GSE298393,YA,4,GSE298393:GSM9013395|GSE298393:GSM9013397|GSE298393:GSM9013405|GSE298393:GSM9013406,6,1.0,1.0
expression,GSE298393,YA,4,GSE298393:GSM9013396|GSE298393:GSM9013397|GSE298393:GSM9013404|GSE298393:GSM9013405,6,1.0,1.0
expression,GSE298393,YA,4,GSE298393:GSM9013396|GSE298393:GSM9013397|GSE298393:GSM9013404|GSE298393:GSM9013406,6,1.0,1.0
expression,GSE298393,YA,4,GSE298393:GSM9013396|GSE298393:GSM9013397|GSE298393:GSM9013405|GSE298393:GSM9013406,6,1.0,1.0
expression,GSE298393,YA,6,GSE298393:GSM9013395|GSE298393:GSM9013396|GSE298393:GSM9013397|GSE298393:GSM9013404|GSE298393:GSM9013405|GSE298393:GSM9013406,6,1.0,1.0
expression,GSE298393,OS,2,GSE298393:GSM9013398|GSE298393:GSM9013410,6,0.33333333333333337,0.5
expression,GSE298393,OS,2,GSE298393:GSM9013398|GSE298393:GSM9013411,6,0.5555555555555556,0.5
expression,GSE298393,OS,2,GSE298393:GSM9013398|GSE298393:GSM9013412,6,1.0,1.0
expression,GSE298393,OS,2,GSE298393:GSM9013399|GSE298393:GSM9013410,6,1.0,0.8333333333333333
expression,GSE298393,OS,2,GSE298393:GSM9013399|GSE298393:GSM9013411,6,0.6666666666666667,0.3333333333333333
expression,GSE298393,OS,2,GSE298393:GSM9013399|GSE298393:GSM9013412,6,0.7777777777777778,0.5
expression,GSE298393,OS,2,GSE298393:GSM9013400|GSE298393:GSM9013410,6,0.6666666666666667,0.8333333333333333
expression,GSE298393,OS,2,GSE298393:GSM9013400|GSE298393:GSM9013411,6,1.0,1.0
expression,GSE298393,OS,2,GSE298393:GSM9013400|GSE298393:GSM9013412,6,0.5555555555555556,0.5
expression,GSE298393,OS,4,GSE298393:GSM9013398|GSE298393:GSM9013399|GSE298393:GSM9013410|GSE298393:GSM9013411,6,1.0,0.5
