fold,variant,train_logit_mean,test_logit_mean,logit_shift_from_study_offset,train_flight_ground_logit_gap,test_flight_ground_logit_gap,response_cosine_train_scaled
GSE234465__to__GSE298393,original_expression,0.00010473871902361154,4.741687802497604,4.74158306377858,17.329266291831104,-4.101560729781845,-0.24954276256718666
GSE234465__to__GSE298393,original_bridge,0.008480298115749093,20.576362075625187,20.56788177750944,12.716228629226736,-4.325303349110334,-0.6425348442605995
GSE234465__to__GSE298393,FPKM_expression,9.445946321277414e-05,5.4266504826147575,5.426556023151546,17.307307988727022,-4.52234043799945,-0.2693073704479014
GSE234465__to__GSE298393,FPKM_bridge_L12,0.00909970877436909,12.453005948195196,12.443906239420826,13.484970303522774,-6.1479955339957515,-0.6868089297218695
GSE298393__to__GSE234465,original_expression,7.533675478047878e-05,9.280537617020551,9.280462280265773,17.068327404164716,-5.83836293846381,-0.23919838482181127
GSE298393__to__GSE234465,original_bridge,0.0018828717531339894,31.249708904820142,31.247826033067007,13.521654302779465,-9.613426955139168,-0.6931588705026233
GSE298393__to__GSE234465,FPKM_expression,7.533675478047878e-05,9.187220896194699,9.187145559439918,17.068327404164716,-6.060159371253434,-0.24448268408776402
GSE298393__to__GSE234465,FPKM_bridge_L12,0.0018828717531339894,12.544675419717024,12.54279254796389,13.521654302779465,-9.265745006698577,-0.7022164010817568
