source_seed,target_seed,median_component_pearson,gene_space_error_recovery_fraction,held_out_gene_space_mse,predicted_entropy_rank
17,17,0.9776207268812956,0.5966686859681671,0.12694047187738097,17.082875275945288
17,42,0.9768487964185271,0.5826378933760746,0.13482940994366008,18.23564121927954
17,101,0.9766247571619298,0.5834096117152323,0.13660727299691147,16.692502422566417
42,17,0.9787426909507759,0.5979052514761498,0.1265512875923288,17.182540906644007
42,42,0.9777348025549149,0.5841278962775631,0.1343480624307124,18.349361645070232
42,101,0.9770863484488588,0.5846838543923176,0.13618942654114083,16.800880951860858
101,17,0.9782750227071542,0.5981149274304859,0.12648529627536736,17.226495384372342
101,42,0.9786880038982759,0.5842387235849523,0.13431225951467432,18.39492371281948
101,101,0.9783674642063438,0.5848842230938123,0.13612372214018764,16.853444658571743
