first_seed,second_seed,median_component_pearson,median_canonical_correlation,random_basis_median_canonical_correlation,canonical_correlation_margin_over_random_basis
17,42,0.9863894354952396,0.9992269029840634,0.9797676765507375,0.01945922643332587
17,101,0.9808701634535397,0.9993672931767459,0.9811958388603073,0.01817145431643863
42,101,0.9791778498313257,0.9993350562811938,0.9788352861388119,0.020499770142381912
