id.accession,id.assay name,id.sample name,study.characteristics.organism,study.characteristics.strain,study.characteristics.animal source,study.characteristics.age at launch,study.characteristics.sex,study.characteristics.material type,study.factor value.spaceflight,study.factor value.genotype,investigation.study assays.study assay measurement type,investigation.study assays.study assay technology type,assay.protocol ref,study.parameter value.habitat,study.parameter value.duration,study.parameter value.light cycle,study.parameter value.diet,study.parameter value.feeding schedule,study.parameter value.enrichment material,study.parameter value.euthanasia method,study.parameter value.age at euthanasia,study.parameter value.carcass preservation method,study.parameter value.sample weight,study.parameter value.sample preservation method,study.parameter value.sample storage temperature,study.comment.rfid,study.comment.alsda subject id,study.comment.euthanasia date,study.comment.bsp dissection date,study.comment.source description,investigation.study.comment.Project Identifier,id.assay name_rna,investigation.study assays.study assay measurement type_rna,investigation.study assays.study assay technology type_rna,study.characteristics.organism_rna,library_type,modalities_all,modalities_other,has_other_modalities,has_rna_sequencing_rna_seq,has_single_cell_rna_sequencing,counts_file,counts_path
OSD-100,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),Mmus_C57-6J_EYE_FLT_Rep1_M23,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},female,left eye,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,,,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-100_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-100_rna_seq_Unnormalized_Counts.csv
OSD-100,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),Mmus_C57-6J_EYE_FLT_Rep2_M24,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},female,left eye,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,,,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-100_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-100_rna_seq_Unnormalized_Counts.csv
OSD-100,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),Mmus_C57-6J_EYE_FLT_Rep3_M25,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},female,left eye,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,,,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-100_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-100_rna_seq_Unnormalized_Counts.csv
OSD-100,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),Mmus_C57-6J_EYE_FLT_Rep4_M26,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},female,left eye,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,,,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-100_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-100_rna_seq_Unnormalized_Counts.csv
OSD-100,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),Mmus_C57-6J_EYE_FLT_Rep5_M27,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},female,left eye,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,,,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-100_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-100_rna_seq_Unnormalized_Counts.csv
OSD-100,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),Mmus_C57-6J_EYE_FLT_Rep6_M28,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},female,left eye,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,,,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-100_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-100_rna_seq_Unnormalized_Counts.csv
OSD-100,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),Mmus_C57-6J_EYE_GC_Rep1_M33,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},female,left eye,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,,,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-100_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-100_rna_seq_Unnormalized_Counts.csv
OSD-100,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),Mmus_C57-6J_EYE_GC_Rep2_M34,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},female,left eye,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,,,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-100_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-100_rna_seq_Unnormalized_Counts.csv
OSD-100,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),Mmus_C57-6J_EYE_GC_Rep3_M35,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},female,left eye,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,,,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-100_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-100_rna_seq_Unnormalized_Counts.csv
OSD-100,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),Mmus_C57-6J_EYE_GC_Rep4_M36,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},female,left eye,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,,,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-100_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-100_rna_seq_Unnormalized_Counts.csv
OSD-100,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),Mmus_C57-6J_EYE_GC_Rep5_M37,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},female,left eye,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,,,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-100_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-100_rna_seq_Unnormalized_Counts.csv
OSD-100,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),Mmus_C57-6J_EYE_GC_Rep6_M38,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},female,left eye,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,,,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-100_transcription-profiling_rna-sequencing-(rna-seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-100_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-100_rna_seq_Unnormalized_Counts.csv
OSD-101,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_GST_FLT_Rep1_M23,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left gastrocnemius,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-101,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_GST_FLT_Rep2_M24,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left gastrocnemius,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-101,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_GST_FLT_Rep3_M25,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left gastrocnemius,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-101,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_GST_FLT_Rep4_M26,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left gastrocnemius,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-101,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_GST_FLT_Rep5_M27,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left gastrocnemius,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-101,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_GST_FLT_Rep6_M28,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left gastrocnemius,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-101,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_GST_GC_Rep1_M33,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left gastrocnemius,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-101,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_GST_GC_Rep2_M34,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left gastrocnemius,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-101,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_GST_GC_Rep3_M35,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left gastrocnemius,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-101,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_GST_GC_Rep4_M36,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left gastrocnemius,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-101,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_GST_GC_Rep5_M37,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left gastrocnemius,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-101,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_GST_GC_Rep6_M38,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left gastrocnemius,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-102,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,Mmus_C57-6J_KDN_FLT_Rep1_M23,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left kidney,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-102,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,Mmus_C57-6J_KDN_FLT_Rep2_M24,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left kidney,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-102,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,Mmus_C57-6J_KDN_FLT_Rep3_M25,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left kidney,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-102,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,Mmus_C57-6J_KDN_FLT_Rep4_M26,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left kidney,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-102,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,Mmus_C57-6J_KDN_FLT_Rep5_M27,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left kidney,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-102,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,Mmus_C57-6J_KDN_FLT_Rep6_M28,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left kidney,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-102,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,Mmus_C57-6J_KDN_GC_Rep1_M33,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left kidney,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-102,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,Mmus_C57-6J_KDN_GC_Rep2_M34,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left kidney,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
OSD-102,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,Mmus_C57-6J_KDN_GC_Rep3_M35,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Left kidney,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RNALater,-80 {degree Celsius},,,,,,,OSD-102_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv
