,adipose,brain,colon,heart,liver,lung,skeletal_muscle,skin
adipose,0.0,-2.5792737373585877,-1.5660963805614596,-1.1237566236019878,-2.37051542150506,-1.2869059755153731,-1.3866861728212452,-2.620043268356707
brain,-4.780115566926175,0.0,-4.149394089470446,-3.5938509053403966,-3.6378508991289222,-4.0786120111685955,-3.640924930547897,-4.093048508277311
colon,-0.9772693618071406,-2.071883149548235,0.0,-0.5247377555334276,-1.5036689004191792,-1.2077116510940982,-0.7850137085351364,-1.7844060367468666
heart,-2.4690976779978833,-4.635666388664609,-1.9842048458617263,0.0,-4.510439362287914,-2.082307887720627,-1.6807285597563684,-3.158851853655292
liver,-4.270140078482242,-4.695949446620304,-5.088231544079043,-5.212882029963833,0.0,-3.9587543174489803,-5.295280741945812,-3.8401507470362266
lung,-2.850008741096661,-4.256802148326479,-3.2494653376412344,-1.973918474532366,-3.3566643540081578,0.0,-2.7568210917811324,-3.0460188183630765
skeletal_muscle,-5.374912530197125,-6.846045694871597,-4.848511428063848,-3.6334452263133468,-7.443820968906628,-4.389431320992947,0.0,-4.0352764259021825
skin,-5.646419798976451,-6.365854775847622,-5.590498566724101,-3.4223377866157927,-5.027529053501109,-2.6525198218874926,-3.305878301458606,0.0
