probe_source,metric,flight_training_pool,directional_flight_slope,cosine
ncbi,raw,YA,-29.317490519410384,-0.15012171762037047
ncbi,raw,OS,-35.21925017184439,-0.17012456046131885
ncbi,probe_training_scaled,YA,-0.17154236710206394,-0.16366656723970952
ncbi,probe_training_scaled,OS,-0.2158339902140694,-0.2574896654816333
original,raw,YA,-48.0799126680921,-0.24619566493907938
original,raw,OS,-58.343253126596,-0.28182372553690904
original,probe_training_scaled,YA,-0.20667667326474615,-0.21473249759437066
original,probe_training_scaled,OS,-0.24586290818207512,-0.3140461278742073
