id,study,pool,label,route,head,prior_mask_score,matched_mask_score,score_change
GSE234465:GSM7469191,GSE234465,YA,0,original,probe_ncbi,-2.928005972845085,-4.467373854616767,-1.5393678817716818
GSE234465:GSM7469192,GSE234465,YA,0,original,probe_ncbi,-1.7949880956285824,-3.3450331649250984,-1.550045069296516
GSE234465:GSM7469193,GSE234465,YA,0,original,probe_ncbi,-2.0499920173259625,-3.6227366355976756,-1.572744618271713
GSE234465:GSM7469194,GSE234465,OS,0,original,probe_ncbi,-3.0976713926648927,-4.644251202532132,-1.5465798098672394
GSE234465:GSM7469195,GSE234465,OS,0,original,probe_ncbi,-3.3235114426845485,-4.862104595934966,-1.5385931532504173
GSE234465:GSM7469196,GSE234465,OS,0,original,probe_ncbi,-3.3542439429063506,-4.903131194397929,-1.5488872514915784
GSE234465:GSM7469197,GSE234465,YA,1,original,probe_ncbi,-1.8530970422818882,-3.4101387514049293,-1.557041709123041
GSE234465:GSM7469198,GSE234465,YA,1,original,probe_ncbi,-2.3869341484420374,-3.96796479244108,-1.5810306439990427
GSE234465:GSM7469199,GSE234465,YA,1,original,probe_ncbi,1.671746233280146,0.14920804420285094,-1.522538189077295
GSE234465:GSM7469200,GSE234465,OS,1,original,probe_ncbi,-0.9555953885792405,-2.4633589966924774,-1.5077636081132368
GSE234465:GSM7469201,GSE234465,OS,1,original,probe_ncbi,0.05151898053213699,-1.4724990789877666,-1.5240180595199035
GSE234465:GSM7469202,GSE234465,OS,1,original,probe_ncbi,-0.2976116039106955,-1.8147182620497233,-1.5171066581390278
GSE298393:GSM9013395,GSE298393,YA,0,original,probe_ncbi,5.4015112599695385,4.142999330859084,-1.2585119291104547
GSE298393:GSM9013396,GSE298393,YA,0,original,probe_ncbi,6.508657240952289,5.2818824257269625,-1.2267748152253262
GSE298393:GSM9013397,GSE298393,YA,0,original,probe_ncbi,6.086704888005784,4.824668813586527,-1.2620360744192567
GSE298393:GSM9013398,GSE298393,OS,0,original,probe_ncbi,6.398796820526286,5.094914167367392,-1.3038826531588938
GSE298393:GSM9013399,GSE298393,OS,0,original,probe_ncbi,6.962351997425571,5.692328874317013,-1.2700231231085581
GSE298393:GSM9013400,GSE298393,OS,0,original,probe_ncbi,6.4271757452588645,5.1376526748040305,-1.289523070454834
GSE298393:GSM9013404,GSE298393,YA,1,original,probe_ncbi,3.624387444364629,2.464172609967477,-1.1602148343971521
GSE298393:GSM9013405,GSE298393,YA,1,original,probe_ncbi,3.72069588324257,2.483450002377822,-1.237245880864748
GSE298393:GSM9013406,GSE298393,YA,1,original,probe_ncbi,3.460556937398678,2.3580737122622395,-1.1024832251364387
GSE298393:GSM9013410,GSE298393,OS,1,original,probe_ncbi,3.4309761286192497,2.2104079519267543,-1.2205681766924954
GSE298393:GSM9013411,GSE298393,OS,1,original,probe_ncbi,3.5895818274345856,2.3575752234485208,-1.2320066039860649
GSE298393:GSM9013412,GSE298393,OS,1,original,probe_ncbi,2.369823247031377,1.1828142133915662,-1.1870090336398107
GSE234465:GSM7469191,GSE234465,YA,0,original,flight_YA,28.855313873285922,33.94004996241233,5.084736089126409
GSE234465:GSM7469192,GSE234465,YA,0,original,flight_YA,31.934444849752936,37.02987798094114,5.0954331311882015
GSE234465:GSM7469193,GSE234465,YA,0,original,flight_YA,28.63078338904802,33.88495094333257,5.25416755428455
GSE234465:GSM7469194,GSE234465,OS,0,original,flight_YA,35.16673796439545,40.32783588909683,5.16109792470138
GSE234465:GSM7469195,GSE234465,OS,0,original,flight_YA,35.40488330528092,40.58974499703663,5.184861691755714
GSE234465:GSM7469196,GSE234465,OS,0,original,flight_YA,35.02004186394265,40.06995776395365,5.049915900011001
GSE234465:GSM7469197,GSE234465,YA,1,original,flight_YA,25.622437788334764,30.90233109977771,5.279893311442947
GSE234465:GSM7469198,GSE234465,YA,1,original,flight_YA,28.4799493381081,33.66448852659755,5.1845391884894525
GSE234465:GSM7469199,GSE234465,YA,1,original,flight_YA,17.802279560451097,22.95857873932914,5.156299178878044
GSE234465:GSM7469200,GSE234465,OS,1,original,flight_YA,27.67755486807596,32.741016972005355,5.063462103929396
GSE234465:GSM7469201,GSE234465,OS,1,original,flight_YA,24.30859549593356,29.45022579204442,5.141630296110861
GSE234465:GSM7469202,GSE234465,OS,1,original,flight_YA,22.653595407563444,27.698182840268146,5.044587432704702
