head,route,n_donors,positive_shifts,mean_shift,median_shift,leave_one_donor_mean_min,leave_one_donor_mean_max
flight_OS,harmonized,7,1,-2.1519958313128233,-2.5901169055919127,-3.189126982088586,-1.343913127865297
flight_OS,wider_gene_mask,7,1,-2.1346168915512016,-2.5621603505949224,-3.1340276679233057,-1.3501009648869058
flight_YA,harmonized,7,1,-3.0474963955061867,-3.398962645255324,-4.159898990835511,-2.30671394751702
flight_YA,wider_gene_mask,7,1,-3.0481238452054122,-3.363510792946272,-4.117110222553417,-2.3347610887246524
probe_ncbi,harmonized,7,6,1.9238262020766927,1.9420567169340757,1.5155906915669466,2.4423647033983116
probe_ncbi,wider_gene_mask,7,6,1.9207572745050518,1.9443289829983428,1.521133469651602,2.424238247683983
probe_original,harmonized,7,6,2.412163068089886,2.6372303520701053,1.9876845292826413,2.957515972392438
probe_original,wider_gene_mask,7,6,2.420441845273087,2.657127542779449,2.007675706615013,2.9481572205831603
