program,positive_donors,rank_positive_donors,mean_log1p_shift,leave_one_donor_mean_min,leave_one_donor_mean_max
dna_repair,3,3,0.002947262355259485,-0.0042852163314819345,0.005604942639668767
inflammatory_signaling,7,7,0.28387566975184847,0.2605668703715006,0.31730814774831134
mitochondrial_expression,5,3,0.01138918740408757,0.002670208613077766,0.020785093307495065
muscle_remodeling,1,1,-0.05686306953430172,-0.07306492328643795,-0.04681805769602455
oxidative_stress,6,5,0.03510495594569611,0.022926727930704716,0.0429757436116536
proteostasis,7,4,0.030933243887765027,0.025840441385904914,0.03439434369405107
