,adipose,brain,colon,heart,liver,lung,skeletal_muscle,skin
adipose,0.0,-2.4799174547501006,-1.4604786618076493,-1.0395994166349545,-2.279043501921347,-1.1329609563939336,-1.328982057094259,-2.466429653760714
brain,-4.585919742387162,0.0,-4.001191352642825,-3.4747013743209316,-3.507288652155843,-3.907472813827766,-3.538269359236024,-3.920730205146788
colon,-0.8887513102822555,-1.9645632774528574,0.0,-0.45043511395691516,-1.339739780974551,-0.9795659029321273,-0.7519134554062206,-1.5346092898407309
heart,-2.377774496912278,-4.449898404882169,-1.8891761809164056,0.0,-4.3377488673932865,-1.995158759653201,-1.497240597475043,-2.994538774992735
liver,-4.058035543278936,-4.495672190854882,-4.903285886784449,-5.00264497196682,0.0,-3.777502892075461,-5.120870553603944,-3.6010071605334564
lung,-2.677207867479917,-3.9507873922122445,-3.022398220449246,-1.8506303437077378,-3.126695980311394,0.0,-2.592576045749505,-2.793705190989867
skeletal_muscle,-5.094899957047052,-6.496512896220403,-4.601984639936988,-3.451251766747389,-7.086050611753015,-4.189281341791408,0.0,-3.7781779872030756
skin,-5.51933091402466,-6.208860139924453,-5.447817507577679,-3.3137226511129185,-4.875330192450683,-2.505987340965019,-3.18277433918533,0.0
