,adipose,brain,colon,heart,liver,lung,skeletal_muscle,skin
adipose,0.0,-2.377085436039141,-1.3562529842163944,-0.9520590365871285,-2.1867497439563066,-0.9727211047509048,-1.2701579257680211,-2.3083886704376066
brain,-4.367093922694438,0.0,-3.83855281796182,-3.346567378846301,-3.36090498372669,-3.7182238380523542,-3.428393377253628,-3.7362416559291427
colon,-0.8066299614834787,-1.8648778209521746,0.0,-0.3758769939335681,-1.1804139989640121,-0.7617052468523132,-0.7190171016147637,-1.3032243550438243
heart,-2.2828411804250552,-4.264945838942747,-1.785587903199338,0.0,-4.151454719086307,-1.9072323640991087,-1.3015985206074614,-2.837442414163966
liver,-3.8303340855435137,-4.298584034976085,-4.698792956304448,-4.770010569823067,0.0,-3.587157300098769,-4.933016903510327,-3.350840501474888
lung,-2.4964292768330565,-3.636933676366916,-2.7821229494412965,-1.7255340336651623,-2.883707806800381,0.0,-2.417484424981179,-2.5555776389243183
skeletal_muscle,-4.811520923174333,-6.126351078858706,-4.358409175521184,-3.271568999670949,-6.716770639385681,-3.980112621134183,0.0,-3.528342923356895
skin,-5.375460264561805,-6.04240915005705,-5.28327183608458,-3.1946078649941008,-4.7161207332696895,-2.3607831868423177,-3.053616289051462,0.0
