evaluation,fold,model,C,n_train,n_test,omitted_train_id,balanced_accuracy,auroc,average_precision,uncalibrated_brier,TP,TN,FP,FN,prediction_agreement_with_full
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1,12,12,GSE234465:GSM7469191,0.5,0.0,0.34678932178932176,0.4999999996844772,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1,12,12,GSE234465:GSM7469192,0.5,0.0,0.34678932178932176,0.4999999970377685,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1,12,12,GSE234465:GSM7469193,0.5,0.0,0.34678932178932176,0.499999999647238,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1,12,12,GSE234465:GSM7469194,0.5,0.0,0.34678932178932176,0.4999999989262647,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1,12,12,GSE234465:GSM7469195,0.5,0.0,0.34678932178932176,0.49999999662871386,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1,12,12,GSE234465:GSM7469196,0.5,0.0,0.34678932178932176,0.49999999969444237,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1,12,12,GSE234465:GSM7469197,0.5,0.0,0.34678932178932176,0.49999999995367944,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1,12,12,GSE234465:GSM7469198,0.5,0.0,0.34678932178932176,0.4999999119679687,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1,12,12,GSE234465:GSM7469199,0.5,0.0,0.34678932178932176,0.49999999997459516,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1,12,12,GSE234465:GSM7469200,0.5,0.0,0.34678932178932176,0.49999999972595693,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1,12,12,GSE234465:GSM7469201,0.5,0.0,0.34678932178932176,0.4999999999283223,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1,12,12,GSE234465:GSM7469202,0.5,0.0,0.34678932178932176,0.4999999999546021,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1,12,12,GSE234465:GSM7469191,0.5,0.5,0.5,0.2526785395283284,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1,12,12,GSE234465:GSM7469192,0.5,0.5,0.5,0.2526785395283284,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1,12,12,GSE234465:GSM7469193,0.5,0.5,0.5,0.2526785395283284,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1,12,12,GSE234465:GSM7469194,0.5,0.5,0.5,0.2526785395283284,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1,12,12,GSE234465:GSM7469195,0.5,0.5,0.5,0.2526785395283284,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1,12,12,GSE234465:GSM7469196,0.5,0.5,0.5,0.2526785395283284,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1,12,12,GSE234465:GSM7469197,0.5,0.5,0.5,0.2526785395283284,3,3,3,3,0.5
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1,12,12,GSE234465:GSM7469198,0.5,0.5,0.5,0.2526785395283284,3,3,3,3,0.5
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1,12,12,GSE234465:GSM7469199,0.5,0.5,0.5,0.2526785395283284,3,3,3,3,0.5
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1,12,12,GSE234465:GSM7469200,0.5,0.5,0.5,0.2526785395283284,3,3,3,3,0.5
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1,12,12,GSE234465:GSM7469201,0.5,0.5,0.5,0.2526785395283284,3,3,3,3,0.5
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1,12,12,GSE234465:GSM7469202,0.5,0.5,0.5,0.2526785395283284,3,3,3,3,0.5
cross_flight,GSE298393__to__GSE234465,expression_linear,1,12,12,GSE298393:GSM9013395,0.5,0.0,0.34678932178932176,0.5002863355769445,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,expression_linear,1,12,12,GSE298393:GSM9013396,0.5,0.02777777777777777,0.3507575757575757,0.5005781914527786,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,expression_linear,1,12,12,GSE298393:GSM9013397,0.5,0.0,0.34678932178932176,0.5051938155345965,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,expression_linear,1,12,12,GSE298393:GSM9013398,0.5,0.0,0.34678932178932176,0.5080392400592041,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,expression_linear,1,12,12,GSE298393:GSM9013399,0.5,0.0,0.34678932178932176,0.512417914128032,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,expression_linear,1,12,12,GSE298393:GSM9013400,0.5,0.0,0.34678932178932176,0.5097850340489173,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,expression_linear,1,12,12,GSE298393:GSM9013404,0.5,0.0,0.34678932178932176,0.5044412710164218,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,expression_linear,1,12,12,GSE298393:GSM9013405,0.5,0.0,0.34678932178932176,0.5193610923010262,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,expression_linear,1,12,12,GSE298393:GSM9013406,0.5,0.0,0.34678932178932176,0.5072358244833798,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,expression_linear,1,12,12,GSE298393:GSM9013410,0.5,0.0,0.34678932178932176,0.5103465070697996,6,0,6,0,1.0
