recipient_organ,adipose,brain,colon,heart,liver,lung,skeletal_muscle,skin
adipose,4.050978228,-21.13649493,-1.199432855,-4.578991917,-16.02228434,-9.953572668,-18.44480743,-47.65981438
brain,-2.194889978,6.361792799,-0.6734619837,-4.096185813,-4.725447906,-6.247526444,-5.815045016,-20.002466
colon,-2.258337976,-12.72789066,0.9211398239,-3.288455213,-10.49921018,-8.558212931,-15.05196423,-28.37492296
heart,-0.8554009218,-13.8093947,-0.5638213068,6.10616313,-22.85787191,-15.27917574,-6.313680531,-46.36848056
liver,-1.938665218,-9.352708645,-0.7947020674,-7.17717129,9.976356798,-11.60896462,-10.14572503,-16.13829268
lung,-2.634701659,-19.9816064,-1.69187323,-5.737430339,-15.06640448,7.419061352,-39.02634627,-33.62642716
skeletal_muscle,-2.30358164,-16.1196337,-0.6743554214,-4.596312209,-37.41685942,-21.36838905,8.70472141,-43.87812316
skin,-4.526547685,-12.51461792,-1.587996039,-4.619354334,-8.679115997,-6.742550901,-17.21783915,21.71773046
