model,pathway,mean_abs,mean_signed,min_signed,max_signed,n_genes,same_sign
bridge,Adipogenesis,0.006795214926080575,0.4870882977405894,0.4856037215133307,0.4887193653554773,189,True
bridge,Allograft Rejection,0.005147255561545625,0.18115678180001393,0.1325334834682163,0.2298326976218349,161,True
bridge,Androgen Response,0.0082064100267759,0.17617392575259871,-0.015354972124304,0.3695497102165025,93,False
bridge,Angiogenesis,0.009280280085654425,0.06002268324978735,0.0376652556142414,0.0836601187263801,34,True
bridge,Apical Junction,0.007948202627153126,0.3983080639819692,0.2587129214813309,0.5373471739535763,188,True
bridge,Apical Surface,0.005857901883802625,0.11710021998053573,0.0375990965379272,0.1963820812574469,44,True
bridge,Apoptosis,0.01002891641198045,0.4773921451858292,0.2274265796156702,0.7250854085386447,147,True
bridge,Bile Acid Metabolism,0.005416178769797375,-0.011036137416838199,-0.0515682433398924,0.0290370731254937,106,False
bridge,Cholesterol Homeostasis,0.0047851865772425,0.056420825832343674,-0.0037048202478956,0.1160778665874818,70,False
bridge,Coagulation,0.0055237810302968746,-0.1117819472301366,-0.1811749868903269,-0.0445053261308103,123,True
bridge,Complement,0.0052293839333387,-0.09732362536180163,-0.1518724348753704,-0.0437163986962961,169,True
bridge,DNA Repair,0.005384348811526075,-0.018708217809264703,-0.1298682399459991,0.0918699230922076,136,False
bridge,E2F Targets,0.005807662602023975,0.03129229964128147,-0.0520516545700216,0.1148180502537111,189,False
bridge,Epithelial Mesenchymal Transition,0.01291590166253285,1.068818581118194,0.9636920040916712,1.1753337159309123,188,True
bridge,Estrogen Response Early,0.006670429708879825,0.5233066435218581,0.5171558806010852,0.531991356747325,190,True
bridge,Estrogen Response Late,0.005381698977063575,0.29080300727039193,0.2489333184295481,0.3323521498741815,185,True
bridge,Fatty Acid Metabolism,0.004515016377169325,-0.11889888510864152,-0.1225099837196449,-0.1147333772567086,137,True
bridge,G2-M Checkpoint,0.004888484608793375,-0.07250288648330472,-0.0840687040837481,-0.0615918463337192,184,True
bridge,Glycolysis,0.006149845153602725,0.2567046800669356,0.1637504826821315,0.3509797016509103,183,True
bridge,Hedgehog Signaling,0.010230121142074925,0.06046261573848738,-0.0523880342378861,0.1728736353926855,36,False
bridge,Hypoxia,0.0083957896905576,0.545669992836846,0.3442121079835196,0.7453076476808729,184,True
bridge,IL-2/STAT5 Signaling,0.004786583446237501,-0.10215710638410097,-0.2616040024549598,0.0570654565376575,180,False
bridge,IL-6/JAK/STAT3 Signaling,0.004290163558593375,0.09946089086387466,0.0596186003074106,0.139147376210332,71,True
bridge,Inflammatory Response,0.004688309558350425,0.021753423701109074,-0.0343996599584521,0.0788585254243833,177,False
bridge,Interferon Alpha Response,0.0033443596170508747,0.11416033151344752,0.0926843084819907,0.1356643566975472,71,True
bridge,Interferon Gamma Response,0.00581822003864265,0.06577863351306362,-0.0881711074572197,0.2186875063878956,154,False
bridge,KRAS Signaling Dn,0.004934716404702875,0.38711448975948604,0.2306870657750134,0.5435954434325393,176,True
bridge,KRAS Signaling Up,0.006457171526836225,0.15342162349305394,-0.1017508877439079,0.4074421330448735,189,False
bridge,Mitotic Spindle,0.00561008519119545,-0.07979166137951924,-0.1155381159168192,-0.0444651447563855,196,True
bridge,Myc Targets V1,0.0098044072904397,0.30598353728941535,0.0931533181914279,0.5189015899151727,175,True
bridge,Myc Targets V2,0.00406209063424255,0.0315167920987493,0.0021819547080349,0.0612551181418974,54,True
bridge,Myogenesis,0.012186934691949924,0.6751931102898296,0.5813142012438974,0.7685803987791646,190,True
bridge,Notch Signaling,0.0026286240231594,0.006361131207481375,-0.0102167060088368,0.0233324426147632,32,False
bridge,Oxidative Phosphorylation,0.006255268316911375,-0.0698814690759051,-0.1162431703098241,-0.022743607244554,173,True
bridge,PI3K/AKT/mTOR  Signaling,0.0066191190275938505,-0.10391211044536355,-0.1285714670805179,-0.0791455746188604,101,True
bridge,Pancreas Beta Cells,0.0026601050140010497,-0.03304479134164992,-0.0421484601528656,-0.0238132379232488,39,True
bridge,Pperoxisome,0.0076999691493754505,-0.29375895489882903,-0.3878724078574754,-0.2001633975328441,93,True
bridge,Protein Secretion,0.004706843131957725,-0.060226824460245174,-0.1083928215176552,-0.0128627454769195,92,True
bridge,Reactive Oxygen Species Pathway,0.00468382921711065,0.0426026681297486,0.025335229907971,0.0600670212549198,43,True
bridge,Spermatogenesis,0.0036561449111213997,0.06020923891196478,0.0342969816162319,0.0869108998142289,127,True
bridge,TGF-beta Signaling,0.005489529936190775,0.13456505035318647,0.1178801160769087,0.1506962114998761,50,True
bridge,TNF-alpha Signaling via NF-kB,0.006430148877393475,0.13106817341338883,0.0862040095414595,0.1751924144076864,183,True
bridge,UV Response Dn,0.0097658443153912,0.7080590659667791,0.61044504866378,0.8057114419998883,140,True
bridge,UV Response Up,0.007630457124904475,0.3512187228134934,0.2717924459562308,0.4301420512031573,136,True
bridge,Unfolded Protein Response,0.005244626018593075,0.046552000056875,0.0276925112095927,0.0654649873449423,102,True
bridge,Wnt-beta Catenin Signaling,0.00556928670994105,0.045384878305038075,0.0244770090325436,0.0657777073722814,40,True
bridge,Xenobiotic Metabolism,0.0045820100430456,0.2225312695730899,0.2051743435660128,0.24136842105157,179,True
bridge,heme Metabolism,0.006962537931276525,-0.053216317726292324,-0.1980064779291601,0.0928438227293302,177,False
bridge,mTORC1 Signaling,0.0070478304190697005,-0.15689122380495008,-0.2113368935474717,-0.1029346814731948,179,True
bridge,p53 Pathway,0.00582352906264145,0.26711847247191106,0.0526596935604652,0.4811128647697931,186,True
expression,Adipogenesis,0.0014915271414971,0.18554591554136263,0.1434247482438036,0.2276670828389216,189,True
expression,Allograft Rejection,0.00095012205242565,0.09239105847322965,0.0838399152870359,0.1009422016594234,161,True
expression,Androgen Response,0.0015219402131019999,0.07743488210118474,0.07362130481931,0.0812484593830595,93,True
expression,Angiogenesis,0.0012190393561959,0.02060722575853105,0.0107010494030977,0.0305134021139644,34,True
expression,Apical Junction,0.00133132298228255,0.11240045686730467,0.099016778055367,0.1257841356792423,188,True
expression,Apical Surface,0.0012604616069953499,0.026452571182296797,0.0182421216044578,0.0346630207601358,44,True
expression,Apoptosis,0.00130909939925275,0.10358057392894088,0.0758523255944058,0.131308822263476,147,True
expression,Bile Acid Metabolism,0.0012226505597681,0.08083227206477865,0.0721946660283635,0.0894698781011938,106,True
expression,Cholesterol Homeostasis,0.0013724754996412999,0.06460448302500175,0.0527445783982733,0.0764643876517302,70,True
expression,Coagulation,0.0011309825609209499,0.0706881703838883,0.068909094430318,0.0724672463374586,123,True
expression,Complement,0.00103925810228615,0.10619449602740175,0.1021022026057119,0.1102867894490916,169,True
expression,DNA Repair,0.0011849880784758,0.1191429115318347,0.1135295257287516,0.1247562973349178,136,True
expression,E2F Targets,0.0011630835551162,0.1503135818020818,0.1153558906778843,0.1852712729262793,189,True
expression,Epithelial Mesenchymal Transition,0.0016416563099096,0.12711627089280364,0.0481548144932802,0.2060777272923271,188,True
expression,Estrogen Response Early,0.0011453499594479,0.09717129676813335,0.0844907302136106,0.1098518633226561,190,True
expression,Estrogen Response Late,0.0011248870165821,0.1001438326446828,0.0894177760627625,0.1108698892266031,185,True
expression,Fatty Acid Metabolism,0.00149442403256315,0.16548940978157226,0.1459282063151936,0.1850506132479509,137,True
expression,G2-M Checkpoint,0.0012625684946291,0.14855823246013575,0.1060254403656071,0.1910910245546644,184,True
expression,Glycolysis,0.00137009072748005,0.13102336531901532,0.0906077305419021,0.1714390000961285,183,True
expression,Hedgehog Signaling,0.00129676221063975,0.0186444488096987,0.0143353032566032,0.0229535943627942,36,True
expression,Hypoxia,0.00120012110825745,0.10409296872451154,0.0956529319034873,0.1125330055455358,184,True
expression,IL-2/STAT5 Signaling,0.0010947395450505,0.086002851353702,0.0514064138793639,0.1205992888280401,180,True
expression,IL-6/JAK/STAT3 Signaling,0.0011594712505134,0.0395047326314449,0.0358024272570493,0.0432070380058405,71,True
expression,Inflammatory Response,0.00091925813878485,0.0679927624525578,0.0487259356303335,0.0872595892747821,177,True
expression,Interferon Alpha Response,0.0010618754725924,0.0311625822510814,0.0180220929141295,0.0443030715880333,71,True
expression,Interferon Gamma Response,0.00109897688354895,0.07083923604624585,0.0537175710447392,0.0879609010477525,154,True
expression,KRAS Signaling Dn,0.0009066156217147499,0.10681589755604595,0.1002746088505495,0.1133571862615424,176,True
expression,KRAS Signaling Up,0.0010303879861007,0.08231936478559884,0.0480843850974149,0.1165543444737828,189,True
expression,Mitotic Spindle,0.00137156639760025,0.1072918228015643,0.0716346983628823,0.1429489472402463,196,True
expression,Myc Targets V1,0.00148583607225405,0.20377026094686368,0.1544393367703679,0.2531011851233595,175,True
expression,Myc Targets V2,0.00146373445472165,0.0627322435450837,0.0401927517080637,0.0852717353821037,54,True
expression,Myogenesis,0.00153723174136785,0.1973488773037308,0.1733288936343114,0.2213688609731502,190,True
expression,Notch Signaling,0.0012160553992818,0.01317904555288695,0.010954986968113,0.0154031041376609,32,True
expression,Oxidative Phosphorylation,0.0015953229278629498,0.2413676193924301,0.224434950698152,0.2583002880867082,173,True
expression,PI3K/AKT/mTOR  Signaling,0.0012724802082089,0.0761062709057469,0.065666288490324,0.0865462533211698,101,True
expression,Pancreas Beta Cells,0.00088474902287005,0.0214719314326563,0.0186951440556263,0.0242487188096863,39,True
expression,Pperoxisome,0.0013160556835803499,0.07421248005868661,0.0726930022502863,0.0757319578670869,93,True
expression,Protein Secretion,0.0014340914026877,0.09815136759305515,0.061493306526329,0.1348094286597813,92,True
expression,Reactive Oxygen Species Pathway,0.00119866150672285,0.04118430626317645,0.0395655455042149,0.042803067022138,43,True
expression,Spermatogenesis,0.00091947450343105,0.08600194353999595,0.0619957878298445,0.1100080992501474,127,True
expression,TGF-beta Signaling,0.0012875330043535,0.0279932191100361,0.025022958002539,0.0309634802175332,50,True
expression,TNF-alpha Signaling via NF-kB,0.0011833730962482,0.07940024557022254,0.0343148187103429,0.1244856724301022,183,True
expression,UV Response Dn,0.0014074206371182001,0.06087748124269865,0.0525932448508437,0.0691617176345536,140,True
expression,UV Response Up,0.0012597741574939,0.11724492934276755,0.1163026077518982,0.1181872509336369,136,True
expression,Unfolded Protein Response,0.0012169412158668,0.084850550524411,0.0578796158263428,0.1118214852224792,102,True
expression,Wnt-beta Catenin Signaling,0.0012638568988331,0.0250147531519717,0.017657955644353,0.0323715506595904,40,True
expression,Xenobiotic Metabolism,0.0011418650785311,0.11608610060238714,0.1018205958861161,0.1303516053186582,179,True
expression,heme Metabolism,0.0011532795027421499,0.141151824643448,0.1178945572084979,0.1644090920783981,177,True
expression,mTORC1 Signaling,0.0014752499710265,0.20093372535847653,0.1468141270672461,0.255053323649707,179,True
expression,p53 Pathway,0.00125320244557425,0.12976237524037332,0.1187768096585918,0.1407479408221548,186,True
