training_pool,id,sample_index,label,reference,k,panel,replicate,signed_score_movement_toward_reference,absolute_logit_change,predicted_IG_change,observed_logit_change,renormalized
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,top,-1,1.2903687836246718,1.2903687836246718,-1.3860576902822777,-1.2903687836246718,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,top,-1,1.2397096640704603,1.2397096640704603,-1.3860576902822777,-1.2397096640704603,True
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,0,0.10913201435118935,0.10913201435118935,-0.10351518269651068,-0.10913201435118935,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,1,0.16381997646635682,0.16381997646635682,-0.16940043145886097,-0.16381997646635682,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,2,-0.03183153410327577,0.03183153410327577,0.020957975887572616,0.03183153410327577,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,3,-0.01954894973869159,0.01954894973869159,0.008289493994068451,0.01954894973869159,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,4,0.13900083790986173,0.13900083790986173,-0.1444214148731309,-0.13900083790986173,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,5,0.08435368583946001,0.08435368583946001,-0.07477324453681822,-0.08435368583946001,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,6,-0.001216683668872065,0.001216683668872065,-0.004213007225628582,0.001216683668872065,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,7,0.2343975041756039,0.2343975041756039,-0.24203093980949375,-0.2343975041756039,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,8,-0.1422624729123072,0.1422624729123072,0.12503552040865556,0.1422624729123072,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,9,0.02837464890649244,0.02837464890649244,-0.028803846024874777,-0.02837464890649244,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,10,0.03188331448882309,0.03188331448882309,-0.03029776424190678,-0.03188331448882309,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,11,0.02808620352379876,0.02808620352379876,-0.031835329126969056,-0.02808620352379876,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,12,-0.003092235985377556,0.003092235985377556,0.008204588760570845,0.003092235985377556,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,13,-0.03563189144665557,0.03563189144665557,0.035015512843167444,0.03563189144665557,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,14,-0.048574253207561924,0.048574253207561924,0.0481929266650222,0.048574253207561924,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,15,-0.22375945423596022,0.22375945423596022,0.18715759905608167,0.22375945423596022,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,16,0.13280332701947373,0.13280332701947373,-0.13038605319248012,-0.13280332701947373,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,17,-0.04526113655651898,0.04526113655651898,0.042398559317900965,0.04526113655651898,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,18,-0.028034526611691035,0.028034526611691035,0.027433280394229716,0.028034526611691035,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,25,matched_random,19,0.1004336961577792,0.1004336961577792,-0.10569749357204564,-0.1004336961577792,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,top,-1,1.322365878251503,1.322365878251503,-1.6667686679911544,-1.322365878251503,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,top,-1,1.0086795797444665,1.0086795797444665,-1.6667686679911544,-1.0086795797444665,True
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,0,-0.43755518254624803,0.43755518254624803,0.37602066802036815,0.43755518254624803,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,1,0.1611317530660017,0.1611317530660017,-0.16066818438438057,-0.1611317530660017,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,2,0.15360749449769173,0.15360749449769173,-0.1385276766193746,-0.15360749449769173,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,3,0.10123478941636677,0.10123478941636677,-0.09671544281516747,-0.10123478941636677,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,4,-0.02875907073757844,0.02875907073757844,0.005153563160099566,0.02875907073757844,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,5,-0.10575025786829428,0.10575025786829428,0.08238504527294797,0.10575025786829428,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,6,-0.02838840804975007,0.02838840804975007,0.02218023816265605,0.02838840804975007,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,7,-0.03108123483025338,0.03108123483025338,0.014528831261634019,0.03108123483025338,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,8,0.3184675494774183,0.3184675494774183,-0.30915191372918893,-0.3184675494774183,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,9,0.00530290805227196,0.00530290805227196,0.0009866124671256485,-0.00530290805227196,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,10,0.13876059866197465,0.13876059866197465,-0.13273301619729633,-0.13876059866197465,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,11,0.0012393283195706317,0.0012393283195706317,-0.022916566064247846,-0.0012393283195706317,False
