model,training_pool,reference,pathway,n_genes,signed_sum,mean_absolute_contribution,absolute_mass_fraction,positive_fraction
bridge,OS,training_all_mean_TPM,Myc Targets V1,175,0.10846320800190337,0.006814344294294687,0.01992953503596643,0.5028571428571429
bridge,OS,training_all_mean_TPM,Myc Targets V2,54,0.061255118141897415,0.002910611049724553,0.0026267151499954435,0.7037037037037037
bridge,OS,training_all_mean_TPM,Epithelial Mesenchymal Transition,188,1.1753337159309125,0.01307287763056949,0.04107372495714831,0.5851063829787234
bridge,OS,training_all_mean_TPM,Inflammatory Response,177,-0.03439965995845215,0.005407428605719641,0.01599554735551903,0.6214689265536724
bridge,OS,training_all_mean_TPM,Xenobiotic Metabolism,179,0.2380780176210437,0.0038680689256487253,0.01157130339046939,0.5586592178770949
bridge,OS,training_all_mean_TPM,Fatty Acid Metabolism,137,-0.11635479941377172,0.0037641567526924664,0.00861833384586806,0.48905109489051096
bridge,OS,training_all_mean_TPM,Oxidative Phosphorylation,173,-0.11353091693236342,0.0052924710468004186,0.01530169845892187,0.5260115606936416
bridge,OS,training_all_mean_TPM,Glycolysis,183,0.16375048268213155,0.005784751206682739,0.017691751086924647,0.5355191256830601
bridge,OS,training_all_mean_TPM,Reactive Oxygen Species Pathway,43,0.0261609806165887,0.003811479077297858,0.0027390315896330115,0.4883720930232558
bridge,OS,training_all_mean_TPM,p53 Pathway,186,0.053623929736175566,0.00488147972480669,0.015173979025298621,0.543010752688172
bridge,OS,training_all_mean_TPM,UV Response Up,136,0.27179244595623087,0.006810946795728867,0.015480373738240195,0.5882352941176471
bridge,OS,training_all_mean_TPM,UV Response Dn,140,0.8051481923500977,0.009611285872401223,0.02248767602718088,0.6214285714285714
bridge,OS,training_all_mean_TPM,Angiogenesis,34,0.03766525561424142,0.009685198811774362,0.0055032913129437495,0.5
bridge,OS,training_all_mean_TPM,heme Metabolism,177,-0.19365466966101552,0.006251791273868397,0.018493230455637995,0.5084745762711864
bridge,OS,training_all_mean_TPM,Coagulation,123,-0.17163692088463184,0.005804613809023688,0.01193200667095137,0.5609756097560976
bridge,OS,training_all_mean_TPM,IL-2/STAT5 Signaling,180,0.053986813121716506,0.004379994650079783,0.013175925498934137,0.49444444444444446
bridge,OS,training_all_mean_TPM,Bile Acid Metabolism,106,-0.04507813352778379,0.0052325057033821174,0.009269378602552785,0.4716981132075472
bridge,OS,training_all_mean_TPM,Pperoxisome,93,-0.2039563715175667,0.0067783730528133855,0.010535216402349478,0.4946236559139785
bridge,OS,training_all_mean_TPM,Allograft Rejection,161,0.21528887855143103,0.005262333210242735,0.01415921790721494,0.5341614906832298
bridge,OS,training_all_mean_TPM,Spermatogenesis,127,0.08489217149585686,0.0027038825331378797,0.005738872638118563,0.49606299212598426
bridge,OS,training_all_mean_TPM,KRAS Signaling Up,189,0.40284636758591574,0.006077616663781354,0.019196858057848397,0.5978835978835979
bridge,OS,training_all_mean_TPM,KRAS Signaling Dn,176,0.23068706577501347,0.0038092983412177732,0.01120450567182577,0.4659090909090909
