training_pool,id,sample_index,label,reference,k,panel,replicate,signed_score_movement_toward_reference,absolute_logit_change,observed_logit_change,renormalized
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,16,0.030234332235405312,0.030234332235405312,0.030234332235405312,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,17,-0.043692415893552924,0.043692415893552924,-0.043692415893552924,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,18,-0.035411800718533955,0.035411800718533955,-0.035411800718533955,False
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,100,matched_random,19,-0.010102834119262185,0.010102834119262185,-0.010102834119262185,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,top,-1,-0.03609792473213514,0.03609792473213514,-0.03609792473213514,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,0,0.01568148437557124,0.01568148437557124,0.01568148437557124,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,1,-0.017502323220427572,0.017502323220427572,-0.017502323220427572,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,2,-0.00931863996290939,0.00931863996290939,-0.00931863996290939,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,3,-0.017003623245499047,0.017003623245499047,-0.017003623245499047,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,4,0.010806992738471143,0.010806992738471143,0.010806992738471143,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,5,-0.03421603204364131,0.03421603204364131,-0.03421603204364131,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,6,-0.009358308713847721,0.009358308713847721,-0.009358308713847721,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,7,-0.02494204772309184,0.02494204772309184,-0.02494204772309184,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,8,-0.015704197129455037,0.015704197129455037,-0.015704197129455037,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,9,0.01100418695508903,0.01100418695508903,0.01100418695508903,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,10,-0.00888240130511681,0.00888240130511681,-0.00888240130511681,False
